"month","boro","cd","bc_ma_only_enrollees","bc_total_ma_enrollees"
"2018-09-01T00:00:00.000","MANHATTAN","M01","1562","2995"
"2018-09-01T00:00:00.000","MANHATTAN","M02","2902","4313"
"2018-09-01T00:00:00.000","MANHATTAN","M03","23361","42738"
"2018-09-01T00:00:00.000","MANHATTAN","M04","6142","12871"
"2018-09-01T00:00:00.000","MANHATTAN","M05","1815","5857"
"2018-09-01T00:00:00.000","MANHATTAN","M06","3288","5947"
"2018-09-01T00:00:00.000","MANHATTAN","M07","8682","17672"
"2018-09-01T00:00:00.000","MANHATTAN","M08","4902","8033"
"2018-09-01T00:00:00.000","MANHATTAN","M09","11424","22611"
"2018-09-01T00:00:00.000","MANHATTAN","M10","13404","30019"
"2018-09-01T00:00:00.000","MANHATTAN","M11","17665","39572"
"2018-09-01T00:00:00.000","MANHATTAN","M12","26580","48060"
"2018-09-01T00:00:00.000","BROOKLYN","K01","32525","47250"
"2018-09-01T00:00:00.000","BROOKLYN","K02","6873","13308"
"2018-09-01T00:00:00.000","BROOKLYN","K03","19812","38305"
"2018-09-01T00:00:00.000","BROOKLYN","K04","14462","25036"
"2018-09-01T00:00:00.000","BROOKLYN","K05","25539","51870"
"2018-09-01T00:00:00.000","BROOKLYN","K06","5389","10067"
"2018-09-01T00:00:00.000","BROOKLYN","K07","22773","31629"
"2018-09-01T00:00:00.000","BROOKLYN","K08","10221","20137"
"2018-09-01T00:00:00.000","BROOKLYN","K09","13465","21855"
"2018-09-01T00:00:00.000","BROOKLYN","K10","16297","22843"
"2018-09-01T00:00:00.000","BROOKLYN","K11","29835","44645"
"2018-09-01T00:00:00.000","BROOKLYN","K12","45381","63581"
"2018-09-01T00:00:00.000","BROOKLYN","K13","15232","32854"
"2018-09-01T00:00:00.000","BROOKLYN","K14","22522","35344"
"2018-09-01T00:00:00.000","BROOKLYN","K15","19502","32163"
"2018-09-01T00:00:00.000","BROOKLYN","K16","11715","30234"
"2018-09-01T00:00:00.000","BROOKLYN","K17","19399","32769"
"2018-09-01T00:00:00.000","BROOKLYN","K18","18716","30532"
"2018-09-01T00:00:00.000","BRONX","B01","15229","38812"
"2018-09-01T00:00:00.000","BRONX","B02","7001","19231"
"2018-09-01T00:00:00.000","BRONX","B03","12512","34441"
"2018-09-01T00:00:00.000","BRONX","B04","21856","51012"
"2018-09-01T00:00:00.000","BRONX","B05","19378","47884"
"2018-09-01T00:00:00.000","BRONX","B06","11148","33520"
