"location","address","city","state","zip_code","contact_number","notes","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx Regional High School","1010 Reverend James A. Polite Avenue","Bronx","New York","10459","718 842 9200","3rd Floor","BRONX    ","40.823532","-73.898872","202","17","12901","2005366","2026980012","Longwood                                                                   "
"Marcy Avenue Complex","832 Marcy Avenue","Brooklyn","New York","11216","718 636 5770","Room 501A","BROOKLYN ","40.685004","-73.947152","303","36","249","3051641","3018230038","Bedford                                                                    "
"Alternative Learning Complex","269 West 35th Street","New York","New York","10018","212 224 1793","7th Floor","MANHATTAN","40.752427","-73.991937","105","3","109","1014421","1007850001","Midtown-Midtown South                                                      "
"Jamaica Learning Center","162-02 Hillside Avenue","Jamaica","New York","11432","718 739 2100","Room 109","QUEENS   ","40.70848","-73.800065","412","24","44602","4209031","4097680022","Jamaica                                                                    "
"St. George","450 St. Marks Place","Staten Island","New York","10301","718 273 3225",,"STATEN IS","40.638946","-74.077273","501","49","3","5000161","5000160007","West New Brighton-New Brighton-St. George                                  "
