"meeting_date","project_id","title","borough","lead_agency","secondary_agency","public_private","project_type","construction_type","result","review_cycles","previous_year_submission"
"2021-12-13T00:00:00.000","22545","Reconstruction of Hoover Playground, Hoover-Manton Playgrounds, Manton Street, Main Street, and Queens Boulevard, Briarwood, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","19544","Construction of an operations building, Homeport Pier, 405 Front Street, Staten Island","Staten Island","EDC",,"Public","Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22558","Installation of an ADA ramp, 600 West 165th Street, Manhattan","Manhattan","DOT",,"Public","Landscape Architecture","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","22535","Reconstruction of a landscaped terrace to support an exhibit (Earth Science Garden), Brooklyn Children's Museum, 145 Brooklyn Avenue, Brooklyn","Brooklyn","DDC","DPR/DCLA","Public and Private","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","22544","Reconstruction of Harold Schneiderman Playground, adjacent to P.S. 232, 83rd Street, 155th Avenue, and 84th Street, Howard Beach, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","22518","Construction of an entry vestibule, Astoria Branch Library, 14-01 Astoria Boulevard, Astoria, Queens","Queens","DDC","QL","Public","Architecture","Construction","Approved","2",
"2021-12-13T00:00:00.000","22541","Reconstruction of the playground, Hamilton Fish Park, Pitt Street, East Houston Street, and Sheriff Street, Manhattan","Manhattan","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","20722","Construction of an adult fitness area, Asser Levy Park, Sea Breeze Avenue, West Fifth Street, and Surf Avenue, Brooklyn","Brooklyn","DPR",,"Public","Landscape Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22543","Reconstruction of a portion of playground Sixty-Two LXII, adjacent to P.S. 220, 62nd Avenue, 108th Street, and 62nd Road, Rego Park, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","22548","Reconstruction of Woodside Memorial Plaza, Woodside Avenue and Roosevelt Avenue, Woodside, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","22538","Installation of distinctive light poles, east side of Madison Avenue between East 77th Street and East 78th Street, Manhattan","Manhattan","DOT",,"Public","Distinctive lighting","Installation of specific elements","Approved","1",
"2021-12-13T00:00:00.000","22536","Reconstruction of a bridge bulkhead and parapet, FDR Drive between East 42nd Street and East 49th Street, Manhattan","Manhattan","DOT",,"Public","Bridge","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","20934","Installation of sewer access hatches, 114th Police Precinct, 34-16 Astoria Boulevard, Long Island City, Queens","Queens","DDC",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","10475","Construction of a nature center, Springfield Lane at 149th Street, Idlewild Park, Queens","Queens","DPR",,"Public","Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22400","Construction of a streetscape and plazas, 126th Street and Roosevelt Avenue, Willets Point, Corona, Queens","Queens","EDC",,"Public and Private","Landscape Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22540","Loan of the Theodore Roosevelt Monument (1940) by James Earle Fraser to the Theodore Roosevelt Presidential Library, Medora, North Dakota","Manhattan","DPR",,"Public","Artwork","Relocation","Approved w/ conditions","1",
"2021-12-13T00:00:00.000","16750","Reconstruction of a ticket office and adjacent site work as part of the United States Tennis Association's Billie Jean King National Tennis Center strategic vision plan, Flushing Meadows Corona Park, Queens","Queens","DPR",,"Public and Private","Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","22533","Installation of handrails, Morningside Park, near Morningside Drive and West 113th Street, Manhattan","Manhattan","DPR",,"Public","Landscape Architecture","Installation of specific elements","Approved","1",
"2021-12-13T00:00:00.000","22550","Installation of rooftop photovoltaic panels, 400 Food Center Drive (Krasdale Foods), Bronx","Bronx","EDC",,"Private","Building systems & Modifications","Installation of specific elements","Approved","1",
"2021-12-13T00:00:00.000","22434","Design of prototypical public communications structures (Link5G) for installation citywide","Citywide","DoITT",,"Public and Private","Street furniture","Master plan/Prototype","Approved w/ conditions","4",
"2021-12-13T00:00:00.000","NULL","Installation of manholes, DSNY Bronx 7/8 Garage, 423 West 215th Street, Manhattan","Manhattan","DDC",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","22561","Reconstruction of the Brooklyn Detention Complex, 275 Atlantic Avenue, Brooklyn","Brooklyn","DDC","DOC","Public","Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","22487","Construction of the Bronx Animal Care Center, 2050 Bartow Avenue at Co-Op City Boulevard, Bronx","Bronx","DDC","DOHMH","Public and Private","Architecture","Construction","Approved","2",
"2021-12-13T00:00:00.000","NULL","Installation of sub-grade fuel storage tanks, including manholes and access hatches, Department of Sanitation Garage for Bronx Districts 1/3/4 Garage, 680 East 132 Street, Bronx","Manhattan","DDC",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","22559","Reconstruction of Lafayette Gardens, Lafayette Avenue and Franklin Avenue, Brooklyn","Brooklyn","DPR",,"Public","Landscape Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","20471","Construction of a waterfront park and streetscape improvements, Phase II and Phase III, Thompson Street, Wave Street and Bay Street, Stapleton, Staten Island, Staten Island","Staten Island","EDC","DPR","Public","Landscape Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22532","Reconstruction of a streetscape, including an expanded median, Delancey Street from Bowery Street to Clinton Street, Manhattan","Manhattan","DDC","DOT","Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","22547","Reconstruction of the Strong Street Playground, Washington’s Walk, Strong Street, Reservoir Avenue, and West 197th Street, Bronx","Bronx","DPR",,"Public","Landscape Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","21485","Installation of rooftop mechanical equipment, 625 Atlantic Avenue, Brooklyn","Brooklyn","EDC",,"Private","Building systems & Modifications","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","22562","Reconstruction of the Queens Detention Center, 126-01 82nd Avenue, Kew Gardens, Queens","Queens","DDC","DOC","Public","Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","22385","Reconstruction of the playground, Captain Mario Fajardo Park, Kissena Boulevard and Booth Memorial Avenue, Flushing, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","11378","Construction of Brigham Park, Brigham Street between Emmons Avenue and Rockaway Inlet, Brooklyn","Brooklyn","DPR",,"Public","Landscape Architecture","Construction","Commented",,
"2021-12-13T00:00:00.000","22555","Reconstruction of the Queens Storehouse (Allied II), 43 Meridian Road, Flushing Meadows Corona Park, Meridian Road between East Road and Van Wyck Expressway, Flushing, Queens","Queens","DPR",,"Public","Architecture","Reconstruction","Approved","1",
"2021-12-13T00:00:00.000","NULL","Installation of manholes, Clove Lakes Garage, 21 Slosson Avenue, Staten Island","Staten Island","DDC",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2021-12-13T00:00:00.000","8601","Rehabilitation of the West 59th Street Marine Transfer Station and adjacent site work, Pier 99, Twelfth Avenue at West 59th Street, Manhattan","Manhattan","DDC",,"Public","Architecture","Rehabilitation","Commented",,
"2021-12-13T00:00:00.000","20956","Reconstruction of the World's Fair Marina, Flushing Bay Promenade, Flushing Meadows Corona Park, Corona, Queens","Queens","DPR",,"Public","Landscape Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","20757","Reconstruction of Mapes Ballfield, Mapes Avenue, East 180th Street, Prospect Avenue, and East 181st Street, Bronx","Bronx","DPR",,"Public","Landscape Architecture","Reconstruction","Commented",,
"2021-12-13T00:00:00.000","22534","Rehabilitation of the courtyard, Clarendon Branch Library, 2035 Nostrand Avenue, Brooklyn","Brooklyn","DDC","BPL","Public","Landscape Architecture","Rehabilitation","Approved","1",
"2021-12-13T00:00:00.000","22366","Installation of windows and an ADA ramp (East 34th Street Heliport Metroport), 499 East 34th Street at the East River, Manhattan","Manhattan","EDC",,"Private","Building systems & Modifications","Installation of specific elements","Approved","4",
