"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_est_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-00922-0017","728 41 STREET
Brooklyn, NY 
(40.647065259943, -74.000028285232)","3",,,,,,,,,,"SUNSET PARK","C6-WALK-UP","24","1928","16896","278446","16.48","1100000","65","3-01168-0034","600 PARK PLACE
Brooklyn, NY 
(40.674405060127, -73.957979096522)","CROWN HEIGHTS","C1-WALK-UP","20","1912","16756","273084","16.3","1080000","64","2.9","3-02098-0011","63 FT GREENE PLACE
Brooklyn, NY 
(40.688039339369, -73.976727188595)","FORT GREENE","C1-WALK-UP","21","1930","17080","310552","18.18","1230000","72","3.15"
"3-07109-0001","602 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-SOUTH","D4-ELEVATOR","66","1938","79920","1235563","15.46","4890000","61","3-06047-0031","8708 RIDGE BOULEVARD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","78","1927","62556","1171266","18.72","4640000","74","4.1","3-06107-0029","364 93 STREET
Brooklyn, NY 
(40.618015768336, -74.031381813636)","BAY RIDGE","D1-ELEVATOR","83","1928","57024","847820","14.87","3090000","54","3.75"
"3-07822-0045","2020 41 STREET
Brooklyn, NY 
(40.623765467, -73.934196645095)","3",,,,,,,,,,"FLATLANDS","D4-ELEVATOR","54","1931","67500","750870","11.12","2330000","34.5","3-01322-0001","501 NEW YORK AVENUE
Brooklyn, NY 
(40.662881226221, -73.947925580518)","FLATBUSH-NORTH","D7-ELEVATOR","89","1952","68220","878710","12.88","3210000","47.1","2.8",,,,,,,,,,,,
"3-07355-0042","2195 22 STREET
Brooklyn, NY 
(40.597641372479, -73.949031273421)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","66","1942","84000","850590","10.13","2430000","28.9","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","0.9","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","1.85"
"3-06619-0001","80 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"GRAVESEND","D4-ELEVATOR","83","1936","90000","925955","10.29","2880000","32","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","1.1","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","3.6"
"3-01103-0073","411 15 STREET
Brooklyn, NY 
(40.662110466948, -73.982105049515)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","16","1910","12424","245953","19.8","1070000","86","3-01066-0014","888 UNION STREET
Brooklyn, NY 
(40.673251152174, -73.97243430795)","PARK SLOPE","C1-WALK-UP","16","1920","12612","246791","19.57","1070000","85","0.85","3-01093-0001","911 8 AVENUE
Brooklyn, NY 
(40.665655682039, -73.979265416551)","PARK SLOPE","C1-WALK-UP","16","1920","12160","234254","19.26","1020000","84","0.25"
"3-01170-0029","296 STERLING PLACE
Brooklyn, NY 
(40.67559209178, -73.968245440499)","3","11238","40.675649","-73.968307","8","35","207","3029326","3011700029","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","19","1910","29724","458011","15.41","1810000","61","3-01948-0040","91 CLIFTON PLACE
Brooklyn, NY 
(40.688104504418, -73.960469215355)","CLINTON HILL","D5-ELEVATOR","22","1920","22500","349697","15.54","1380000","61","1","3-01085-0037","94 PROSPECT PARK
Brooklyn, NY 
(40.700601192899, -73.986670164593)","PARK SLOPE","C1-WALK-UP","30","1920","21195","341592","16.12","1350000","64","0.7"
"3-06115-0006","9425 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11209","40.61707","-74.038689","10","43","54","3155519","3061150006","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","54","1953","70458","1028686","14.6","3750000","53","3-06383-0006","2255 BENSON AVENUE
Brooklyn, NY 
(40.59931837295, -73.994008247892)","GRAVESEND","D1-ELEVATOR","69","1960","54210","761571","14.05","2780000","51","2.65","3-05881-0038","15 MACKAY PLACE
Brooklyn, NY 
(40.637146571273, -74.035450291167)","BAY RIDGE","D1-ELEVATOR","69","1960","50400","763379","15.15","3020000","60","1.4"
"3-07433-0025","2546 13 STREET
Brooklyn, NY 
(40.585332588779, -73.982093898409)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","115","1960","115842","1553415","13.41","5670000","48.9","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","1.1","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","2.6"
"3-06681-0399","1800 OCEAN PARKWAY
Brooklyn, NY 
(40.604781356629, -73.967098580575)","3","11223","40.604935","-73.966832","15","44","41402","3178658","3066810399","Homecrest                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","83","1931","76000","870110","11.45","3000000","39.5","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","330990","13.2","775000","30.9","0.2","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4738227","44","23800000","221","2.7"
