"record_id","business_name","industry","certificate_number","inspection_date","inspection_result","test_type","approved","condemned","confiscated","notes","building_number","street","city","state","zip","unit","longitude","latitude"
"32262-2020-ENFO","1750 WALTON LAUNDROMAT CORP","Laundries","A0012847","2020-12-14T00:00:00.000","Pass","SCALE TO 661 LBS-02","1","0","0",,"1750","WALTON AVE","BRONX","NY","10453",,"-77.51985087626232","40.11248699222675"
"45263-2021-ENFO","STARS DELI GROCERY CORP.","Grocery-Retail - 808","A0048330","2021-12-10T00:00:00.000","Pass","SCALE TO 33 LBS-01","1","0","0",,"3919","47TH AVE","SUNNYSIDE","NY","11104",,"-77.51985087626232","40.11248699222675"
"30385-2020-ENFO","GOLD PEACH II CORP.","Laundries","A0012750","2020-12-11T00:00:00.000","Pass","SCALE TO 661 LBS-02","1","0","0",,"1650","RICHMOND AVE","STATEN ISLAND","NY","10314",,"-74.16226147353083","40.60808536285805"
"32131-2020-ENFO","MUKTI PETROLEUM INC","Gas Station-Retail - 815","A0012748","2020-12-11T00:00:00.000","Pass","PETROL PUMP DIESEL-32","2","0","0",,"14812","ROCKAWAY BLVD","JAMAICA","NY","11436",,"-77.51985087626232","40.11248699222675"
"32397-2020-ENFO","KISSENA EXPRESSWAY INC.","Gas Station-Retail - 815","A0012981","2020-12-15T00:00:00.000","Pass","PETROL PUMP DIESEL-32","2","0","0",,"15402","HORACE HARDING EXPY","FLUSHING","NY","11367",,"-77.51985087626232","40.11248699222675"
"31865-2020-ENFO","H & K MART INC.","Gas Station-Retail - 815","A0012542","2020-12-09T00:00:00.000","Pass","PETROL PUMP BLEND-19","4","0","0",,"2001","CROPSEY AVE","BROOKLYN","NY","11214",,"-77.51985444832485","40.11248688196303"
"31994-2020-ENFO","F.T. MEAT CORP.","Supermarket - 819","A0012641","2020-12-10T00:00:00.000","Pass","SCALE TO 33 LBS-01","15","0","0",,"1065","E 163RD ST","BRONX","NY","10459",,"-77.51985087626232","40.11248699222675"
"32496-2020-ENFO","DJF PAWN BROKERS INC.","Secondhand Dealer [General] - 006","A0013028","2020-12-15T00:00:00.000","Pass","SCALE TO 33 LBS-01","1","0","0",,"300","E FORDHAM RD","BRONX","NY","10458",,"-77.51985087626232","40.11248699222675"
"32041-2020-ENFO","NEW KINGSTON LAUNDROMAT INC.","Laundries","A0012666","2020-12-10T00:00:00.000","Pass","SCALE TO 661 LBS-02","1","0","0",,"223","KINGSTON AVE","BROOKLYN","NY","11213",,"-77.51985087626232","40.11248699222675"
"32423-2020-ENFO","CARROL GARDENS WASH-N-DRY CORP.","Laundries","A0013001","2020-12-15T00:00:00.000","Pass","SCALE TO 661 LBS-02","1","0","0",,"425","COURT ST","BROOKLYN","NY","11231",,"-77.51985087626232","40.11248699222675"
"44651-2021-ENFO","STADIUM GAS INC.","Gas Station-Retail - 815","A0047957","2021-12-08T00:00:00.000","Pass","PETROL PUMP BLEND-19","5","0","0",,"112-44","ROOSEVELT AVE","CORONA","NY","11368",,"-77.51985087626232","40.11248699222675"
"45201-2021-ENFO","STATE EXPRESS DELI CORP","Grocery-Retail - 808","A0048221","2021-12-09T00:00:00.000","Pass","SCALE TO 33 LBS-01","1","0","0",,"68","BOND ST","BROOKLYN","NY","11217",,"-77.51985087626232","40.11248699222675"
"26053-2021-ENFO","BEST FRIENDS TIRES, INC.","Gas Station-Retail - 815","A0033971","2021-08-03T00:00:00.000","Pass","OCTANE SAMPLE-85","0","0","3",,"13819","HILLSIDE AVE","JAMAICA","NY","11435",,"-77.51985087626232","40.11248699222675"
"31914-2020-ENFO","MUKTI 149 PETROLEUM INC","Gas Station-Retail - 815","A0012563","2020-12-09T00:00:00.000","Pass","PETROL PUMP BLEND-19","8","0","0",,"14154","NORTHERN BLVD","FLUSHING","NY","11354",,"-77.51985087626232","40.11248699222675"
"26458-2021-ENFO","NOR-MARATHON SERVICE STATION INC.","Gas Station-Retail - 815","A0034339","2021-08-05T00:00:00.000","Pass","PETROL PUMP BLEND-19","8","0","0",,"24870","HORACE HARDING EXPY","LITTLE NECK","NY","11362",,"-77.51985087626232","40.11248699222675"
"32295-2020-ENFO","MUKTI 154 PETROLEUM INC","Gas Station-Retail - 815","A0012858","2020-12-14T00:00:00.000","Pass","OCTANE SAMPLE-85","0","0","2",,"15409","UNION TPKE","FLUSHING","NY","11367",,"-77.51985087626232","40.11248699222675"
"31865-2020-ENFO","H & K MART INC.","Gas Station-Retail - 815","A0012542","2020-12-09T00:00:00.000","Pass","OCTANE SAMPLE-85","0","0","2",,"2001","CROPSEY AVE","BROOKLYN","NY","11214",,"-77.51985444832485","40.11248688196303"
"32101-2020-ENFO","LANKA GROCERY, INC","Grocery-Retail - 808","A0012719","2020-12-11T00:00:00.000","Pass","SCALE TO 33 LBS-01","2","0","0",,"344","VICTORY BLVD","STATEN ISLAND","NY","10301",,"-77.51985444832485","40.11248688196303"
"31917-2020-ENFO","PDR PETROLEUM INC","Gas Station-Retail - 815","A0012558","2020-12-09T00:00:00.000","Pass","PETROL PUMP BLEND-19","4","0","0",,"2225","BATH AVE","BROOKLYN","NY","11214",,"-77.51985087626232","40.11248699222675"
