"job_number","job_type","c_o_issue_date","bin_number","borough","house_number","street_name","block","lot","postcode","pr_dwelling_unit","ex_dwelling_unit","application_status_raw","filing_status_raw","item_number","issue_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"421557648","A1","2019-10-30T00:00:00.000","4031824","Queens","43-21","68 STREET","01348","00007","11377","2","1","Issued","New","001","Final","40.741492","-73.896665","2","26","483","4031824","4013480007","Elmhurst-Maspeth","
,  
(40.741492, -73.896665)"
"321174803","A1","2019-10-30T00:00:00.000","3095121","Brooklyn","542","CRESCENT STREET","04234","00034","11208","4","2","Issued","New","002","Final","40.674745","-73.869849","5","42","1196","3095121","3042340034","East New York","
,  
(40.674745, -73.869849)"
"321937357","A1","2019-10-30T00:00:00.000","3023331","Brooklyn","81","14 STREET","01032","00058","11215",,,"Issued","New","002","Final","40.669178","-73.995015","6","39","117","3023331","3010320058","Park Slope-Gowanus","
,  
(40.669178, -73.995015)"
"321621170","A1","2019-10-30T00:00:00.000","3027103","Brooklyn","30","WINDSOR PLACE","01112","00029","11215","1","2","Issued","New","002","Final","40.661514","-73.984451","7","39","149","3027103","3011120029","Park Slope-Gowanus","
,  
(40.661514, -73.984451)"
"421694697","A1","2019-10-30T00:00:00.000","4139103","Queens","57-33","LAWRENCE STREET","06358","00050","11355","2","2","Issued","New","001","Final","40.746839","-73.833160","7","20","80301","4139103","4063580050","Queensboro Hill","
,  
(40.746839, -73.83316)"
"421188752","NB","2019-10-30T00:00:00.000","4601802","Queens","121-10","149 AVENUE","11822","00037","11420","1",,"Issued","New","001","Final","40.668348","-73.819384","10","32","84601","4256996","4118220037","South Ozone Park","
,  
(40.668348, -73.819384)"
"520337136","NB","2019-10-30T00:00:00.000","5170670","Staten Island","163","FOCH AVENUE","03251","00043","10305","2",,"Issued","New","001","Final","40.593099","-74.074851","2","50","70",,,"Old Town-Dongan Hills-South Beach","
,  
(40.593099, -74.074851)"
"421180732","NB","2019-10-30T00:00:00.000","4436765","Queens","37-25","33RD STREET","00375","00001","11101","43",,"Issued","New","002","Final","40.753745","-73.929834","1","26","55","4004555","4003750005","Queensbridge-Ravenswood-Long Island City","
,  
(40.753745, -73.929834)"
"321191312","A1","2020-07-23T00:00:00.000","3336080","Brooklyn","233","BUTLER STREET","00405","00051","11217",,,"Issued","New","007","Temporary","40.681963","-73.986472","6","33","71","3336080","3004050051","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","
,  
(40.681963, -73.986472)"
"420650110","NB","2020-07-23T00:00:00.000","4005015","Queens","41-32","27TH STREET","00415","00036","11101","46",,"Issued","New","005","Temporary","40.751365","-73.938762","1","26","33","4005015","4004150036","Queensbridge-Ravenswood-Long Island City","
,  
(40.751365, -73.938762)"
"321763980","A1","2020-07-23T00:00:00.000","3018918","Brooklyn","111","6 AVENUE","00939","00003","11217","1","10","Issued","New","002","Temporary","40.678892","-73.975610","6","39","161","3018918","3009390003","Prospect Heights","
,  
(40.678892, -73.97561)"
"421694919","A1","2020-07-23T00:00:00.000","4265860","Queens","161-04","121 AVE","12253","00009","11434","2","1","Issued","New","001","Final","40.679415","-73.781855","12","28","288","4265860","4122530009","Baisley Park","
,  
(40.679415, -73.781855)"
"421481480","A1","2020-07-23T00:00:00.000","4141909","Queens","144-33","MELBOURNE AVENUE","06527","00077","11367","1","1","Issued","New","002","Final","40.734427","-73.823961","8","24","809","4141909","4065270077","Kew Gardens Hills","
,  
(40.734427, -73.823961)"
"421747122","A1","2020-07-23T00:00:00.000","4284788","Queens","138-19","234 STREET","13260","00022","11422","2","1","Issued","New","001","Final","40.669092","-73.739486","13","31","650","4284788","4132600022","Laurelton","
,  
(40.669092, -73.739486)"
"100333970","A1","2019-08-23T00:00:00.000","1047067","Manhattan","1295","MADISON AVENUE","01504","00020","10128","90","90","Issued","New","022","Temporary","40.784760","-73.955952","8","4","16001","1047067","1015040020","Upper East Side-Carnegie Hill","
,  
(40.78476, -73.955952)"
"103925219","A1","2019-08-23T00:00:00.000","1087263","Manhattan","225","FIFTH AVENUE","00856","07502","10016","190",,"Issued","New","063","Temporary","40.743827","-73.987907","5","2","56","1087263","1008567502","Hudson Yards-Chelsea-Flatiron-Union Square","
,  
(40.743827, -73.987907)"
"110399827","A1","2019-08-23T00:00:00.000","1082032","Manhattan","72","WARREN STREET","00137","00001","10007","0","0","Issued","New","022","Temporary","40.715057","-74.009902","1","1","21","1082032","1001370001","SoHo-TriBeCa-Civic Center-Little Italy","
,  
(40.715057, -74.009902)"
"420933609","A1","2019-08-23T00:00:00.000","4073973","Queens","85-19","65 AVENUE","03136","00055","11374","2","2","Issued","New","001","Final","40.720196","-73.864883","6","29","69702","4073973","4031360055","Rego Park","
,  
(40.720196, -73.864883)"
"200625840","NB","2019-08-23T00:00:00.000","2115134","Bronx","3201","WHITE PLAINS ROAD","04595","00046","10467",,,"Issued","New","004","Final","40.871707","-73.867160","12","15","374","2115134","2045950046","Williamsbridge-Olinville","
,  
(40.871707, -73.86716)"
"400036812","NB","2019-08-23T00:00:00.000","4001352","Queens","34-50","48 STREET","00143","00010","11101",,,"Issued","New","001","Temporary","40.752544","-73.914925","1","26","171","4518761","4001430010","Hunters Point-Sunnyside-West Maspeth","
,  
(40.752544, -73.914925)"
"200821780","A1","2019-08-23T00:00:00.000","2001143","Bronx","595","GERARD AVENUE","02354","00001","10451",,,"Issued","New","032","Temporary","40.820458","-73.928680","4","8","63","2001143","2023540001","West Concourse","
,  
(40.820458, -73.92868)"
"121186028","NB","2019-08-23T00:00:00.000","1090524","Manhattan","138","EAST 50TH STREET","01304","00045","10022","124",,"Issued","New","006","Temporary","40.756310","-73.971940","6","4","100","1036448","1013040045","Turtle Bay-East Midtown","
,  
(40.75631, -73.97194)"
"122866014","A1","2019-08-23T00:00:00.000","1016880","Manhattan","51","MADISON AVENUE","00856","00024","10010",,,"Issued","New","007","Temporary","40.743023","-73.986402","5","2","56","1016880","1008560024","Hudson Yards-Chelsea-Flatiron-Union Square","
,  
(40.743023, -73.986402)"
