"borough","borough_name","block","lot","zip","serv_order_type","permit_description","permit_no","dateissued"
"1","NEW YORK","3","1","100040000","POSIN","SEWER PERMIT-INSTALL","926297","2021-07-15T00:00:00.000"
"1","NEW YORK","73","14","100020000","POSPL","SEWER PERMIT-PLUG","925882","2021-07-08T00:00:00.000"
"1","NEW YORK","179","43","100130000","POSIN","SEWER PERMIT-INSTALL","926301","2021-07-15T00:00:00.000"
"1","NEW YORK","218","24","100130000","POTAP","PERMIT-TAP","925532","2021-07-01T00:00:00.000"
"1","NEW YORK","346","75","100020000","POTAP","PERMIT-TAP","927586","2021-07-30T00:00:00.000"
"1","NEW YORK","346","75","100020000","POTAP","PERMIT-TAP","927587","2021-07-30T00:00:00.000"
"1","NEW YORK","350","64","100020000","POTAP","PERMIT-TAP","925817","2021-07-08T00:00:00.000"
"1","NEW YORK","423","9","100020000","POSIN","SEWER PERMIT-INSTALL","926587","2021-07-20T00:00:00.000"
"1","NEW YORK","429","43","100090000","POTAP","PERMIT-TAP","926677","2021-07-21T00:00:00.000"
"1","NEW YORK","442","6","100030000","POSIN","SEWER PERMIT-INSTALL","927506","2021-07-29T00:00:00.000"
"1","NEW YORK","489","25","100120000","POSPL","SEWER PERMIT-PLUG","927019","2021-07-24T00:00:00.000"
"1","NEW YORK","579","47","100130000","POTAP","PERMIT-TAP","925503","2021-07-01T00:00:00.000"
"1","NEW YORK","579","47","100130000","POTAP","PERMIT-TAP","925505","2021-07-01T00:00:00.000"
"1","NEW YORK","579","47","100130000","POTAP","PERMIT-TAP","925506","2021-07-01T00:00:00.000"
"1","NEW YORK","579","47","100130000","POTAP","PERMIT-TAP","925722","2021-07-07T00:00:00.000"
"1","NEW YORK","579","47","100130000","POSIN","SEWER PERMIT-INSTALL","926605","2021-07-20T00:00:00.000"
"1","NEW YORK","596","1","100020000","POSIN","SEWER PERMIT-INSTALL","927020","2021-07-24T00:00:00.000"
"1","NEW YORK","596","1","100020000","POSIN","SEWER PERMIT-INSTALL","927021","2021-07-24T00:00:00.000"
"1","NEW YORK","596","1","100020000","POSIN","SEWER PERMIT-INSTALL","927022","2021-07-24T00:00:00.000"
"1","NEW YORK","623","36","100140000","POTAP","PERMIT-TAP","926757","2021-07-21T00:00:00.000"
"1","NEW YORK","710","1","100180000","POSIN","SEWER PERMIT-INSTALL","926237","2021-07-14T00:00:00.000"
"1","NEW YORK","717","17","100110000","POSIN","SEWER PERMIT-INSTALL","925542","2021-07-01T00:00:00.000"
"1","NEW YORK","717","17","100110000","POSPL","SEWER PERMIT-PLUG","926942","2021-07-23T00:00:00.000"
"1","NEW YORK","729","51","100010000","POTAP","PERMIT-TAP","926541","2021-07-20T00:00:00.000"
