"cb_link_id","boro","community_board","council_district","latitude","longitude","link_installation_status","smallest_ppt","street_address","postcode","link_site_id","link_smoke_tested_and_activated_a","link_installation","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","cross_street_1","cross_street_2","ixn_corner","location"
"mn-05-133354","Manhattan","105","3","40.757665580000000","-73.985878420000000","Live","133354","1515 BROADWAY","10036","mn-05-133354","2018-03-05T00:00:00.000","2016-12-18T00:00:00.000","Midtown-Midtown South","1024714","1010160036","1011900","WEST 45 STREET","WEST 44 STREET","NW","(40.75766558, -73.98587842)"
,"Queens","412","27","40.6996088","-73.803352","Installed",,"94-12 150 STREET","11435","qu-12-GF44698",,"2022-07-20T00:00:00.000","Jamaica","4214020","4100000024",,"150TH STREET","149TH STREET","NW","(40.6996088, -73.803352)"
"mn-07-120513","Manhattan","107","7","40.795171000000000","-73.971048000000000","Live","120513","230 WEST 97 STREET","10025","mn-07-120513","2016-07-08T00:00:00.000","2016-05-27T00:00:00.000","Upper West Side","1056064","1018680044","1018300","BROADWAY","AMSTERDAM AVENUE","SE","(40.795171, -73.971048)"
"mn-05-122878","Manhattan","105","4","40.757957910000000","-73.977925630000000","Live","122878","2 WEST 49 STREET","10020","mn-05-122878","2017-10-20T00:00:00.000","2017-04-02T00:00:00.000","Midtown-Midtown South","1034508","1012640040","1009600","5 AVENUE","6 AVENUE","SW","(40.75795791, -73.97792563)"
"mn-07-140140","Manhattan","107","6","40.776625560000000","-73.982323470000000","Live","140140","2029 BROADWAY","10023","mn-07-140140","2020-11-17T00:00:00.000","2018-04-04T00:00:00.000","Lincoln Square","1076231","1011417502","1015300","WEST 69 STREET","WEST 70 STREET","NW","(40.77662556, -73.98232347)"
"mn-10-120621","Manhattan","110","9","40.811325000000000","-73.952053000000000","Live","120621","320 ST. NICHOLAS AVENUE","10027","mn-10-120621","2016-12-20T00:00:00.000","2016-10-29T00:00:00.000","Central Harlem South","1059317","1019520043","1025700","WEST 126 STREET","WEST 125 STREET","SE","(40.811325, -73.952053)"
"mn-06-133709","Manhattan","106","2","40.741710740000000","-73.977972830000000","Live","133709","522 2 AVENUE","10016","mn-06-133709","2017-12-05T00:00:00.000","2017-10-06T00:00:00.000","Murray Hill-Kips Bay","1020614","1009350001","1007000","EAST 29 STREET","EAST 30 STREET","NE","(40.74171074, -73.97797283)"
"LINK-020759","Brooklyn","301","33","40.732735000000000","-73.954581000000000","Live","145863","984 MANHATTAN AVENUE","11222","bk-01-145863","2017-08-02T00:00:00.000","2017-07-01T00:00:00.000","Greenpoint","3064316","3025330005","3057500","HURON STREET","INDIA STREET","SE","(40.732735, -73.954581)"
"mn-02-122264","Manhattan","102","3","40.732884330000000","-74.000238410000000","Live","122264","375 6 AVENUE","10014","mn-02-122264","2018-05-16T00:00:00.000","2018-03-10T00:00:00.000","West Village","1010249","1005920066","1007100","WAVERLY PLACE","WEST WASHINGTON PLACE","SW","(40.73288433, -74.00023841)"
"mn-04-134597","Manhattan","104","3","40.738302400000000","-73.996295650000000","Live","134597","555 6 AVENUE","10011","mn-04-134597","2018-04-11T00:00:00.000","2018-03-03T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1014560","1007910036","1008100","WEST 15 STREET","WEST 16 STREET","NW","(40.7383024, -73.99629565)"
