"fy","agency","organization_name","project_title","amount_requested","funded_amount","community_board","organization_address","city","state","zip","borough","latitude","longitude","community_council","census_tract","bin","bbl","nta"
"12","CT","Nuyorican Poets Café, Inc.","The Nuyorican Poets CafÃ© Poetry Slam Series and Slam Team Events","10000.00","0.00","3","236 East 3rd Street","New York","New York","10009","MANHATTAN","40.722274","-73.982048","2","2202","1004592","1003850023","Lower East Side                                                            "
"12","CT","Transportation Alternatives","Bike Friendly District","6000.00","0.00","4","127 West 26th Street #1002","New York","New York","10001","MANHATTAN","40.745225","-73.992396","3","95","1015037","1008020022","Midtown-Midtown South                                                      "
"12","CT","New York Scandia Symphony","The Scandinavian Music Festival","8000.00","0.00","12","720 Fort Washington Avenue, #5D","New York","New York","10040","MANHATTAN","40.857943","-73.934962","10","281","1064475","1021800614","Washington Heights North                                                   "
"12","CT","Battery Dance Corporation","Downtown Dance Festival ","7500.00","0.00","1","380 Broadway 5th Floor","New York","New York","10013","MANHATTAN","40.718112","-74.002958","1","31","1002317","1001950001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"12","CT","Lower East Side Performing Arts, Inc. ","Op On Screen Women","2500.00","0.00","1","268 East Broadway #A-1102","New York","New York","10002","MANHATTAN","40.714499","-73.984979","1","1401","1082654","1003150001","Lower East Side                                                            "
"12","CT","Smithsonian National Museum of the American Indian","Circle of Dance: A Promotional Video","7500.00","0.00","1","One Bowling Green","New York","New York","10004",,,,,,,,
"12","CT","Arts for Art, Inc.","Vision Festival 17","3500.00","0.00","2","107 Suffolk St.","New York","New York","10002","MANHATTAN","40.718943","-73.986122","1","1402","1004301","1003530054","Lower East Side                                                            "
"12","CT","Cool Culture, Inc.","Cultural Access Program","10000.00","0.00","2","80 Hanson Place, Suite 604","New York","New York","10002",,,,,,,,
"12","CT","Historic Districts Council","Morningside Heights Walking Tour, Brochure and Lecture","2540.00","0.00","3","232 East 11th Street","New York","New York","10003","MANHATTAN","40.730817","-73.987433","2","40","1006817","1004660025","East Village                                                               "
"12","CT","Juneteenth Festival","Diana Sands & 2nd Juneteenth Festival","3500.00","0.00","3","605 Water Street #21B","New York","New York","10002","MANHATTAN","40.711249","-73.98445","1","202","1003141","1002440019","Lower East Side                                                            "
"12","CT","Lower East Side Conservancy LTD ","Lower East Side Conservancy Insider's Touring Program","10000.00","0.00","3","235 East Broadway","New York","New York","10002","MANHATTAN","40.714359","-73.986509","1","201","1003732","1002860033","Lower East Side                                                            "
"12","CT","Open Channels New York, Inc. dba Dixon Place","Attracting International GLBT Culture-Seekers to NYC","10000.00","0.00","3","161A Chrystie Street, Ground Floor","New York","New York","10002","MANHATTAN","40.720621","-73.992572","1","18","1079084","1004257501","Chinatown                                                                  "
