"provider","host_organization","building","street","city","borough","zip_code","site_location_address","days_open","hours","language_s","telephone","community_board","council_district","bbl","nta","x_coordinates","y_coordinates","latitude","longitude","census_tract","bin","location"
"Neighborhood Trust Financial Partners","Neighborhood Trust Financial Partners","530","West 166th Street","Manhattan","Manhattan","10032","530 West 166th Street, 4th Floor","Monday - Saturday","M, Tues, Th & F 9am-6pm, W 11am-8pm, Sat 10am-2pm","English and Spanish","311","10","112","1021240001","MN36","1001035","245073","40.839328031382756","-73.93933892202685","251","1062988","(40.839328031383, -73.939338922027)"
"Bedford Stuyvesant Restoration Corporation","Brooklyn Cooperative Federal Credit Union","834","Dekalb Avenue","Brooklyn","Brooklyn","11237","834 Dekalb Avenue","Tuesday, Friday & Saturday","Tues 9am-4pm, Fri 9am-4pm, Sat 9am-2pm","English","311","36","303","3017810040","BK75","1000011","191508","40.692307919526726","-73.94316526337892","261","3413813","(40.692307919527, -73.943165263379)"
"Neighborhood Trust Financial Partners","Northern Manhattan Improvement Corporation","45","Wadsworth Avenue","Manhattan","Manhattan","10033","45 Wadsworth Avenue","Monday-Friday","M, W-F 9am-6pm, Tuesday 11am-8pm","English and Spanish","311","10","112","1021440003","MN36","1001508","247572","40.846186142125525","-73.93762306696817","263","1089928","(40.846186142126, -73.937623066968)"
"The Financial Clinic","Make the Road New York","92-10","Roosevelt Avenue","Queens","Queens","11372","92-10 Roosevelt Avenue","Monday, Wednesday, Friday","9am-6pm","English and Spanish","311","21","404","4015500020","QN29","1019027","212045","40.748622680031175","-73.87448683475661","469","4038783","(40.748622680031, -73.874486834757)"
"Neighborhood Trust Financial Partners","Manhattan Legal Services","1","West 125th Street","Manhattan","Manhattan","10027","1 West 125th Street","Monday - Thursday","9am-6pm","English and Spanish","311","9","110","1017230033","MN11","1000170","233120","40.8065220414661","-73.94249339477317","200","1053504","(40.806522041466, -73.942493394773)"
"Bedford Stuyvesant Restoration Corporation","Bedford Stuyvesant Restoration Corporation","1368","Fulton Street","Brooklyn","Brooklyn","11216","1368 Fulton Street","Monday-Friday","M-W & F 9am-6pm, Th 9am -8pm","English, Mandarin, and Yoruba","311","36","303","3018620014","BK61","999306","187087","40.680174516304774","-73.9457173974154","247","3053786","(40.680174516305, -73.945717397415)"
"Neighborhood Trust Financial Partners","University Settlement - Ingersoll Center","177","Myrtle Avenue","Brooklyn","Brooklyn","11201","177 Myrtle Avenue","Wednesday - Friday","Wed & Thurs 9am - 6pm, Friday 9am - 12 pm","English and Spanish","311","35","302","3020500001","BK38","989157","191979","40.69361337930781","-73.9823048350059","15","3257034","(40.693613379308, -73.982304835006)"
"Neighborhood Trust Financial Partners","Lower East Side People's Federal Credit Union","237","East 104th Street","Manhattan","Manhattan","10027","237 East 104th Street","Monday, Tuesday","Mon 9am - 4 pm, Tues 9am - 6pm","English and Spanish","311","8","111","1016540011","MN33","999683","226986","40.789686748900095","-73.94426664488815","170","1080671","(40.7896867489, -73.944266644888)"
"Neighborhood Trust Financial Partners","Midtown Community Court","314","West 54th Street","Manhattan","Manhattan","10019","314 West 54th Street, 6th Floor","Tuesdays and Wednesdays","9 am -6 pm","English and Spanish","311","3","104","1010440022","MN15","988406","218017","40.765081705358476","-73.98499693915308","133","1025397","(40.765081705358, -73.984996939153)"
"Neighborhood Trust Financial Partners","CAMBA","885","Flatbush Ave","Brooklyn","Brooklyn","11226","885 Flatbush Ave, 2nd Floor","Monday-Thursday","9am-6pm","English and Spanish","311","40","314","3051030028","BK95","995722","176175","40.65022887206683","-73.95865764521642","794","3117223","(40.650228872067, -73.958657645216)"
