"business_address","business_name_n_a_if_there","what_indicates_the_storefront","is_the_storefront_boarded","east_or_west_side_of_the","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","borough","postcode"
"423 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.719663","-74.00167","102","1","47","1003012","1002310001","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"1 Astor Place","Gap","For Rent/For Lease/Retail Space Available","No","East","40.730054","-73.992629","102","2","57","1008806","1005450059","West Village","MANHATTAN","10003"
"10 Times Square","N/A","For Rent/For Lease/Retail Space Available","No","West","40.754677","-73.986761","105","3","113","1022569","1009930055","Midtown-Midtown South","MANHATTAN","10018"
"11 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.705354","-74.013731","101","1","13","1000044","1000130005","Battery Park City-Lower Manhattan","MANHATTAN","10004"
"1107 Broadway","Pet Smart","N/A","Yes","West","40.742743","-73.989213","105","3","58","1015602","1008267501","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"111 Broadway","Jos. A. Bank","Permanently Closed","No","West","40.708486","-74.011113","101","1","13","1001029","1000490002","Battery Park City-Lower Manhattan","MANHATTAN","10006"
"1123 Broadway","Broadway Cafe","For Rent/For Lease/Retail Space Available","No","West","40.743254","-73.989123","105","3","58","1015618","1008270028","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"1123 Broadway","Hill Country Chicken","Permanently Closed","No","West","40.743254","-73.989123","105","3","58","1015618","1008270028","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"1130 Broadway","Heyday","N/A","Yes","East","40.743413","-73.989073","105","2","58","1015622","1008270042","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"1134A Broadway","The Abnormal Beauty Company","Closed Until Further Notice","No","East","40.743547","-73.989047","105","2","58","1015624","1008277501","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10010"
"1140 Broadway","Vin Sur Vingt","N/A","Yes","East","40.743907","-73.988979","105","2","58","1015649","1008280033","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10001"
"1141 Broadway","N/A","Covered Windows","No","West","40.74391","-73.989","105","3","58","1015645","1008280025","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10001"
"1147 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.74408","-73.988968","105","3","58","1015647","1008280028","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10001"
"115 Broadway","HSBC Bank","We Moved","No","West","40.708631","-74.010997","101","1","13","1001030","1000500001","Battery Park City-Lower Manhattan","MANHATTAN","10006"
"1165 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.744719","-73.989062","105","3","58","1015683","1008290022","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10001"
"1167 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.744791","-73.988834","105","3","58","1015683","1008290022","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10001"
"1178 Broadway","Dig","Closed Until Further Notice","No","East","40.745309","-73.98852","105","4","76","1015727","1008300028","Midtown-Midtown South","MANHATTAN","10001"
"1184 Broadway","Maxwell’s Chophouse Bar","Permanently Closed","No","East","40.745556","-73.988668","105","4","76","1015725","1008307501","Midtown-Midtown South","MANHATTAN","10001"
"1185 Broadway","N/A","N/A","N/A","West","40.7454","-73.988719","105","3","76","1000000","1008300024","Midtown-Midtown South","MANHATTAN","10001"
"120 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.708546","-74.011041","101","1","7","1001026","1000477501","Battery Park City-Lower Manhattan","MANHATTAN","10271"
"1200 Broadway","Jollies Jewelry, also signs for S & A Perfumes Inc. and World Phone Hut Inc.","For Rent/For Lease/Retail Space Available","No","East","40.746059","-73.988408","105","4","76","1015759","1008310020","Midtown-Midtown South","MANHATTAN","10001"
"1204 Broadway","New York Style Acxessories","Gated","No","East","40.746264","-73.988538","105","4","76","1015758","1008310019","Midtown-Midtown South","MANHATTAN","10001"
"1212A Broadway","Cleopatra Hair","For Rent/For Lease/Retail Space Available","No","East","40.746501","-73.988495","105","4","76","1080722","1008310061","Midtown-Midtown South","MANHATTAN","10001"
"1226 Broadway","Multiple","For Rent/For Lease/Retail Space Available","No","East","40.747074","-73.988386","105","4","76","1015778","1008320022","Midtown-Midtown South","MANHATTAN","10001"
