"building_id_espm","bbl10","facility_name","rating","bin_unique_building_identifier","address_1","address_2","city","postcode","county","total_floor_space_sq_ft","year_built","facility_type","last_modified_date","service_and_product_provider","metering_configuration","eligibility_for_energy_star","energy_star_application_status","year_s_labeled","approval_date_last_energy","current_rating_1_100","target_rating_1_100","energy_use_alerts","space_use_alerts","current_direct_ghg_emissions","current_indirect_ghg_emissions","current_total_ghg_emissions","emissions_factor_kg_co2e","current_energy_period_ending","current_water_period_ending","current_total_on_site","percent_of_electricity_from","total_avoided_ghg_emissions","total_on_site_electric","total_green_power_purchased","total_renewable_energy_sold","current_site_energy_intensity","current_total_site_energy","national_median_site_eui","target_site_energy_intensity","weather_normalized_site_eui","electricity_use_kbtu","electricity_use_kwh","natural_gas_use_kbtu","natural_gas_use_therms","district_steam_use_kbtu","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","fuel_oil_56_use_kbtu","diesel_2_use_kbtu","chilled_water_absorption","chilled_water_electric_driven","chilled_water_engine_driven","chilled_water_other_kbtu","district_hot_water_kbtu","temporary_data_flag","temporary_data_flag_1","temporary_data_flag_2","temporary_data_flag_natural","temporary_data_flag_district","temporary_data_flag_fuel","temporary_data_flag_fuel_1","temporary_data_flag_fuel_2","temporary_data_flag_diesel","temporary_data_flag_district_1","temporary_data_flag_district_2","difference_from_national","current_source_energy","current_total_source_energy","current_weather_normalized","national_median_source_eui","difference_from_national_1","bank_financial_institution","bank_financial_institution_1","bank_financial_institution_2","bank_financial_institution_3","bank_financial_institution_4","bank_financial_institution_5","hospital_gross_floor_area","hospital_laboratory_y_1_n","hospital_laundry_facility","hospital_maximum_number_of","hospital_number_of_buildings","full_time_equivalent_fte","number_of_staffed_beds","number_of_mri_machines","hotel_gross_floor_area_sq","hotel_floor_area_of_full","hotel_floor_area_of_gym","hotel_average_occupancy","hotel_number_of_rooms","hotel_room_density","hotel_onsite_laundry_short","hotel_quantity_of_laundry","hotel_percent_cooled","hotel_presence_of_cooking","hotel_workers_density","house_of_worship_gross_floor","house_of_worship_pc_density","house_of_worship_weekly","house_of_worship_presence","k_12_school_gross_floor_area","k_12_school_high_school_y","k_12_school_open_weekends","k_12_school_pc_density","k_12_school_percent_cooled","k_12_school_walk_in_refrig","k_12_school_presence_of","medical_office_gross_floor","medical_office_number_of","medical_office_percent_cooled","medical_office_weekly","multifamily_home_gross_floor","multifamily_home_dishwasher","multifamily_home_laundry","multifamily_home_laundry_1","multifamily_home_government","multifamily_home_number_of","multifamily_home_number_of_1","multifamily_home_percent","multifamily_home_percent_1","multifamily_home_total_number","multifamily_home_primary","multifamily_home_resident","office_gross_floor_area_sq","office_office_air_conditioned","office_pc_density","office_weekly_operating_hours","office_workers_density","other_space_type_name","other_gross_floor_area_sq","other_number_of_pcs","other_weekly_operating_hours","other_workers_on_main_shift","parking_enclosed_floor_area","parking_gross_floor_area","parking_non_enclosed_floor","parking_open_floor_area_w","parking_weekly_hours_of_access","residence_halls_dormitories","residence_halls_dormitories_1","residence_halls_dormitories_2","residence_halls_dormitories_3","residence_halls_dormitories_4","retail_gross_floor_area_sq","retail_cash_register_density","retail_exterior_entrance","retail_workers_density","retail_weekly_operating_hours","retail_walk_in_refrig_density","retail_percent_cooled","retail_pc_density","retail_open_closed_refrig","retail_number_of_walk_in","retail_number_of_open_or","senior_care_facility_average","senior_care_facility_gross","senior_care_facility_number","senior_care_facility_number_1","senior_care_facility_number_2","senior_care_facility_number_3","senior_care_facility_number_4","senior_care_facility_percent","senior_care_facility_total","senior_care_facility_total_1","senior_care_facility_workers","supermarkets_grocery_gross","supermarkets_grocery_number","supermarkets_grocery_number_1","supermarkets_grocery_number_2","supermarkets_grocery_percent","supermarkets_grocery_presence","supermarkets_grocery_walk","supermarkets_grocery_weekly","supermarkets_grocery_workers","swimming_pool_size","swimming_pool_indoor_outdoor","swimming_pool_months_in_use","warehouse_refrigerated_gross","warehouse_refrigerated_weekly","warehouse_refrigerated_workers","warehouse_unrefrigerated","warehouse_unrefrigerated_1","warehouse_unrefrigerated_2","warehouse_unrefrigerated_3","warehouse_unrefrigerated_4","warehouse_unrefrigerated_5","warehouse_unrefrigerated_6","current_data_center_source","current_site_pdu_input_energy","current_site_ups_output_energy","current_source_it_energy","national_average_pue","data_center_gross_floor_area","data_center_annual_it_energy","data_center_it_energy","indoor_water_use_kgal","indoor_water_use_per_sq_ft","outdoor_water_use_kgal","other_water_use_kgal","total_indoor_and_outdoor","water_use_alerts","release_date","borough","latitude","longitude","community_board","council_district","census_tract","nta"
"1261451","1000047501","1 NY Plaza","60",,"One New York Plaza",,"New York","10004","NEW YORK","2428325","1970","Office","2012-04-02T15:05:54.000","None","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available",,,"62","0",,"Using temporary values for Space Use attributes.<br>","2626.98","28065.83","30692.81",,"2012-02-29T00:00:00.000","2012-03-31T00:00:00.000",,,,,,,"122","296202857.7","133.3","0","118.2","239951449.7","70325747.3","49379200.00","493792.0","70137948.00",,,,,"0.00","-63265740.00","0.00","0.00",,"No",,,"No","No",,,,,,"No","-8.5","358.9","871575754.6","354.7","392.1","-8.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2285725","100.00","4.59","75","2.19",,,,,,"68700","68700","0","0","168",,,,,,"39319","0.25","1","0.64","55","0.08","100.00","0.15","0.13","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.82","103281","0","IT Energy is not currently metered at this facility - Apply estimates.","38994.7","16.06",,,"38994.7",,"2012-04-23T08:27:31.000","MANHATTAN","40.702628","-74.011689","101","1","9","Battery Park City-Lower Manhattan"
"2712342","1000057501","Cushman &","77","1000006","125 Broad Street Condo",,"New York","10004","NEW YORK","1338000","1970","Office","2012-04-24T19:25:27.000","iES Corp c/o Brock Nigg","Whole Facility Energy Consumption","Eligible","No Status Available",,,"78","0",,,,"11338.43","11338.43",,"2012-02-29T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,"119.2","159504038","167.1","0","121","62312366.52","18262710",,,"34072091.46",,,,,"0.00","0.00","63119580.00","0.00",,"No",,,,"No",,,,,,"No","-28.7","235.9","315626093.8","238","330.6","-28.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1338000","100.00","3.58","113","3.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-04-26T06:31:47.000","MANHATTAN","40.702112","-74.011249","101","1","9","Battery Park City-Lower Manhattan"
"3116386","1000077501","Kumquat Pr","0","1077806","66 Pearl Street, NYC 10004",,"New York","10004","NEW YORK","79282","1920","Multifamily Housing","2012-04-24T09:59:19.000","Bright Power","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available",,,"0","0",,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>","152.78","283.6","436.38",,"2011-12-31T00:00:00.000","2012-02-29T00:00:00.000",,,,,,,"74.3","5892452.5",,"0","74.8","3020614.68","885291.5","2871837.82","28718.4",,,,,,,,,,,"No",,,"No",,,,,,,,,"165.2","13095667.2","165.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67690","43.00","12.00","43.00","0.00","6","42","80.00","15.00","48.00","Natural Gas","No specific resident population","4638","100.00","2.20","65","2.30",,,,,,,,,,,,,,,,"6954","0.30","1","1.00","65","0.00","100.00","0.20","0.00","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5848.9","73.77",,,"5848.9",,"2012-07-31T11:11:05.000","MANHATTAN","40.703611","-74.010932","101","1","9","Battery Park City-Lower Manhattan"
"2792771","1000087501","Whitehall","0","1087700","2 Water Street",,"New York","10004","NEW YORK","169055","1985","Multifamily Housing","2012-03-27T13:57:26.000","None","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available",,,"0","0",,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data","117.81","813.24","931.05",,"2011-12-31T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,"64.3","10876362.4",,"0","63.7","8661826.03","2538636","2214536.36","22145.4",,,,,,,,,,,"No",,,"No",,,,,,,,,"184.8","31249118.5","182.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132653","0.00","0.00","0.00","0.00","4","90","10.00","0.00","90.00",,,,,,,,"Other","36402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-04-24T19:09:30.000","MANHATTAN","40.702458","-74.012753","101","1","9","Battery Park City-Lower Manhattan"
"2897761","1000090001","Wolfson Group 1 State Street","23","1000018","1 State Street",,"New York","10004","NEW YORK","852840","1969","Office","2012-04-09T11:16:43.000","iES","Whole Facility Energy Consumption","Not Eligible: Rating must be 75 or above","No Status Available",,,"27","0",,,,"12077.53","12077.53",,"2012-01-31T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,"157.9","134695310.9","116.9","0","162","96625110.4","28319200",,,"38070200.46",,,,,,,,,,"No",,,,"No",,,,,,,"35.1","432.4","368792811.3","437.4","320.2","35.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"847751","100.00","3.53","80","2.57",,,,,,,,,,,,,,,,"5089","3.93","1","9.83","105","1.97","100.00","1.97","0.98","10","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-04-26T06:53:14.000","MANHATTAN","40.702395","-74.012948","101","1","9","Battery Park City-Lower Manhattan"
"2605878","1000090014","17 State Street","61","1000020","17 State Street",,"New York","10004","NEW YORK","574105","1900","Office","2012-04-26T15:31:32.000","None","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available",,,"61","0",,,,"4817.62","4817.62",,"2011-12-31T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,"91.5","52541949.9","103.9","0","93","44815575.93","13134694",,,"7726374.00",,,,,,,,,,"No",,,,"No",,,,,,,"-11.9","277","159032936.1","278.7","314.3","-11.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"570000","100.00","4.39","50","4.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.82","4105","0","IT Energy is not currently metered at this facility - Apply estimates.",,,,,,,"2012-04-27T13:35:31.000","MANHATTAN","40.702798","-74.014246","101","1","9","Battery Park City-Lower Manhattan"
"1426421","1000090029","24 State S","40","1000021","24 State Street",,"New York","10004","NEW YORK","859807","1969","Office","2012-04-30T15:40:24.000","MCEnergy, Inc.","Whole Facility Energy Consumption","Not Eligible: Rating must be 75 or above","No Status Available",,,"41","0",,,,"10190.38","10190.38",,"2012-01-31T00:00:00.000","2012-02-29T00:00:00.000",,,,,,,"137.2","117931545","124.3","0","133.9","58890864.1","17259925",,,"59040680.90",,,,,,,,,,"No",,,,"No",,,,,,,"10.3","311.9","268134710","306.6","282.6","10.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"859807","100.00","2.56","65","2.40",,,,,,"38567","38567","0","0","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5728.3","6.66",,,"5728.3",,"2012-05-01T09:38:19.000","MANHATTAN","40.703534","-74.014387","101","1","9","Battery Park City-Lower Manhattan"
"2673567","1000100016","90 Broad S","75","1-00010-0016","90 Broad Street",,"New York","10004","NEW YORK","380788","1930","Office","2012-04-05T13:58:26.000","None","No Selection Made","Eligible","Application - Label Sent (16-AUG-11)","2011","2011-07-05T20:24:49.000","76","0",,"Weekly operating hours is much lower than normal for Vacant Space.<br>",,"1846.5","1846.5",,"2012-01-31T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,"53.5","20368602.6","73.0","0","54.2","15959524.54","4677469.1",,,"4409078.02",,,,,,,,,,"No",,,,"No",,,,,,,"-26.7","154","58639796.4","153.8","210.2","-26.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"355305","77.26","1.41","31","1.41",,,,,,,,,,,,,,,,"25483","0.16","1","0.39","50","0.00","100.00","0.00","0.00","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-04-09T12:24:12.000","MANHATTAN","40.703954","-74.011592","101","1","9","Battery Park City-Lower Manhattan"
"1423569","1000100023","1 Whitehal","57","1000027","1 Whitehall Street",,"New York","10004","NEW YORK","329991","1964","Office","2012-04-27T14:15:05.000","MCEnergy, Inc.","Whole Facility Energy Consumption","Not Eligible: Rating must be 75 or above","No Status Available",,,"58","0",,"Weekly operating hours is much lower than normal for Vacant Space.<br>",,"3218.11","3218.11",,"2012-01-31T00:00:00.000","2012-02-29T00:00:00.000",,,,,,,"113.1","37321812.7","122.2","0","111.3","18178949.89","5327945.5",,,"19142862.77",,,,,,,,,,"No",,,,"No",,,,,,,"-7.4","254.2","83880556.6","252.1","274.6","-7.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322760","81.08","2.83","53","2.54","Convenience Store (with or without Gas Station)","7231","15","92","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4276.3","12.96",,,"4276.3",,"2012-05-01T09:38:19.000","MANHATTAN","40.703973","-74.013164","101","1","9","Battery Park City-Lower Manhattan"
"2831998","1000100033","AL-Stone LLC dba DoubleTree NYC Financial District","0","1087618","8 Stone Street",,"New York","10004","NEW YORK","144833","2010","Hotel","2012-04-26T14:33:47.000","Competitive Energy Services","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available",,,"0",,,,,,,,"2011-12-31T00:00:00.000","2200-01-01T00:00:00.000",,,,,,,,,"71.0",,,,,,,,,,,,,,,,,"No",,,"No",,,,,,,,,,,,"169.0",,,,,,,,,,,,,,,,"144833",,,,"399","2.75",,,"100.00","1","0.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-05-02T10:35:29.000","MANHATTAN","40.704025","-74.012638","101","1","9","Battery Park City-Lower Manhattan"
