"borough","boro","block","lot","bbl","hnum_lo","hnum_hi","str_name","crfn","grantee","deed_date","price","cap_rate","borough_cap_rate","yearqtr","postcode","latitude","longitude","community_board","council_district","census_tract","bin","nta","geocoded_column"
"MN","1","1440","19","1014400019","341","341","EAST 65 STREET","2020000318263","341 TENOR REALTY LLC","2020-10-22T00:00:00.000","5504500","0.0642","0.0612","2020Q4","10065","40.763937","-73.960573","108","5","118","1044718","Lenox Hill-Roosevelt Island","(40.763937, -73.960573)"
"BX","2","3292","1","2032920001","2961","2965","MARION AVENUE","2021000451311","2961-65 M LLC","2021-10-28T00:00:00.000","12448000","0.0428","0.0440","2021Q4","10458","40.86908","-73.884119","207","11","415","2016732","Bedford Park-Fordham North","(40.86908, -73.884119)"
"BK","3","6414","34","3064140034","99","99","BAY 29 STREET","2018000204534","1478 LLC","2018-06-14T00:00:00.000","1990000","0.0575","0.0367","2018Q2","11214","40.600243","-73.996824","311","47","292","3168012","Bath Beach","(40.600243, -73.996824)"
"BX","2","2721","40","2027210040","1025","1025","LONGWOOD AVENUE","2021000394371","801 SOUTHERN LLC","2021-09-24T00:00:00.000","3000000","0.0359","0.0464","2021Q3","10459","40.816465","-73.896447","202","17","89","2005743","Hunts Point","(40.816465, -73.896447)"
"BK","3","1206","28","3012060028","1232","1234","PACIFIC STREET","2020000251709","PACIFIC 1234 LLC","2020-08-31T00:00:00.000","5585336","0.0564","0.0643","2020Q3","11216","40.677715","-73.950915","308","36","315","3029995","Crown Heights North","(40.677715, -73.950915)"
"MN","1","619","68","1006190068","184","188","WEST 10 STREET","2019000145833","230W 4ST LLC","2019-04-29T00:00:00.000","16450000","0.0429","0.0351","2019Q2","10014","40.734224","-74.003118","102","3","73","1011165","West Village","(40.734224, -74.003118)"
"BX","2","3926","31","2039260031","1580","1580","THIERIOT AVENUE","2018000330120","1580 THIERIOT AVE. LLC","2018-09-06T00:00:00.000","8525000","0.0395","0.0343","2018Q3","10460","40.840063","-73.866078","209","18","21601","2028717","West Farms-Bronx River","(40.840063, -73.866078)"
"BX","2","3145","10","2031450010","2238","2238","VALENTINE AVENUE","2021000254270","2238 VALENTINE REALTY LLC","2021-06-21T00:00:00.000","2200000","0.0460","0.0484","2021Q2","10457","40.855963","-73.898515","205","15","38301","2013403","Fordham South","(40.855963, -73.898515)"
"MN","1","1329","35","1013290035","222","226","EAST 56 STREET","2018000268951","MIDTOWN EAST 56 LLC","2018-08-06T00:00:00.000","25000000","0.0362","0.0333","2018Q3","10022","40.759281","-73.967343","106","4","108","1038587","Turtle Bay-East Midtown","(40.759281, -73.967343)"
"MN","1","1350","33","1013500033","340","340","EAST 58 STREET","2019000423828","340 E 58 LLC","2019-12-18T00:00:00.000","12300000","0.0520","0.0474","2019Q4","10022","40.759387","-73.963416","106","5","108","1040009","Turtle Bay-East Midtown","(40.759387, -73.963416)"
"BK","3","7612","32","3076120032","2405","2405","NOSTRAND AVENUE","2019000091303","212 REALTY E. 34TH LLC","2019-03-06T00:00:00.000","2800000","0.0246","0.0339","2019Q1","11210","40.625919","-73.946702","318","45","742","3320974","Flatlands","(40.625919, -73.946702)"
"QN","4","5309","3","4053090003","36-03","36-07","191 STREET","2021000369126","FLUSHING GALLERY LLC","2021-09-03T00:00:00.000","6950000","0.0298","0.0433","2021Q3","11358","40.763346","-73.791074","411","19","1139","4455120","Auburndale","(40.763346, -73.791074)"
"BK","3","3044","16","3030440016","180","180","SCHOLES STREET","2021000462099","180 SCHOLES STREET, LLC","2021-11-08T00:00:00.000","18050000","0.0431","0.0436","2021Q4","11206","40.708903","-73.942109","301","34","493","3396894","Bushwick South","(40.708903, -73.942109)"
"BK","3","2137","14","3021370014","110","120","SOUTH 8 STREET","2019000029082","424 BEDFORD ASSOCIATES LLC","2019-01-11T00:00:00.000","43799464","0.0422","0.0339","2019Q1","11249","40.709625","-73.964897","301","33","547","3394368","North Side-South Side","(40.709625, -73.964897)"
"BK","3","839","1","3008390001","5623","5623","4 AVENUE","2020000227860","5623 INC","2020-08-07T00:00:00.000","2100000","0.0377","0.0643","2020Q3","11220","40.642932","-74.01624","307","38","74","3015308","Sunset Park West","(40.642932, -74.01624)"
"BX","2","2820","9","2028200009","1534","1534","SELWYN AVENUE","2018000343118","QC SELWYN LLC","2018-10-04T00:00:00.000","15250000","0.0267","0.0344","2018Q4","10457","40.841242","-73.910388","204","16","225","2007823","East Concourse-Concourse Village","(40.841242, -73.910388)"
"BX","2","3326","105","2033260105","45",,"E MOSHOLU PARKWAY N","2021000408784","45 E MOSHOLU LLC","2021-10-06T00:00:00.000","12000000","0.0301","0.0440","2021Q4","10467","40.879437","-73.88323","207","11","419","2017751","Norwood","(40.879437, -73.88323)"
"BK","3","5122","66","3051220066","189","195","EAST 18 STREET","2019000394822","SSPF REIT 1 LLC","2019-10-31T00:00:00.000","6094986","0.0604","0.0454","2019Q4","11226","40.646396","-73.962487","314","40","512","3117607","Flatbush","(40.646396, -73.962487)"
"MN","1","2156","37","1021560037","407","407","AUDUBON AVENUE","2022000120337","DY 407 AUDUBON LLC","2022-03-04T00:00:00.000","4568045","0.0352","0.0502","2022Q1","10033","40.851419","-73.930364","112","10","269","1063729","Washington Heights North","(40.851419, -73.930364)"
"BK","3","6380","1","3063800001","8678","8678","BAY PARKWAY","2019000308695","BAYVILLE ARMS, LLC","2019-09-12T00:00:00.000","7225000","0.0270","0.0329","2019Q3","11214","40.600581","-73.995243","311","47","290","3167050","Bensonhurst West","(40.600581, -73.995243)"
