"objectid","inspectiontype","inspectionstatus","inspectiontpcondition","inspectiontpstructure","treepointdbh","swtreeconditionrating","swlocationrating","swclearancerating","swdamagerating","swdamagedflagstonesrating","swratingtotal","treepointglobalid","plantingspaceglobalid","servicerequestglobalid","geometry","globalid","inspectiondate","closeddate","createddate","updateddate","parentinspectionglobalid","reinspectiondate","swtotaltrees","location"
"66837","General - Planting Space","Closed","Good","Full","7",,,,,,,,,,,"CBBCEF59-4149-4AA6-98C5-7E27E1E1D170","2015-03-02T05:00:00.000","2015-03-03T05:00:00.000","2015-03-03T05:00:00.000","2015-03-09T15:04:15.000",,,,
"66838","Level 1","Closed","Poor","Full","24",,,,,,,,"21431016-EDB8-4A0B-B122-673125800C87",,"POINT (1030579.8881252259 262707.9770835191)","E8248599-46B2-413B-BBC1-18BF91F7E084","2015-03-03T05:00:00.000","2015-03-03T05:00:00.000","2015-03-03T05:00:00.000","2016-10-26T15:32:34.000",,,,"
,  
(40.88762508279444, -73.8324418090213)"
"66839","Level 1","Closed","Good","Full","10",,,,,,,"37195E1A-A7EE-4AA4-8389-19A0ED5C46F7",,"3E4FEC6D-8178-4B69-B27D-5ED8DA5924E5",,"E340A03F-0BCA-4901-9664-F75FB4F17EB0","2015-03-02T05:00:00.000","2015-03-03T05:00:00.000","2015-03-03T05:00:00.000","2016-10-07T13:02:41.000",,,,
"67237","Level 2","Closed","Critical","Full","12",,,,,,,"8717EC83-F165-495A-A1AA-1064173A681F",,"AE9E5D8E-DEF9-444A-B0A8-234462E7FC94",,"FBDF1100-326D-494D-AA78-0E1626939B95","2015-03-03T05:00:00.000",,"2015-03-03T05:00:00.000","2016-10-06T14:14:15.000",,,,
"67238","Level 1","Closed","Good","Full","10",,,,,,,,"96FB6C55-612F-466D-9449-85A3CD2178E1",,"POINT (926131.42250022292 128642.16875018179)","973C62C7-79D1-4DA3-98E2-F43EA1FDAF7F","2015-03-03T05:00:00.000","2015-03-04T05:00:00.000","2015-03-04T05:00:00.000","2016-10-12T15:13:11.000",,,,"
,  
(40.51957785349195, -74.20903635239088)"
"67239","Level 1","Closed","Good","Full","10",,,,,,,"90381A80-197D-4C42-890D-4DC1D5DFD263","9EE1F9F9-E996-4447-8BBD-82437B7D1393",,"POINT (998124.308541894 232708.1116668433)","C8928877-EEC7-47A9-97BA-0A800EF44C29","2015-03-03T05:00:00.000",,"2015-03-03T05:00:00.000","2019-04-24T15:37:36.000",,,,"
,  
(40.805395011505595, -73.94988373993482)"
"67240","Sidewalk Rating","Closed","Fair","Full","15","8","10","20","18","15","71","8A487A6B-146A-4DE4-9AEE-835492B1E348",,,,"0494E699-C873-44D9-971E-BA624EBD10D9","2015-03-03T05:00:00.000","2015-03-24T04:00:00.000","2015-03-04T05:00:00.000","2015-03-28T04:00:00.000",,,,
"67241","Level 1","Closed","Poor","Shaft","12",,,,,,,"D556E89C-D639-45AF-998B-F6819D020B18","E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF",,"POINT (996907.33437523246 219351.91166685522)","A0613241-E32D-4D57-A596-961353128499","2015-03-03T05:00:00.000","2015-03-04T05:00:00.000","2015-03-04T05:00:00.000","2017-11-09T18:41:14.000",,,,"
,  
(40.76873764800776, -73.95430481474362)"
"67242","Level 1","Closed","Good","Full","13",,,,,,,"7849F96D-8739-4FD6-A430-6EAA7256D512",,,,"35F96A52-32E4-4C3A-B584-011205290AA8","2014-12-08T05:00:00.000","2015-03-04T05:00:00.000","2015-03-04T05:00:00.000","2016-10-06T13:47:06.000",,,,
"67637","Level 1","Closed","Dead","Full","6",,,,,,,"380AB840-F0E9-4B14-A4D6-A99B8861065E",,,,"AA471584-3DEE-41EE-ACF2-E7D7DD9D5602","2015-02-28T05:00:00.000","2015-03-04T05:00:00.000","2015-03-04T05:00:00.000","2015-04-27T14:53:02.000",,,,
