"borough","address","building","court","total_sq","ct_sq","percent_ct","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","location"
"BRONX","1118 Grand Concourse","Bronx Housing Court","COURT","99000","99000","1","10456","40.832556","-73.919434","204","16","18102","2101266","2024620039","BX14","POINT (-73.919434 40.832556)"
"BRONX","851 Grand Concourse","Bronx County Courthouse","COURT","555600","500040","0.9","10451","40.826270","-73.922968","204","8","63","2002869","2024680001","BX63","POINT (-73.922968 40.82627)"
"BROOKLYN","210 Joralemon St.","Brooklyn Municipal Building","NON-COURT","468000","0","0","11201","40.692459","-73.990491","302","33","9","3002558","3002667501","BK09","POINT (-73.990491 40.692459)"
"QUEENS","151-20 Jamaica Ave.","New Queens Family Court","COURT","300000","250000","0.833333","11432","40.702698","-73.802394","412","27","240","4438731","4100930001","QN61","POINT (-73.802394 40.702698)"
"MANHATTAN","125 Worth St.","Health Building","NON-COURT","406109","0","0","10013","40.715428","-74.002673","101","1","31","1001831","1001680032","MN24","POINT (-74.002673 40.715428)"
"MANHATTAN","City Hall Park","City Hall","NON-COURT","52000","0","0","10007","40.712386","-74.006879","101","1","31","1000000","1001220001","MN24","POINT (-74.006879 40.712386)"
"MANHATTAN","170 E. 121 St.","Harlem Courthouse","COURT","25700","25700","1","10035","40.801423","-73.938373","111","8","196","1054382","1017690045","MN34","POINT (-73.938373 40.801423)"
"STATEN IS","26 Central Avenue","Staten Island Court","COURT","182719","150430","0.84","10301","40.641120","-74.076847","501","49","3","5151735","5000060021","SI22","POINT (-74.076847 40.64112)"
"BROOKLYN","45 Monroe Pl.","Brooklyn Appellate Court","COURT","49500","49500","1","11201","40.695822","-73.992802","302","33","502","3001881","3002370001","BK09","POINT (-73.992802 40.695822)"
"MANHATTAN","100 Centre St.","Manhattan Criminal Court","COURT","795700","556990","0.7","10013","40.716084","-74.001425","101","1","29","1079000","1001670001","MN27","POINT (-74.001425 40.716084)"
"STATEN IS","100 Richmond Terrace","Staten Island Family Court","COURT","12300","12300","1","10301","40.644935","-74.077230","501","49","7","5000090","5000090022","SI22","POINT (-74.07723 40.644935)"
"MANHATTAN","27 Madison Ave.","Manhattan Appellate Court","COURT","54300","54300","1","10010","40.742232","-73.986821","105","2","56","1016743","1008550001","MN13","POINT (-73.986821 40.742232)"
"BRONX","4101 White Plains Rd.","Bronx Neighborhood Building","NON-COURT","17364","0","0","10466","40.890740","-73.858862","212","12","420","2063174","2048320009","BX44","POINT (-73.858862 40.89074)"
"BRONX","265 E. 161 Street","Bronx Hall of Justice","COURT","784000","637392","0.813","10451","40.825713","-73.918828","204","16","18302","2097114","2024440001","BX14","POINT (-73.918828 40.825713)"
