"fy","type","received","address","bor_name","block","lot","bbl","landm_type","app_status","staff_action","board_action","amount","prj_status","latitude","longitude","community_board","council_district","census_tract","bin","nta","postcode"
"80","HO","1980-01-15T00:00:00.000","13 Mount Morris Park West","Manhattan","1720","53","1017200053","Mount Morris Park Historic District","Closed","Presented to board","Approved","6691.00","Completed","40.804721","-73.945554","110","9","200","1053366","Central Harlem South","10027"
"81","HO","1981-03-10T00:00:00.000","777 Dawson Street","Bronx","2695","31","2026950031","Longwood Historic District","Closed","Denied at staff level",,,,"40.817582","-73.899885","202","17","85","2005328","Longwood","10455"
"83","HO","1982-07-26T00:00:00.000","468 West 141st Street","Manhattan","2057","152","1020570152","Hamilton Heights Historic District","Closed","Presented to board","Approved","9600.00","Completed","40.822343","-73.948658","109","9","227","1061220","Hamilton Heights","10031"
"83","HO","1983-05-13T00:00:00.000","116 MacDonough Street","Brooklyn","1855","28","3018550028","Stuyvesant Heights Historic District","Closed","Presented to board","Approved","10800.00","Completed","40.681224","-73.941837","303","36","269","3053506","Bedford","11216"
"83","HO","1983-05-13T00:00:00.000","118 MacDonough Street","Brooklyn","1855","29","3018550029","Stuyvesant Heights Historic District","Closed","Presented to board","Approved","9850.00","Completed","40.68123","-73.941779","303","36","269","3053507","Bedford","11216"
"86","HO","1985-11-22T00:00:00.000","22 West 119th Street","Manhattan","1717","146","1017170146","Mount Morris Park Historic District","Closed","Denied at staff level",,,,"40.802967","-73.945946","110","9","190","1053224","Central Harlem South","10026"
"86","HO","1986-04-03T00:00:00.000","777 Dawson Street","Bronx","2695","31","2026950031","Longwood Historic District","Closed","Denied at staff level",,,,"40.817582","-73.899885","202","17","85","2005328","Longwood","10455"
"86","HO","1986-04-04T00:00:00.000","962 East 156th Street","Bronx","2708","9","2027080009","Longwood Historic District","Closed","Denied at staff level",,,,"40.816135","-73.899681","202","17","85","2005549","Longwood","10455"
"86","HO","1986-05-22T00:00:00.000","329 Adelphi Street","Brooklyn","2121","19","3021210019","Fort Greene Historic District","Closed","Presented to board","Approved","10000.00","Completed","40.687422","-73.97071","302","35","181","3059470","Fort Greene","11238"
"87","HO","1986-07-11T00:00:00.000","254 Sterling Street","Brooklyn","1320","18","3013200018","Prospect Lefferts Gardens Historic District","Closed","Presented to board","Approved","10000.00","Completed","40.663015","-73.952576","309","40","329","3035034","Prospect Lefferts Gardens-Wingate","11225"
"87","HO","1986-08-13T00:00:00.000","175 Rutland Road","Brooklyn","5035","65","3050350065","Prospect Lefferts Gardens Historic District","Closed","Presented to board","Approved","10000.00","Completed","40.65914","-73.954893","309","40","800","3115195","Prospect Lefferts Gardens-Wingate","11225"
"87","NFP","1986-08-20T00:00:00.000","37-01 Bowne Street","Queens","5013","6","4050130006","Individual Landmark","Closed","Presented to board","Approved","15000.00","Completed","40.762853","-73.825247","407","20","865","4113403","Flushing","11354"
"87","NFP","1986-09-26T00:00:00.000","201 DeKalb Avenue","Brooklyn","2090","68","3020900068","Fort Greene Historic District","Closed","Presented to board","Approved","12300.00","Completed","40.689566","-73.971524","302","35","183","3058528","Fort Greene","11205"
"87","HO","1986-10-31T00:00:00.000","41 Cambridge Place","Brooklyn","1965","14","3019650014","Clinton Hill Historic District","Closed","Presented to board","Approved","9925.00","Completed","40.685817","-73.963269","302","35","201","3056191","Clinton Hill","11238"
"87","HO","1987-04-14T00:00:00.000","293 East 139th Street","Bronx","2314","83","2023140083","Mott Haven Historic District","Closed","Presented to board","Approved","10000.00","Completed","40.811157","-73.925612","201","8","39","2000725","Mott Haven-Port Morris","10454"
