"queens_condominium_property_boro_block_lot","queens_condominium_property_condo_section","queens_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","queens_condominium_property_neighborhood","queens_condominium_property_building_classification","queens_condominium_property_total_units","queens_condominium_property_year_built","queens_condominium_property_gross_sqft","queens_condominium_property_est_gross_income","queens_condominium_property_gross_income_per_sqft","queens_condominium_property_full_market_value","queens_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-00015-7501","608-R1","2-40 51 AVENUE","4","11101","40.742796","-73.958312","2","26","1","4000011","4000157501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","57","2007","53685","1503180","28","6229998","116","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","0.25","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","2.1"
"4-00016-7501","597-R1","50-09 2 STREET","4","11101","40.743408","-73.958434","2","26","1","4540156","4000167501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","177","1909","187845","3944745","21","16299993","87","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","0.2","4-00573-0046","27-10 ASTORIA BOULEVARD","ASTORIA","D7-ELEVATOR","27","2004","25920","519388","20.04","1940000","75","2.65"
"4-00021-7501","639-R1","46-30 CENTER BOULEVARD","4","11109","40.746655","-73.956508","2","26","1","4536823","4000217501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","184","2008","250720","7020160","28","29099993","116","4-00021-0070","47-25 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","495","2007","460000","17060015","37.1","36200000","79","0.1","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","0.1"
"4-00030-7501","558-R1","5-09 48 AVENUE","4","11101","40.744448","-73.955636","2","26","7","4536962","4000307501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","121","2007","113450","3176600","28","13200011","116","4-00021-0070","47-25 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","495","2007","460000","17060015","37.1","36200000","79","0.15",,,,,,,,,,,,
"4-00031-7501","478-R1","5-15 49 AVENUE","4","11101","40.743811","-73.95585","2","26","7","4533602","4000317501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R2-WALK-UP","47","2005","62866","1760248","28","7289996","116","4-00575-0029","27-37 27 STREET","ASTORIA","D3-ELEVATOR","30","1970","30572","1020478","33.4","4750000","155","2.4","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.2"
"4-00032-7501","487-R1","5-03 50 AVENUE","4","11101","40.743119","-73.956085","2","26","7","4532187","4000327501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","13","2006","18375","459375","25","1990000","108","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.15","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","2"
"4-00034-7501","604-R1","5-49 BORDEN AVENUE","4","11101","40.741406","-73.954881","2","26","7","4533745","4000347501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","132","2008","140166","3644316","26","15099989","108","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","0.3","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.15"
"4-00040-7501","594-R1","10-46 JACKSON AVENUE","4","11101","40.742281","-73.953119","2","26","7","4537822","4000407501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","48","2007","58876","1574933","26.8","6519988","111","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","2","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0"
"4-00042-7501","619-R1","10-63 JACKSON AVENUE","4","11101","40.742605","-73.952538","2","26","7","4000240","4000427501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","41","2008","34824","975072","28","4040003","116","4-00021-0060","47-05 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","395","2007","466000","11898889","25.5","25200000","54","0.3","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.95"
"4-00047-7501","542-R1","10-55 47 AVENUE","4","11101","40.745256","-73.951911","2","26","7","4436608","4000477501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","43","2007","58500","1579500","27","6540005","112","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.75","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.25"
"4-00047-7502","586-R1","10-40 46 ROAD","4","11101","40.745981","-73.951918","2","26","7","4000000","4000477502","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","23","2007","36875","958750","26","3969998","108","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.75","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","5.4"
"4-00057-7501","488-R1","13-15 JACKSON AVENUE","4","11101","40.744335","-73.949191","2","26","7","4533603","4000577501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","54","2006","60623","1697444","28","7030000","116","4-00575-0029","27-37 27 STREET","ASTORIA","D3-ELEVATOR","30","1970","30572","1020478","33.4","4750000","155","2.2","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","0.25"
"4-00061-7501","607-R1","48-15 11 STREET","4","11101","40.743581","-73.951238","2","26","7","4536917","4000617501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","72","2007","80874","2183598","27","9039997","112","4-00021-0070","47-25 CENTER BOULEVARD","LONG ISLAND CITY","D8-ELEVATOR","495","2007","460000","17060015","37.1","36200000","79","0.45","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","1.85"
"4-00082-7501","484-R1","27-28 THOMSON AVENUE","4","11101","40.746196","-73.942029","2","26","19","4000697","4000827501","Hunters Point-Sunnyside-West Maspeth                                       ","LONG ISLAND CITY","R4-ELEVATOR","237","1920","310173","5893287","19","21999999","71","4-00139-0035","43-34 49 STREET","SUNNYSIDE","D1-ELEVATOR","72","1927","53000","991076","18.7","3710000","70","1.35","4-00153-0012","45-35 46 STREET","SUNNYSIDE","D1-ELEVATOR","45","1927","33078","653159","19.75","2440000","74","1.25"
"4-00134-7501","498-R1","49-07 43 AVENUE","4","11377","40.744565","-73.915387","2","26","25301","4534016","4001347501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","15","2005","15610","359030","23","1490002","95","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","2","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","1.7"
"4-00158-7501","553-R1","41-32 44 STREET","4","11104","40.746501","-73.919939","2","26","183","4534472","4001587501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","39","2006","25035","575805","23","2390001","95","4-00040-0015","10-28 JACKSON AVENUE","LONG ISLAND CITY","D9-ELEVATOR","25","2005","24464","625842","25.6","2590000","106","1.7","4-00531-0059","14-56 31 DRIVE","ASTORIA","D6-ELEVATOR","63","2001","61700","1369718","22.2","5670000","92","1.5"
"4-00159-7501","93-R1","41-21 42 STREET","4","11104","40.746727","-73.921768","2","26","18102","4001783","4001597501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","52","1936","54986","742311","13.5","2310005","42","4-00186-0001","41-43 39 PLACE","SUNNYSIDE","D1-ELEVATOR","84","1939","84000","1186373","14.12","3690000","43.9","0.15","4-00184-0029","41-22 42 STREET","SUNNYSIDE","D1-ELEVATOR","60","1937","61770","888455","14.38","2770000","44.8","0.05"
"4-00159-7502","92-R1","41-07 42 STREET","4","11104","40.746741","-73.921764","2","26","18102","4001835","4001597502","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R4-ELEVATOR","60","1936","58926","766038","13","2390006","40.6","4-00160-0009","43-31 45 STREET","SUNNYSIDE","D7-ELEVATOR","95","1931","79830","1069692","13.4","3330000","41.7","0.2","4-00160-0018","43-15 45 STREET","SUNNYSIDE","D1-ELEVATOR","52","1931","43050","628449","14.6","1960000","45.5","0.2"
"4-00160-7501","308-R1","43-30 BEACH 46 STREET","4",,,,,,,,,,"SUNNYSIDE","R4-ELEVATOR","93","1930","69337","970718","14","3020013","43.6","4-00184-0014","41-19 41 STREET","SUNNYSIDE","D1-ELEVATOR","49","1937","40800","635900","15.59","2150000","53","0.25","4-00189-0019","43-09 40 STREET","SUNNYSIDE","D1-ELEVATOR","77","1932","66714","1084929","16.26","3670000","55","0.25"
"4-00161-7501","335-R1","43-42 45 STREET","4","11104","40.744302","-73.919432","2","26","183","4435590","4001617501","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","R9-CONDOPS","88","1936","70260","983640","14","3060000","43.6","4-00160-0018","43-15 45 STREET","SUNNYSIDE","D1-ELEVATOR","52","1931","43050","628449","14.6","1960000","45.5","0.05","4-00158-0038","41-44 44 STREET","SUNNYSIDE","D1-ELEVATOR","94","1930","71490","1070415","14.97","3620000","51","0.1"
