"objectid","cen_year","tree_dbh","address","tree_loc","pit_type","soil_lvl","status","spc_latin","spc_common","vert_other","vert_pgrd","vert_tgrd","vert_wall","horz_blck","horz_grate","horz_plant","horz_other","sidw_crack","sidw_raise","wire_htap","wire_prime","wire_2nd","wire_other","inf_canopy","inf_guard","inf_wires","inf_paving","inf_outlet","inf_shoes","inf_lights","inf_other","trunk_dmg","zipcode","zip_city","cb_num","borocode","boroname","cncldist","st_assem","st_senate","nta","nta_name","boro_ct","state","latitude","longitude","x_sp","y_sp","objectid_1","census_tract","bin","bbl","location_1"
"592373","2005","6","1139 57 STREET","Front","Sidewalk Pit","Level","Good","PYRUS CALLERYANA","PEAR, CALLERY","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","None","11219","Brooklyn","312","3","Brooklyn","44","48","17","BK88","Borough Park","3021600","New York","40.63265321","-74.00024499","984182","169769","0","216","3140038","3056890063","(40.63265321, -74.00024499)"
"592374","2005","6","2220 BERGEN AVENUE","Across","Sidewalk Pit","Level","Good","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.62008375","-73.9014528","1011608","165205","1","706","3238037","3084440046","(40.62008375, -73.9014528)"
"592375","2005","13","2360 BERGEN AVENUE","Front","Continuous Pit","Level","Good","ACER PLATANOIDES          CRIMSON KING","MAPLE, NORWAY-CR KNG","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Cavity","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.61799567","-73.89911096","1012259","164445","2","706","3238299","3084530066","(40.61799567, -73.89911096)"
"592376","2005","13","2254 BERGEN AVENUE","Across","Sidewalk Pit","Level","Good","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.6196936","-73.90100311","1011733","165063","3","706","3238045","3084440063","(40.6196936, -73.90100311)"
"592377","2005","15","2332 BERGEN AVENUE","Across","Sidewalk Pit","Level","Good","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.61832261","-73.89946707","1012160","164564","4","706","3238294","3084530053","(40.61832261, -73.89946707)"
"592378","2005","21","2361 EAST   72 STREET","Front","Sidewalk Pit","Level","Poor","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.61609332","-73.9020386","1011447","163751","5","706","3238181","3084500015","(40.61609332, -73.9020386)"
"592379","2005","19","2409 EAST   70 STREET","Front","Continuous Pit","Level","Good","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Trunk Wound","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3070600","New York","40.61423267","-73.90242312","1011341","163073","6","706","3238339","3084570027","(40.61423267, -73.90242312)"
"592380","2005","11","1481 EAST   63 STREET","Front","Lawn","Level","Excellent","PLATANUS ACERIFOLIA","LONDON PLANETREE","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3069800","New York","40.61846207","-73.9158994","1007598","164610","7","698","3321594","3083850012","(40.61846207, -73.9158994)"
"592381","2005","14","1461 EAST   63 STREET","Front","Lawn","Level","Excellent","ACER PLATANOIDES          CRIMSON KING","MAPLE, NORWAY-CR KNG","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","None","11234","Brooklyn","318","3","Brooklyn","46","59","19","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","3069800","New York","40.61848954","-73.91593179","1007589","164620","8","698","3236365","3083850020","(40.61848954, -73.91593179)"
"592382","2005","3","1163 57 STREET","Front","Lawn","Level","Good","CRATAEGUS SPECIES","HAWTHORN, OTHER","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","None","11219","Brooklyn","312","3","Brooklyn","44","48","17","BK88","Borough Park","3021600","New York","40.63242265","-73.9998667","984287","169685","9","216","3140034","3056890055","(40.63242265, -73.9998667)"
