"age_group","borough","_1","_of_total_borough_population_2000","_2","_of_total_borough_population_2010","_3","_of_total_borough_population_2020","_4","_of_total_borough_population_2030","change_in_number_2000_2010","change_in_percent_2000_2010","change_in_number_2010_2020_","change_in_percent_2010_2020","change_in_number_2020_2030_","change_in_percent_2020_2030","change_in_number_2000_2030_","change_in_percent_2000_2030"
"Total","New York City","8242624","100.00","8550971","100.00","8821027","100.00","9025145","100.00","308347","3.74","270056","3.16","204118","2.31","782521","9.49"
"Total","   Bronx","1385108","100.00","1446788","100.00","1518998","100.00","1579245","100.00","61680","4.45","72210","4.99","60247","3.97","194137","14.02"
"Total","   Brooklyn","2552911","100.00","2648452","100.00","2754009","100.00","2840525","100.00","95541","3.74","105557","3.99","86516","3.14","287614","11.27"
"Total","   Manhattan","1585873","100.00","1638281","100.00","1676720","100.00","1691617","100.00","52408","3.30","38439","2","14897","0.89","105744","6.67"
"Total","   Queens","2250002","100.00","2330295","100.00","2373551","100.00","2412649","100.00","80293","3.57","43256","1.86","39098","2","162647","7.23"
"Total","   Staten Island","468730","100.00","487155","100.00","497749","100.00","501109","100.00","18425","3.93","10594","2.17","3360","0.68","32379","6.91"
"School-Age (5 to17) ","New York City","1260400","15.29","1282814","15.00","1347036","15.27","1342097","14.87","22415","1.78","64222","5.01","-4939","-0.37","81697","6.48"
"School-Age (5 to17) ","   Bronx","265052","19.14","259013","17.90","277830","18.29","281688","17.84","-6039","-2.28","18817","7.26","3858","1.39","16636","6.28"
"School-Age (5 to17) ","   Brooklyn","424704","16.64","441049","16.65","461688","16.76","454949","16.02","16345","3.85","20639","4.68","-6739","-1.46","30245","7.12"
"School-Age (5 to17) ","   Manhattan","157856","9.95","162931","9.95","177440","10.58","170114","10.06","5075","3.21","14509","8.90","-7326","-4.13","12258","7.77"
"School-Age (5 to17) ","   Queens","331926","14.75","341062","14.64","350544","14.77","355340","14.73","9137","2.75","9482","2.78","4796","1.37","23414","7.05"
"School-Age (5 to17) ","   Staten Island","80862","17.25","78759","16.17","79535","15.98","80005","15.97","-2103","-2.60","776","0.99","471","0.59","-857","-1.06"
"65 and over","New York City","1002208","12.16","1177215","13.77","1364178","15.47","1409708","15.62","175007","17.46","186963","15.88","45530","3.34","407500","40.66"
"65 and over","   Bronx","145882","10.53","171856","11.88","212334","13.98","228476","14.47","25974","17.80","40478","23.55","16142","7.60","82594","56.62"
"65 and over","   Brooklyn","294610","11.54","351609","13.28","408424","14.83","428845","15.10","56999","19.35","56815","16.16","20421","5.00","134235","46"
"65 and over","   Manhattan","214153","13.50","250806","15.31","278043","16.58","277444","16.40","36653","17.12","27237","10.86","-599","-0.22","63291","29.55"
"65 and over","   Queens","288219","12.81","325300","13.96","370214","15.60","377060","15.63","37081","12.87","44914","14","6846","1.85","88841","30.82"
"65 and over","   Staten Island","59344","12.66","77644","15.94","95163","19.12","97883","19.53","18300","30.84","17519","22.56","2720","2.86","38539","64.94"
