"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.mn-11-120240","2018-11-20T04:15:21.000","mn-11-120240","Link Active!","120240","2126 3 AVENUE","New York","NY","10035","Manhattan","40.79813946","-73.94003626","EAST 116 STREET","EAST 117 STREET","NW","2016-05-20T00:00:00.000","2016-07-01T00:00:00.000","up","down","up","11","8","182","MN34","East Harlem North"
"20181120_041521.qu-09-145883","2018-11-20T04:15:21.000","qu-09-145883","Link Active!","145883","96-01 JAMAICA AVENUE","New York","NY","11421","Queens","40.69467595","-73.84858743","97 STREET","96 STREET","MIDBLK","2017-07-15T00:00:00.000","2017-08-09T00:00:00.000","up","up","up","9","32","22","QN53","Woodhaven"
"20181120_041521.bk-08-145993","2018-11-20T04:15:21.000","bk-08-145993","Link Installed; Connecting Power and Fiber","145993","792 FRANKLIN AVENUE","New York","NY","11238","Brooklyn","40.671355","-73.957793","LINCOLN PLACE","EASTERN PARKWAY","NW","2017-11-10T00:00:00.000",,"Not Available","Not Available","Not Available","8","35","217","BK61","Crown Heights North"
"20181120_041521.qu-01-125165","2018-11-20T04:15:21.000","qu-01-125165","Link Installed; Connecting Power and Fiber","125165","37-02 ASTORIA BOULEVARD SOUTH","New York","NY","11103","Queens","40.76909552","-73.912837","37 STREET","38 STREET","SE","2018-06-14T00:00:00.000",,"Not Available","Not Available","Not Available","1","22","6502","QN70","Astoria"
"20181120_041521.qu-09-145984","2018-11-20T04:15:21.000","qu-09-145984","Link Active!","145984","91-03 JAMAICA AVENUE","New York","NY","11421","Queens","40.693166","-73.853678","91 STREET","92 STREET","NE","2017-10-14T00:00:00.000","2018-03-29T00:00:00.000","up","up","up","9","32","14","QN53","Woodhaven"
"20181120_041521.mn-11-120180","2018-11-20T04:15:21.000","mn-11-120180","Link Active!","120180_120181","25 EAST 116 STREET","New York","NY","10035","Manhattan","40.80014153","-73.94496616","MADISON AVENUE","5 AVENUE","NW","2016-10-15T00:00:00.000","2017-01-25T00:00:00.000","up","up","up","11","9","184","MN34","East Harlem North"
"20181120_041521.mn-06-133473","2018-11-20T04:15:21.000","mn-06-133473","Link Active!","133473_133474","760 3 AVENUE","New York","NY","10017","Manhattan","40.754092","-73.97218","EAST 47 STREET","EAST 48 STREET","NW","2016-02-08T00:00:00.000","2016-02-22T00:00:00.000","up","up","up","6","4","92","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-03-115305","2018-11-20T04:15:21.000","mn-03-115305","Link Active!","115305_133606","193 2 AVENUE","New York","NY","10003","Manhattan","40.73115701","-73.98592802","EAST 12 STREET","EAST 13 STREET","NW","2016-07-08T00:00:00.000","2016-09-13T00:00:00.000","up","up","up","3","2","40","MN22","East Village"
"20181120_041521.mn-05-135639","2018-11-20T04:15:21.000","mn-05-135639","Link Pending Activation","135639_135666","462 PARK AVENUE SOUTH","New York","NY","10016","Manhattan","40.74533995","-73.98276825","EAST 32 STREET","EAST 31 STREET","NW","2018-03-10T00:00:00.000",,"Not Available","Not Available","Not Available","5","2","74","MN17","Midtown-Midtown South"
"20181120_041521.mn-05-136688","2018-11-20T04:15:21.000","mn-05-136688","Link Active!","136688_136692","302 5 AVENUE","New York","NY","10001","Manhattan","40.74671976","-73.98593572","WEST 31 STREET","WEST 32 STREET","NW","2017-03-18T00:00:00.000","2017-05-10T00:00:00.000","up","up","up","5","4","76","MN17","Midtown-Midtown South"
"20181120_041521.mn-07-133404","2018-11-20T04:15:21.000","mn-07-133404","Link Active!","133404_133405","2160 BROADWAY","New York","NY","10023","Manhattan","40.781853288461434","-73.9808357237589","WEST 76 STREET","WEST 77 STREET","NE","2016-05-25T00:00:00.000","2016-06-27T00:00:00.000","up","up","up","7","6","163","MN12","Upper West Side"
