"center_name","borough","address","comments","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Living Room","Bronx","800 Barretto Street; Bronx, NY 10474","Open 24 hours","10474","40.816615","-73.889883","202","17","93","2006002","2027400100","Hunts Point"
"Mainchance","Manhattan","120 E. 32nd Street; New York, NY 10016","Open 24 hours","1016","40.745377","-73.981306","105","2","72","1018469","1008870087","Murray Hill-Kips Bay"
"Olivieri","Manhattan","257 West 30th Street; New York, NY 10001","Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months","10001","40.749139","-73.994016","105","3","101","1014337","1007800009","Midtown-Midtown South"
"Haven","Bronx","2640 Third Ave., Bronx, NY 10454",,"10454","40.812663","-73.924125","201","8","41","2000752","2023150030","Mott Haven-Port Morris"
"Project Hospitality","Staten Island","150 Richmond Terrace; Staten Island, NY 10301","Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months","10301","40.645821","-74.077908","501","49","7","5000104","5000120001","West New Brighton-New Brighton-St. George"
"The Gathering Place","Brooklyn","2402 Atlantic Ave; Brooklyn, NY 11233","Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months","11233","40.676015","-73.905105","316","37","36502","3038666","3014370008","Ocean Hill"
"Queens Drop In Center","Queens","100-32 Atlantic Avenue, Jamaica, NY 11416","Open 24 hours a day, seven days a week, including holidays","11416","40.689535","-73.843952","409","28","114","4196975","4093760015","Richmond Hill"
