"_10_digit_bbl","is_this_required_to_comply","is_this_required_to_report","borocode","block","lot","number_of_buildings","tax_class","street_number","street_address_see_note_3","postcode","borough","dof_square_footage_see_note","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1000010010","Yes","No","1","1","10","1","4","1","GOVERNORS ISLAND","10004","Manhattan","2725731","40.690096","-74.012866","101","1","5","1086389","park-cemetery-etc-Manhattan"
"1000030001","Yes","No","1","3","1","1","4","10","BATTERY PARK","10004","Manhattan","945425","40.70288","-74.015523","101","1","319","1000000","park-cemetery-etc-Manhattan"
"1000047501","Yes","No","1","4","7501","1","2","1","WATER STREET","10004","Manhattan","2542563","40.702444","-74.012742","101","1","9","1000005","Battery Park City-Lower Manhattan"
"1000050010","Yes","No","1","5","10","1","4","115","BROAD STREET","10004","Manhattan","1016406","40.702486","-74.011357","101","1","9","1000007","Battery Park City-Lower Manhattan"
"1000057501","Yes","No","1","5","7501","1","2","125","BROAD STREET","10004","Manhattan","1354691","40.702112","-74.011249","101","1","9","1000006","Battery Park City-Lower Manhattan"
"1000087501","Yes","No","1","8","7501","1","2","39","WHITEHALL STREET","10004","Manhattan","169061","40.703037","-74.012969","101","1","9","1087700","Battery Park City-Lower Manhattan"
"1000090001","Yes","No","1","9","1","1","4","34","WHITEHALL STREET","10004","Manhattan","845018","40.703034","-74.012991","101","1","9","1000018","Battery Park City-Lower Manhattan"
"1000090014","Yes","No","1","9","14","1","4","17","STATE STREET","10004","Manhattan","544015","40.702798","-74.014246","101","1","9","1000020","Battery Park City-Lower Manhattan"
"1000090029","Yes","No","1","9","29","1","4","24","STATE STREET","10004","Manhattan","896956","40.703534","-74.014387","101","1","9","1000021","Battery Park City-Lower Manhattan"
"1000100014","Yes","No","1","10","14","1","4","33","WHITEHALL STREET","10004","Manhattan","365792","40.703312","-74.013038","101","1","9","1000023","Battery Park City-Lower Manhattan"
"1000100016","Yes","No","1","10","16","1","4","90","BROAD STREET","10004","Manhattan","336025","40.703954","-74.011592","101","1","9","1000025","Battery Park City-Lower Manhattan"
"1000100023","Yes","No","1","10","23","1","4","1","WHITEHALL STREET","10004","Manhattan","321994","40.703973","-74.013164","101","1","9","1000027","Battery Park City-Lower Manhattan"
"1000110014","Yes","Yes","1","11","14","1","2","26","BEAVER STREET","10004","Manhattan","51387","40.704959","-74.011902","101","1","9","1085816","Battery Park City-Lower Manhattan"
"1000110021","Yes","No","1","11","21","1","4","80","BROAD STREET","10004","Manhattan","361710","40.704322","-74.011581","101","1","9","1000038","Battery Park City-Lower Manhattan"
"1000130001","Yes","Yes","1","13","1","1","4","1","BROADWAY","10004","Manhattan","180646","40.704785","-74.014099","101","1","13","1000043","Battery Park City-Lower Manhattan"
"1000130005","Yes","No","1","13","5","1","4","9","BROADWAY","10004","Manhattan","434220","40.705238","-74.013828","101","1","13","1000044","Battery Park City-Lower Manhattan"
"1000130027","Yes","No","1","13","27","1","4","25","BROADWAY","10004","Manhattan","809401","40.705752","-74.013374","101","1","13","1000045","Battery Park City-Lower Manhattan"
"1000150022","Yes","Yes","1","15","22","1","2","21","WEST STREET","10006","Manhattan","335746","40.706451","-74.016119","101","1","13","1000047","Battery Park City-Lower Manhattan"
"1000157501","Yes","Yes","1","15","7501","1","2","17","BATTERY PLACE","10004","Manhattan","1402831","40.704884","-74.015927","101","1","13","1082634","Battery Park City-Lower Manhattan"
"1000157502","Yes","No","1","15","7502","1","2","20","WEST STREET","10004","Manhattan","259076","40.706358","-74.016151","101","1","13","1087243","Battery Park City-Lower Manhattan"
"1000160120","Yes","No","1","16","120","1","4","200","LIBERTY STREET","10281","Manhattan","1501878","40.711425","-74.015442","101","1","31704","1000057","Battery Park City-Lower Manhattan"
"1000160125","Yes","Yes","1","16","125","1","4","225","LIBERTY STREET","10280","Manhattan","2267925","40.711537","-74.015673","101","1","31703","1000058","Battery Park City-Lower Manhattan"
"1000160140","Yes","Yes","1","16","140","1","4","200","VESEY STREET","10281","Manhattan","2233692","40.714447","-74.015493","101","1","31703","1000059","Battery Park City-Lower Manhattan"
"1000160150","Yes","No","1","16","150","1","4","250","VESEY STREET","10281","Manhattan","2084079","40.714529","-74.015677","101","1","31703","1000060","Battery Park City-Lower Manhattan"
"1000160185","Yes","Yes","1","16","185","1","2","211","NORTH END AVENUE","10282","Manhattan","278142","40.71622","-74.015075","101","1","31703","1086547","Battery Park City-Lower Manhattan"
"1000160195","Yes","Yes","1","16","195","1","2","325","NORTH END AVENUE","10282","Manhattan","356483","40.716637","-74.014754","101","1","31703","1086507","Battery Park City-Lower Manhattan"
"1000160200","Yes","Yes","1","16","200","1","2","400","CHAMBERS STREET","10282","Manhattan","484000","40.717774","-74.014206","101","1","31703","1085774","Battery Park City-Lower Manhattan"
"1000160205","Yes","Yes","1","16","205","1","2","455","NORTH END AVENUE","10282","Manhattan","239185","40.717384","-74.014166","101","1","31703","1085815","Battery Park City-Lower Manhattan"
"1000160221","Yes","No","1","16","221","1","2","201","WARREN STREET","10282","Manhattan","244617","40.716668","-74.013542","101","1","31703","1085568","Battery Park City-Lower Manhattan"
"1000160260","Yes","No","1","16","260","1","4","200","WEST STREET","10282","Manhattan","2152863","40.713846","-74.013812","101","1","31703","1087239","Battery Park City-Lower Manhattan"
"1000167501","Yes","Yes","1","16","7501","1","2","377","RECTOR PLACE","10280","Manhattan","220821","40.709506","-74.018002","101","1","31704","1000061","Battery Park City-Lower Manhattan"
"1000167502","Yes","No","1","16","7502","1","2","320","ALBANY STREET","10280","Manhattan","150855","40.710165","-74.016751","101","1","31704","1000301","Battery Park City-Lower Manhattan"
"1000167503","Yes","Yes","1","16","7503","1","2","250","SOUTH END AVENUE","10280","Manhattan","106052","40.709709","-74.01656","101","1","31704","1065089","Battery Park City-Lower Manhattan"
"1000167504","Yes","Yes","1","16","7504","1","2","300","ALBANY STREET","10280","Manhattan","91774","40.710118","-74.016574","101","1","31704","1000436","Battery Park City-Lower Manhattan"
"1000167505","Yes","Yes","1","16","7505","1","2","380","RECTOR PLACE","10280","Manhattan","257092","40.709311","-74.017764","101","1","31704","1000544","Battery Park City-Lower Manhattan"
"1000167506","Yes","Yes","1","16","7506","1","2","280","RECTOR PLACE","10280","Manhattan","106631","40.708921","-74.016505","101","1","31704","1065199","Battery Park City-Lower Manhattan"
"1000167507","Yes","No","1","16","7507","1","2","300","RECTOR PLACE","10280","Manhattan","129176","40.709097","-74.017104","101","1","31704","1065321","Battery Park City-Lower Manhattan"
"1000167508","Yes","Yes","1","16","7508","1","2","200","RECTOR PLACE","10280","Manhattan","590974","40.708809","-74.016116","101","1","31704","1065475","Battery Park City-Lower Manhattan"
"1000167509","Yes","Yes","1","16","7509","1","2","21","SOUTH END AVENUE","10280","Manhattan","237270","40.708114","-74.01763","101","1","31704","1075698","Battery Park City-Lower Manhattan"
"1000167510","Yes","Yes","1","16","7510","1","2","99","BATTERY PLACE","10280","Manhattan","348953","40.707977","-74.016729","101","1","31704","1080815","Battery Park City-Lower Manhattan"
"1000167511","Yes","No","1","16","7511","1","2","2","SOUTH END AVENUE","10280","Manhattan","189273","40.708037","-74.017656","101","1","31704","1082813","Battery Park City-Lower Manhattan"
"1000167512","Yes","Yes","1","16","7512","1","2","102","NORTH END AVENUE","10282","Manhattan","641681","40.714812","-74.016153","101","1","31703","1085867","Battery Park City-Lower Manhattan"
"1000167513","Yes","No","1","16","7513","1","2","10","LITTLE WEST STREET","10004","Manhattan","562340","40.705551","-74.0171","101","1","31704","1085789","Battery Park City-Lower Manhattan"
"1000167514","Yes","No","1","16","7514","1","2","30","LITTLE WEST STREET","10004","Manhattan","434680","40.706171","-74.016862","101","1","31704","1087238","Battery Park City-Lower Manhattan"
"1000167515","Yes","Yes","1","16","7515","1","2","225","RECTOR PLACE","10280","Manhattan","287819","40.70927","-74.016487","101","1","31704","1000053","Battery Park City-Lower Manhattan"
"1000167516","Yes","Yes","1","16","7516","1","2","2","RIVER TERRACE","10282","Manhattan","531665","40.715534","-74.016651","101","1","31703","1087518","Battery Park City-Lower Manhattan"
"1000167517","Yes","No","1","16","7517","1","2","70","BATTERY PLACE","10280","Manhattan","508458","40.707047","-74.017439","101","1","31704","1085778","Battery Park City-Lower Manhattan"
"1000167518","Yes","No","1","16","7518","1","2","333","RECTOR PLACE","10280","Manhattan","262021","40.709448","-74.017252","101","1","31704","1000055","Battery Park City-Lower Manhattan"
"1000167519","Yes","No","1","16","7519","1","2","300","NORTH END AVENUE","10282","Manhattan","273018","40.716525","-74.014815","101","1","31703","1087848","Battery Park City-Lower Manhattan"
"1000167520","Yes","No","1","16","7520","1","2","200","NORTH END AVENUE","10282","Manhattan","425407","40.71619","-74.015071","101","1","31703","1087847","Battery Park City-Lower Manhattan"
"1000167521","Yes","No","1","16","7521","1","2","212","WARREN STREET","10282","Manhattan","335784","40.717524","-74.015469","101","1","31703","1085929","Battery Park City-Lower Manhattan"
"1000170029","Yes","No","1","17","29","1","2","90","WASHINGTON STREET","10006","Manhattan","335114","40.708082","-74.014446","101","1","13","1000793","Battery Park City-Lower Manhattan"
"1000187501","Yes","Yes","1","18","7501","1","2","13","RECTOR STREET","10006","Manhattan","366993","40.707997","-74.013713","101","1","13","1000794","Battery Park City-Lower Manhattan"
"1000190013","Yes","No","1","19","13","1","4","42","TRINITY PLACE","10006","Manhattan","62089","40.707437","-74.013194","101","1","13","1000797","Battery Park City-Lower Manhattan"
"1000200001","Yes","No","1","20","1","1","4","29","BROADWAY","10006","Manhattan","316150","40.70601","-74.01315","101","1","13","1000802","Battery Park City-Lower Manhattan"
"1000200004","Yes","No","1","20","4","1","4","39","BROADWAY","10006","Manhattan","447452","40.706251","-74.012952","101","1","13","1000803","Battery Park City-Lower Manhattan"
"1000200009","Yes","No","1","20","9","1","4","45","BROADWAY","10006","Manhattan","368315","40.706397","-74.012829","101","1","13","1000804","Battery Park City-Lower Manhattan"
"1000200016","Yes","No","1","20","16","1","4","55","BROADWAY","10006","Manhattan","309381","40.706638","-74.012631","101","1","13","1000807","Battery Park City-Lower Manhattan"
