"name","subject","status","url"
"Int 1787-2017","A Local Law to amend the administrative code of the city of New York, in relation to the provision of community notification by the department of city planning upon receipt of a completed pre-application statement.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3291265&GUID=5AE40DD4-D06E-4D20-86CD-1DE4FE222D5E&Options=Advanced&Search="
"Int 1707-2017","A Local Law to amend the administrative code of the city of New York, in relation to amending open data standards","Enacted (Mayor's Desk for Signature)","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3136796&GUID=0144E84F-0BEC-4DB9-ABC6-B564DE4F717C&Options=Advanced&Search="
"Int 1489-2017","A Local Law to amend the administrative code of the city of New York, in relation to an owner’s duty to purchase and install radiator covers","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2972232&GUID=68F2AE59-E682-4BCD-9A37-6E896AB084CB&Options=Advanced&Search="
"Int 1472-2017","A Local Law to amend the administrative code of the city of New York, in relation to exempting certain grocery stores from the commercial rent tax","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2950119&GUID=94E311D0-3A50-4FAC-AA04-84EF986FEB01&Options=Advanced&Search="
"Int 1447-2017","A Local Law to amend the administrative code of the city of New York and the New York city building code, in relation to construction site safety training and repealing section 3310.10.2 of the New York city building code","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2939936&GUID=158EF0D3-4D99-4A33-8B16-55A67B1EDA18&Options=Advanced&Search="
"Int 1404-2016","A Local Law to amend the administrative code of the city of New York, in relation to penalties for violations of site safety provisions of the construction codes","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2900955&GUID=8626D0DE-BE35-4D15-8DA6-83F73C5B9AE0&Options=Advanced&Search="
"Int 1303-2016","A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to expanding the availability of food vendor permits, creating an office of street vendor enforcement, and establishing a street vendor advisory board","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2858236&GUID=EFEAD05C-4A4E-47E3-ACDA-ADEAA0FB3F2A&Options=Advanced&Search="
"Int 1250-2016","A Local Law to amend the administrative code of the city of New York, in relation to licensing tenant screening bureaus","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2813474&GUID=42E16D45-2E30-47DB-B82C-97A3FFAF187F&Options=Advanced&Search="
"Int 1182-2016","A Local Law to amend the administrative code of the city of New York, in relation to modification and removal of certain deed restrictions","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2735475&GUID=C514BD10-3BCE-4529-B12B-2C345CD4C387&Options=Advanced&Search="
"Res 0983-2016","Resolution calling upon the New York State Legislature to pass and the Governor to sign A.8396, legislation regarding the development of school codes of conduct and the treatment of students subject to certain disciplinary actions.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2564379&GUID=80D4D919-9925-40AB-9625-33E3E079BCD8&Options=Advanced&Search="
"Int 1015-2015","A Local Law to amend the administrative code of the city of New York, in relation to establishing a housing portal","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2530971&GUID=F9005660-0047-4057-8E35-B889DEEBB290&Options=Advanced&Search="
"Res 0909-2015","Resolution calling on the United States Department of Housing and Urban Development to support New York City's application for National Disaster Resilience Competition funding","Adopted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2523132&GUID=A1B85257-764C-4C7A-8B47-B9F86228E51B&Options=Advanced&Search="
"Int 0950-2015","A Local Law to amend the administrative code of the city of New York, in relation to limiting the number of sightseeing bus licenses.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2484504&GUID=3928347E-9C8B-467D-A096-FF3F94D59CBB&Options=Advanced&Search="
"Int 0867-2015","A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to requiring written communications regarding the results of inspections from the Departments of Consumer Affairs and Health and Mental Hygiene to be in the receiving business owner’s language of choice","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2404400&GUID=AE94F749-7163-4207-BA5A-D283894DBC98&Options=Advanced&Search="
"Int 0837-2015","A Local Law to amend the administrative code of the city of New York, in relation to requiring the Landmarks Preservation Commission to make available a database of all items designated or under consideration for designation.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2364119&GUID=15478AB4-27A1-4F01-9D26-5CB6E26A630D&Options=Advanced&Search="
"Int 0722-2015","A Local Law to amend the administrative code of the city of New York, in relation to minimum temperatures required to be maintained in dwellings","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2240508&GUID=4731360D-AB3E-4C20-BC89-B194AE40F6AD&Options=Advanced&Search="
"Res 0573-2015","Resolution calling upon the United States Congress to pass and the President to sign S.40/H.R.196, the Online Competition and Consumer Choice Act, and the Federal Communications Commission to formalize a strong network neutrality policy by reclassifying broadband as a Common Carrier under Title II of the Telecommunications Act of 1934","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2170514&GUID=B7FEDF4F-C77F-44B3-B642-C771A17DB407&Options=Advanced&Search="
"Int 0626-2015","A Local Law to amend the administrative code of the city of New York, in relation to personal information security.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2141267&GUID=11D9B7FA-AC13-4E89-8633-D15C5E5A5797&Options=Advanced&Search="
"Int 0627-2015","A Local Law to amend the administrative code of the city of New York, in relation to securing personal information privacy.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2141265&GUID=FBC1D6C4-97F6-447E-9823-42A21241DE19&Options=Advanced&Search="
"Int 0516-2014","A Local Law to amend the administrative code of the city of New York, in relation to establishing a pilot program for issuing warning notifications for first-time offenders of certain litter laws.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1946662&GUID=802E434D-8B36-495B-95A2-F3C4970782EA&Options=Advanced&Search="
"Int 0515-2014","A Local Law to amend the administrative code of the city of New York, in relation to the disposal of mattresses and box springs.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1946661&GUID=6301BF2E-A7FA-4F03-9E8F-80D7494AA35D&Options=Advanced&Search="
"Int 0461-2014","A Local Law to amend the administrative code of the city of New York, in relation to information regarding summer meals","Enacted (Mayor's Desk for Signature)","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1891015&GUID=D5C30A40-E775-4781-B666-19BFBBD1E3BC&Options=Advanced&Search="
"Int 0417-2014","A Local Law to amend the New York city charter, in relation to providing public notice of production permits.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1853954&GUID=38231E48-2730-497E-8592-EA6FF268F02F&Options=Advanced&Search="
"Int 0416-2014","A Local Law to amend the New York city charter, in relation to notification of community boards of changes of regulations relating to traffic.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1853946&GUID=FC8B2C18-B5A3-4785-9354-4596F5203C50&Options=Advanced&Search="
"Int 0415-2014","A Local Law to amend the New York city charter, in relation to requiring that no videotape, or its contents, produced by an agency be destroyed or otherwise disposed of and that the head of each agency transmit to the municipal reference and research center such material in a timely manner.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1853945&GUID=55C2A5CF-6D51-44DB-A856-8D4CCD1E888D&Options=Advanced&Search="
"Int 0405-2014","A Local Law to amend the administrative code city of New York, in relation to foldable bicycle access in passenger elevators","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1825186&GUID=61603015-238F-45D4-BBBA-081D8D62F26C&Options=Advanced&Search="
"Int 0328-2014","A Local Law to amend the New York city charter, in relation to the creation of a centralized FOIL website.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1796964&GUID=125D4F8F-E4DE-47CA-882D-2C607A5EA819&Options=Advanced&Search="
"Int 0318-2014","A Local Law to amend the administrative code of the city of New York, in relation to prohibiting discrimination based on one’s arrest record or criminal conviction","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1739365&GUID=EF70B69C-074A-4B8E-9D36-187C76BB1098&Options=Advanced&Search="
"Int 0268-2014","A Local Law to amend the administrative code of the city of New York and the New York city building code, in relation to protecting street trees during construction activities.","Laid Over in Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1709699&GUID=A6AF0274-7CFC-4958-AE3A-9960588ABA9C&Options=Advanced&Search="
"Int 0267-2014","A Local Law to amend the administrative code of the city of New York, in relation to establishing a pilot program for reserving parking spaces in municipal parking facilities","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1709696&GUID=7372DC40-298A-4DB0-825D-9C83A0CC73F5&Options=Advanced&Search="
"Int 0222-2014","A Local Law to amend the administrative code of the city of New York, in relation to amending the obligations of owners to provide notice to their tenants for service interruptions","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1687986&GUID=59F6D0E2-C1F1-4EAC-BD89-D1040BF9333E&Options=Advanced&Search="
"Int 0223-2014","A Local Law to amend the New York City charter, in relation to the creation of an annual report to assess the city’s indigent legal representation.","Committee","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1687985&GUID=2BBAA195-42E0-40DD-B8F9-8FAC7FE0ECA0&Options=Advanced&Search="
"Int 0216-2014","A Local Law to amend the administrative code of the city of New York, in relation to increasing the number of accessible pedestrian signals.","Enacted","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1687976&GUID=922DACA6-6565-47FD-8225-C9A61FF4A36F&Options=Advanced&Search="
