"cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","pd_cd","pd_desc","prem_typ_desc","rpt_dt","location_1","x_coord_cd","y_coord_cd","latitude","longitude"
"242955164","79","BROOKLYN","2021-04-22T00:00:00.000","08:00:00","2021-04-23T00:00:00.000","13:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE-HOUSE","2022-04-01T00:00:00.000","POINT (-73.953002 40.688188)","997284","190005","40.688188","-73.953002"
"238863220","25","MANHATTAN","2021-12-31T00:00:00.000","21:45:00","2021-12-31T00:00:00.000","21:50:00","COMPLETED","(null)","N.Y. HOUSING POLICE","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","637","HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE - PUBLIC HOUSING","2022-01-08T00:00:00.000","POINT (-73.932838 40.799522)","1002844","230571","40.799522","-73.932838"
"242870934","46","BRONX","2018-03-16T00:00:00.000","12:00:00","2022-03-30T00:00:00.000","22:57:00","COMPLETED","(null)","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2022-03-30T00:00:00.000","POINT (-73.91605 40.846629)","1007476","247738","40.846629","-73.91605"
"247126072","44","BRONX","2019-11-10T00:00:00.000","17:00:00","2022-06-24T00:00:00.000","19:03:00","COMPLETED","(null)","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","349","LARCENY,PETIT OF LICENSE PLATE","RESIDENCE - APT. HOUSE","2022-06-24T00:00:00.000","POINT (-73.925153 40.840845)","1004959","245628","40.840845","-73.925153"
"242181297","84","BROOKLYN","2000-03-16T00:00:00.000","00:00:00",,"(null)","COMPLETED","(null)","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","2022-03-16T00:00:00.000","POINT (-73.9832253756043 40.6954388081238)","988902","192641","40.6954388081238","-73.9832253756043"
"238537159","44","BRONX","2022-01-02T00:00:00.000","08:40:00","2022-01-02T00:00:00.000","08:50:00","COMPLETED","(null)","N.Y. POLICE DEPT","105","FELONY","INSIDE","ROBBERY","(null)","388","ROBBERY,RESIDENTIAL COMMON AREA","RESIDENCE - APT. HOUSE","2022-01-02T00:00:00.000","POINT (-73.918934 40.83577)","1006682","243781","40.83577","-73.918934"
"242411612","73","BROOKLYN","2021-12-01T00:00:00.000","12:00:00","2022-03-18T00:00:00.000","12:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","341","MISDEMEANOR","REAR OF","PETIT LARCENY","(null)","321","LARCENY,PETIT FROM AUTO","STREET","2022-03-18T00:00:00.000","POINT (-73.904476 40.658425)","1010753","179172","40.658425","-73.904476"
"238767390","14","MANHATTAN","2021-12-08T00:00:00.000","23:25:00",,"(null)","COMPLETED","(null)","N.Y. TRANSIT POLICE","121","FELONY","(null)","CRIMINAL MISCHIEF & RELATED OF","(null)","273","TAMPERING 1,CRIMINAL","TRANSIT - NYC SUBWAY","2022-01-06T00:00:00.000","POINT (-73.98817669 40.74828972)","987526","211899","40.74828972","-73.98817669"
"239323153","26","(null)","2021-12-24T00:00:00.000","15:30:00","2022-01-12T00:00:00.000","13:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","341","MISDEMEANOR","(null)","PETIT LARCENY","(null)","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","RESIDENCE - APT. HOUSE","2022-01-18T00:00:00.000","POINT (-73.957984 40.809707)","995881","234277","40.809707","-73.957984"
"238902247","75","BROOKLYN","2021-12-05T00:00:00.000","20:00:00",,"(null)","COMPLETED","(null)","N.Y. POLICE DEPT","344","MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES","(null)","101","ASSAULT 3","RESIDENCE-HOUSE","2022-01-10T00:00:00.000","POINT (-73.877759 40.669557)","1018160","183237","40.669557","-73.877759"
