"building_name","building_address","occupied_by_office_of_court","daily_event_rental_fee_for","daily_event_rental_fee_not","daily_set_up_removal_fee","daily_set_up_removal_fee_1","security_deposit_for_profit","security_deposit_not_for","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Manhattan Surrogate's Court","31 Chambers Street, New York, NY 10007","N","12200","10200","1000","500","1500","3000","10007","MANHATTAN","40.713402","-74.004635","1","1","31","1001670","1001530024","SoHo-TriBeCa-Civic Center-Little Italy"
"Tweed Courthouse","52 Chambers Street, New York, NY 10007","N","8500","7600","1000","500","1500","3000","10007","MANHATTAN","40.713814","-74.00557","1","1","31","1079146","1001220001","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan Supreme Court","60 Centre Street, New York, NY 10007","Y","8300","7500","1000","500","1500","3000","10007","MANHATTAN","40.714467","-74.002503","1","1","29","1085748","1001600021","Chinatown"
"Bronx County Courthouse","851 Grand Concourse, Bronx, NY 10451","Y","7500","6900","1000","500","1500","3000","10451","BRONX","40.825999","-73.923131","4","8","63","2002869","2024680001","West Concourse"
"Brooklyn Borough Hall","209 Joralemon Street, Brooklyn, NY 11201","N","10000","8700","1000","500","1500","3000","11201","BROOKLYN","40.692476","-73.990487","2","33","11","3000256","3001390001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Queens Civil Courthouse","89-17 Sutphin Blvd, Jamaica, NY 11435","Y","9600","8400","1000","500","1500","3000","11435","QUEENS","40.703617","-73.808685","12","24","240","4448759","4096800001","Jamaica"
"Queens Supreme Courthouse","88-11 Sutphin Blvd, Jamaica, NY 11435","Y","11600","9800","1000","500","1500","3000","11435","QUEENS","40.704623","-73.809151","12","24","238","4207071","4096910001","Jamaica"
"Marriage Bureau","141 Worth Street, New York, NY 10013","N","8300","7500","1000","500","1500","3000","10013","MANHATTAN","40.715096","-74.001187","1","1","29.01","1001830","1001660027","SoHo-TriBeCa-Civic Center-Little Italy"
"Queens Borough Hall","120-55 Queens Blvd, Jamaica, NY 11415","N","12500","10400","1000","500","1500","3000","11415","QUEENS","40.713329","-73.828601","9","29","216.01","4052812","4022740002","Kew Gardens"
