"day","borough","swimming_pool","program_type","male_registration","female_registration","total_registration","male_attendance","female_attendance","total_attendance"
"2019-08-30T00:00:00.000","Staten Island","Lyons","Night Owl","0","0","0","3","14","17"
"2019-08-30T00:00:00.000","Queens","Astoria","Night Owl","0","0","0","10","19","29"
"2019-08-30T00:00:00.000","Bronx","Crotona","Night Owl","0","0","0","1","1","2"
"2019-08-30T00:00:00.000","Bronx","Van Cortlandt","Night Owl","0","0","0","7","17","24"
"2019-08-30T00:00:00.000","Brooklyn","Sunset","Night Owl","0","0","0","18","9","27"
"2019-08-30T00:00:00.000","Brooklyn","Red Hook","Night Owl","0","0","0","13","12","25"
"2019-08-30T00:00:00.000","Brooklyn","McCarren","Night Owl","0","0","0","42","38","80"
"2019-08-30T00:00:00.000","Manhattan","Tony Dapolito","Night Owl","0","0","0","1","2","3"
"2019-08-30T00:00:00.000","Manhattan","Marcus Garvey","Night Owl","0","1","1","5","17","22"
"2019-08-30T00:00:00.000","Manhattan","Asser Levy","Night Owl","0","0","0","9","4","13"
"2019-08-30T00:00:00.000","Manhattan","Lasker","Night Owl","0","0","0","10","15","25"
"2019-08-30T00:00:00.000","Manhattan","John Jay","Night Owl","0","0","0","30","26","56"
"2019-08-30T00:00:00.000","Manhattan","Hamilton Fish","Night Owl","0","0","0","14","12","26"
"2019-08-29T00:00:00.000","Staten Island","Lyons","Night Owl","0","0","0","5","4","9"
"2019-08-29T00:00:00.000","Queens","Astoria","Night Owl","1","0","1","12","16","28"
"2019-08-29T00:00:00.000","Bronx","Crotona","Night Owl","0","0","0","1","0","1"
"2019-08-29T00:00:00.000","Bronx","Van Cortlandt","Night Owl","0","0","0","6","16","22"
"2019-08-29T00:00:00.000","Brooklyn","Sunset","Night Owl","0","2","2","13","15","28"
"2019-08-29T00:00:00.000","Brooklyn","Red Hook","Night Owl","1","3","4","12","12","24"
"2019-08-29T00:00:00.000","Brooklyn","McCarren","Night Owl","0","2","2","45","46","91"
"2019-08-29T00:00:00.000","Manhattan","Tony Dapolito","Night Owl","0","1","1","3","7","10"
"2019-08-29T00:00:00.000","Manhattan","Marcus Garvey","Night Owl","0","2","2","7","11","18"
"2019-08-29T00:00:00.000","Manhattan","Asser Levy","Night Owl","0","1","1","19","14","33"
"2019-08-29T00:00:00.000","Manhattan","Lasker","Night Owl","0","2","2","17","21","38"
"2019-08-29T00:00:00.000","Manhattan","John Jay","Night Owl","3","2","5","22","26","48"
"2019-08-29T00:00:00.000","Manhattan","Hamilton Fish","Night Owl","0","0","0","10","12","22"
"2019-08-28T00:00:00.000","Staten Island","Lyons","Night Owl","0","0","0","2","0","2"
"2019-08-28T00:00:00.000","Queens","Astoria","Night Owl","0","1","1","3","7","10"
"2019-08-28T00:00:00.000","Bronx","Crotona","Night Owl","0","0","0","0","1","1"
"2019-08-28T00:00:00.000","Bronx","Van Cortlandt","Night Owl","0","0","0","3","5","8"
"2019-08-28T00:00:00.000","Brooklyn","Sunset","Night Owl","0","0","0","10","3","13"
"2019-08-28T00:00:00.000","Brooklyn","Red Hook","Night Owl","0","1","1","2","4","6"
"2019-08-28T00:00:00.000","Brooklyn","McCarren","Night Owl","1","1","2","19","12","31"
"2019-08-28T00:00:00.000","Manhattan","Tony Dapolito","Night Owl","0","0","0","4","2","6"
"2019-08-28T00:00:00.000","Manhattan","Marcus Garvey","Night Owl","0","0","0","3","1","4"
"2019-08-28T00:00:00.000","Manhattan","Asser Levy","Night Owl","0","0","0","6","6","12"
"2019-08-28T00:00:00.000","Manhattan","Lasker","Night Owl","0","0","0","9","7","16"
"2019-08-28T00:00:00.000","Manhattan","John Jay","Night Owl","3","2","5","12","6","18"
"2019-08-28T00:00:00.000","Manhattan","Hamilton Fish","Night Owl","0","0","0","3","4","7"
"2019-08-27T00:00:00.000","Staten Island","Lyons","Night Owl","0","0","0","3","4","7"
"2019-08-27T00:00:00.000","Queens","Astoria","Night Owl","1","2","3","20","16","36"
"2019-08-27T00:00:00.000","Bronx","Crotona","Night Owl","0","0","0","0","1","1"
"2019-08-27T00:00:00.000","Bronx","Van Cortlandt","Night Owl","0","0","0","4","3","7"
"2019-08-27T00:00:00.000","Brooklyn","Red Hook","Night Owl","0","2","2","7","9","16"
"2019-08-27T00:00:00.000","Brooklyn","Red Hook","Night Owl","0","4","4","8","9","17"
"2019-08-27T00:00:00.000","Brooklyn","McCarren","Night Owl","0","0","0","19","30","49"
"2019-08-27T00:00:00.000","Manhattan","Tony Dapolito","Night Owl","0","1","1","4","5","9"
"2019-08-27T00:00:00.000","Manhattan","Marcus Garvey","Night Owl","0","1","1","4","5","9"
"2019-08-27T00:00:00.000","Manhattan","Asser Levy","Night Owl","3","0","3","9","6","15"
"2019-08-27T00:00:00.000","Manhattan","Lasker","Night Owl","0","2","2","9","13","22"
"2019-08-27T00:00:00.000","Manhattan","John Jay","Night Owl","1","0","1","21","13","34"
"2019-08-27T00:00:00.000","Manhattan","Hamilton Fish","Night Owl","0","0","0","17","5","22"
