"objectid","globalid","seating_interest_sidewalk","restaurant_name","legal_business_name","doing_business_as_dba","bulding_number","street","borough","zip","business_address","food_service_establishment","sidewalk_dimensions_length","sidewalk_dimensions_width","sidewalk_dimensions_area","roadway_dimensions_length","roadway_dimensions_width","roadway_dimensions_area","approved_for_sidewalk_seating","approved_for_roadway_seating","qualify_alcohol","sla_serial_number","sla_license_type","landmark_district_or_building","landmarkdistrict_terms","healthcompliance_terms","time_of_submission","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"100","c4b3155b-31a0-4e95-846f-fce09f245437","sidewalk","Pomp and Circumstance Hospitality","Pomp and Circumstance Hospitality LLC","Pomp and Circumstance Hospitality LLC","577","Lorimer Street","Brooklyn","11211","577 Lorimer Street, Brooklyn, NY","50094274","15","9","135",,,,"yes","no","yes","1318850","OP","no",,"yes","2020-06-19T11:04:00.000","40.714264","-73.949416","1","34","501","3068653","3027560028","East Williamsburg"
"1000","753495d8-4429-43e5-85a3-dcf6230ef749","both","Charm Kao","193 Schemerhorn INC","Charm Kao","193","Schermerhorn St.","Brooklyn","11201","193 Schermerhorn St., Brooklyn, NY","50087605","5","20","100","24","8","192","yes","yes","no",,,"no",,"yes","2020-06-19T14:35:00.000","40.689107","-73.986352","2","33","37","3000493","3001640041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"10000","{3842B5C5-EF04-41A4-8216-D6EA627DCE5E}","openstreets","SAKE BAR HAGI 46","HAMA NEW YORK, INC.","SAKE BAR HAGI 46","358","W. 46TH STREET","Manhattan","10036","358  W. 46TH STREET, Manhattan, NY","50041331",,,,,,,"no","no","yes","Jul-22","OP","no",,"yes","2020-08-07T13:28:00.000","40.760463","-73.989528","4","3","121","1025025","1010360057","Clinton"
"10001","{C212A0FC-C115-4425-8F95-931B12C5F86A}","openstreets","Yum yum too","Boythaicorp","Boythaicorp","662","9ave","Manhattan","10036","662 9ave, Manhattan, NY","50088036",,,,,,,"no","no","yes","Jul-02","OP","no",,"yes","2020-08-07T13:34:00.000","40.761081","-73.990683","4","3","127","1025038","1010370001","Clinton"
"10002","{DA48265D-7730-416F-8E1C-EBC8C8ACE2C2}","openstreets","Xochil Pizza Corp","Xochil Pizza Corp","Xochil Pizza Corp","4632","5th Avenue","Brooklyn","11220","4632  5th Avenue , Brooklyn, NY","50011100",,,,,,,"no","no","no",,,"no",,"yes","2020-08-07T13:43:00.000","40.64714","-74.008216","7","38","80",,,"Sunset Park West"
"10003","{46F009AC-1DF9-4F39-8973-01E407466B67}","openstreets","BECKETTS BAR","81 PEARL STREET V ENTURE LTD","81 PEARL STREET V ENTURE LTD","81","PEARL STREET","Manhattan","10004","81 PEARL STREET, Manhattan, NY","50004654",,,,,,,"no","no","yes","Jan-32","OP","yes","yes","yes","2020-08-07T13:48:00.000","40.704023","-74.0102","1","1","9","1000838","1000290024","Battery Park City-Lower Manhattan"
"10004","{DA22A48D-3C12-4E33-895C-2E6F02CA4370}","openstreets","Rico Pollo 3","Rico Pollo 3","Rico Pollo 3","4523","5th Avenue","Brooklyn","11220","4523 5th Avenue , Brooklyn, NY","50090510",,,,,,,"no","no","no",,,"no",,"yes","2020-08-07T13:58:00.000","40.64773","-74.007575","7","38","96","3329833","3007480001","Sunset Park East"
"10005","{B9E7740C-95B7-4992-81F5-437B17FF0627}","both","Patisserie Fouet","Patisserie Fouet","YS Pastry LLC","1009402","13th Street","Manhattan","10003","1009402 13th Street, Manhattan, NY","50088038","21","8","168","21","8","168","yes","yes","yes","Sep-74","OP","no",,"yes","2020-08-07T13:59:00.000",,,,,,,,
"10006","{D90EC6E8-6D48-4A26-8DD0-2C64E4CB168A}","openstreets","Tropical Sensation Restaurant","Tropical Sensation","Tropical Sensation","953","Amsterdam Ave.","Manhattan","10025","953 Amsterdam Ave., Manhattan, NY","41297129",,,,,,,"no","no","yes","Apr-90","OP","no",,"yes","2020-08-07T14:03:00.000","40.800935","-73.965333","7","7","193","1055979","1018610062","Morningside Heights"
"10007","{D727EBEB-48A4-4BAE-85E1-44F3355A8DDA}","sidewalk","MANHATTANVILLE COFFEE","MANHATTANVILLE COFFEE, LLC","MANHATTANVILLE COFFEE, LLC","142","EDGECOMBE AVE","Manhattan","10030","142 EDGECOMBE AVE, Manhattan, NY","50074795","40","5","200",,,,"yes","no","no",,,"no",,"yes","2020-08-07T14:12:00.000","40.821318","-73.944732","10","9","259","1060761","1020437503","Central Harlem North-Polo Grounds"
"10008","{98EE33AB-C829-47A7-8176-5343120C8056}","sidewalk","Bodrum Turkish Meditrranean Restaurant","TB 584 AMSTERDAM REST. CORP","Bodrum Turkish Mediterranean Restaurant","584","AMSTERDAM AVE","Manhattan","10024","584  AMSTERDAM AVE, Manhattan, NY","41239252","48","10","480",,,,"yes","no","yes","May-45","OP","no",,"yes","2020-08-07T14:13:00.000","40.78916","-73.973952","7","6","175","1033295","1012360032","Upper West Side"
