"property_id","property_name","year_ending","energy_star_score","custom_property_id_1_id","address_1","address_2","city","state_province","postcode","county","property_floor_area_buildings","year_built","primary_property_type_self","date_property_last_modified","service_and_product_provider","energy_star_certification","metered_areas_energy","energy_star_certification_1","energy_star_certification_2","energy_star_certification_3","energy_star_certification_4","target_energy_star_score","energy_alerts","space_alerts","direct_ghg_emissions_mtco2e","indirect_ghg_emissions_mtco2e","total_ghg_emissions_mtco2e","egrid_output_emissions_rate","energy_current_date","water_current_date","electricity_onsite_renewable","electricity_sourced_from","avoided_emissions_offsite","onsite_renewable_system","green_power_offsite_kwh","onsite_renewable_system_1","site_eui_kbtu_ft","site_energy_use_kbtu","national_median_site_eui","target_site_eui_kbtu_ft","weather_normalized_site_eui","electricity_use_grid_purchase","electricity_use_grid_purchase_1","natural_gas_use_kbtu","natural_gas_use_therms","district_steam_use_kbtu","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","fuel_oil_5_6_use_kbtu","diesel_2_use_kbtu","other_use_kbtu","district_chilled_water_use","district_hot_water_use_kbtu","estimated_data_flag","estimated_data_flag_1","estimated_data_flag_natural","estimated_data_flag_district","estimated_data_flag_fuel","estimated_data_flag_fuel_1","estimated_data_flag_fuel_2","estimated_data_flag_diesel","estimated_data_flag_other","estimated_data_flag_district_1","estimated_data_flag_district_2","percent_better_than_national","source_eui_kbtu_ft","source_energy_use_kbtu","weather_normalized_source","national_median_source_eui","percent_better_than_national_1","bank_branch_gross_floor_area","bank_branch_percent_that","bank_branch_computer_density","bank_branch_weekly_operating","bank_branch_worker_density","bank_branch_number_of_workers","hospital_general_medical","hospital_general_medical_1","hospital_general_medical_2","hospital_general_medical_3","hospital_general_medical_4","hospital_general_medical_5","hospital_general_medical_6","hotel_gross_floor_area_ft","hotel_full_service_spa_floor","hotel_gym_fitness_center","hotel_number_of_rooms","hotel_room_density_number","hotel_amount_of_laundry","hotel_type_of_laundry_facility","hotel_percent_that_can_be","hotel_cooking_facilities","hotel_worker_density_number","worship_facility_gross_floor","worship_facility_computer","worship_facility_weekly","worship_facility_cooking","k_12_school_gross_floor_area","k_12_school_high_school","k_12_school_weekend_operation","k_12_school_computer_density","k_12_school_percent_that","k_12_school_refrigeration","k_12_school_cooking_facilities","medical_office_gross_floor","medical_office_number_of","medical_office_percent_that","medical_office_weekly","multifamily_housing_gross","multifamily_housing_number","multifamily_housing_number_1","multifamily_housing_number_2","multifamily_housing_government","multifamily_housing_maximum","multifamily_housing_number_3","multifamily_housing_percent","multifamily_housing_percent_1","multifamily_housing_number_4","multifamily_housing_primary","multifamily_housing_resident","office_gross_floor_area_ft","office_percent_that_can_be","office_computer_density_number","office_weekly_operating_hours","office_worker_density_number","parking_completely_enclosed","parking_gross_floor_area","parking_open_parking_lot","parking_partially_enclosed","residence_hall_dormitory","residence_hall_dormitory_1","residence_hall_dormitory_2","residence_hall_dormitory_3","residence_hall_dormitory_4","retail_store_gross_floor","retail_store_cash_register","retail_store_exterior_entrance","retail_store_worker_density","retail_store_weekly_operating","retail_store_walk_in","retail_store_percent_that","retail_store_computer_density","retail_store_open_or_closed","retail_store_number_of_walk","retail_store_number_of_open","senior_care_community_gross","senior_care_community_average","senior_care_community_number","senior_care_community_number_1","senior_care_community_number_2","senior_care_community_number_3","senior_care_community_number_4","senior_care_community_percent","senior_care_community_number_5","senior_care_community_maximum","senior_care_community_number_6","supermarket_grocery_gross","supermarket_grocery_number","supermarket_grocery_number_1","supermarket_grocery_number_2","supermarket_grocery_percent","supermarket_grocery_cooking","supermarket_grocery_walk","supermarket_grocery_weekly","supermarket_grocery_worker","swimming_pool_approximate","swimming_pool_location_of","swimming_pool_months_in_use","refrigerated_warehouse_gross","refrigerated_warehouse_weekly","refrigerated_warehouse_worker","non_refrigerated_warehouse","non_refrigerated_warehouse_1","non_refrigerated_warehouse_2","non_refrigerated_warehouse_3","non_refrigerated_warehouse_4","non_refrigerated_warehouse_5","data_center_pue","data_center_pdu_input_site","data_center_ups_output_site","data_center_it_source_energy","data_center_national_median","data_center_gross_floor_area","data_center_it_site_energy","data_center_it_energy","indoor_water_use_all_water","indoor_water_intensity_all","outdoor_water_use_all_water","water_alerts","generation_date","release_date","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"7365","1155","2012-12-31T00:00:00.000","91","1022631","1155  Avenue  of  the  Americas","Not Available","Manhattan","New York","10036","NEW YORK","686902","1982","Office","29-APR-13","None","Not Available","No Selection Made","Not Eligible: Current period ending over 120 days","Application - Label Sent (25-JAN-11)","2001, 2002, 2003, 2005, 2006, 2008, 2010","14-JAN-11","75","Data > 120 days old<br>","Not Available","Not Available","4649.53","4649.53","Not Available","31-DEC-12","01-JAN-00","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","73.9","50754152.4","119.5","94.5","74.7","43012127.28","12606133.4","Not Available","Not Available","7742025.14","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-38.1","222.8","153028355.5","221.8","360.2","-38.1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","652062","100","2.61","90","2.45","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","10077","0.5","1","2.48","90","0","100","1.49","0.3","0","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","24763","0","IT Energy is not currently metered at this facility - Apply estimates.","Not Available","Not Available","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000","MANHATTAN","40.756631","-73.982826","105","4","119","1022631","1009970029","Midtown-Midtown South"
"8139","200","2012-12-31T00:00:00.000","90","1037545","200  East  42nd  St.","Not Available","Manhattan","New York","10017","NEW YORK","384432","1956","Office","29-APR-13","None","Not Available","No Selection Made","Not Eligible: Current period ending over 120 days","Application - Label Sent (25-JAN-11)","2001, 2008, 2010","14-JAN-11","75","Data > 120 days old<br>","Not Available","Not Available","2744.54","2744.54","Not Available","31-DEC-12","31-DEC-12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","82.4","31689381.4","145","108.9","83.4","16245393.53","4761252.5","Not Available","Not Available","15443987.89","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-43.1","189.8","72946839.7","192.4","333.8","-43.1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","361245","100","4.29","65","3.88","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","19753","0.76","1","2.03","98","0","100","1.01","0.1","0","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","3434","0","IT Energy is not currently metered at this facility - Apply estimates.","8267.2","21.51","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000","MANHATTAN","40.750698","-73.974306","106","4","88","1037545","1013150001","Turtle Bay-East Midtown"
"8604","114","2012-12-31T00:00:00.000","85","1022667","114  West  47th  st","Not Available","Manhattan","New York","10036","NEW YORK","572369","1989","Bank/Financial Institution","29-APR-13","None","Reviewed and Approved","No Selection Made","Not Eligible: Current period ending over 120 days","Application - Label Sent (25-JAN-11)","2001, 2002, 2003, 2005, 2006, 2008, 2010","14-JAN-11","75","Data > 120 days old<br>","Weekly operating hours is much lower than normal for Vacant Office.<br>","Not Available","3284.84","3284.84","Not Available","31-DEC-12","01-JAN-00","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","63.4","36280314.8","99.3","75.2","64.9","28151569.04","8250752.9","Not Available","Not Available","8128745.79","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-36.2","181.5","103862023","181.8","284.3","-36.2","345688","100","1.74","84","1.74","600","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","221073","100","1.36","65","1.36","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","5608","0","IT Energy is not currently metered at this facility - Apply estimates.","Not Available","Not Available","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000","MANHATTAN","40.75831","-73.982504","105","4","125","1022667","1009990019","Midtown-Midtown South"
"8841","733","2012-12-31T00:00:00.000","73","1037596","733  Third  Avenue","Not Available","Manhattan","New York","10017","NEW YORK","362578","1961","Office","29-APR-13","None","Not Available","No Selection Made","Not Eligible: Rating must be 75 or above","Application - Label Sent (25-JAN-11)","2001, 2003, 2005, 2006, 2008, 2010","14-JAN-11","75","Data > 120 days old<br>","Not Available","Not Available","3056.45","3056.45","Not Available","31-DEC-12","01-JAN-00","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96.8","35087805","127.1","95.3","102.6","19164682.16","5616847.1","Not Available","Not Available","15923122.79","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-23.9","229.7","83277017","235.1","301.7","-23.9","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","360420","100","3.05","70","2.77","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","2158","0","IT Energy is not currently metered at this facility - Apply estimates.","Not Available","Not Available","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000","MANHATTAN","40.753074","-73.972753","106","4","90","1037596","1013190047","Turtle Bay-East Midtown"
"11809","Conde Nast Building","2012-12-31T00:00:00.000","73","1085682","4 Times Square","Not Available","Manhattan","New York","10036","NEW YORK","1601977","1999","Office","29-APR-13","None","Not Available","Whole Facility Energy Consumption","Not Eligible: Rating must be 75 or above","Application - Label Sent (25-MAR-11)","2001, 2002, 2003, 2005, 2006, 2008, 2010","22-MAR-11","75","Data > 120 days old<br>","Not Available","3676.22","11543.49","15219.71","Not Available","31-DEC-12","01-JAN-00","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","121.8","195188375","156.7","119.6","123.5","106373332","31176240.3","69101749.39","691017.5","19713293.68","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","No","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-22.2","281.8","451489545.7","282.4","362.4","-22.2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1511251","100","4.23","98","4.3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","62864","0.24","1","1.59","120","0.03","100","0.4","0.08","2","5","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","27862","0","IT Energy is not currently metered at this facility - Apply estimates.","Not Available","Not Available","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000","MANHATTAN","40.756181","-73.986244","105","4","119","1085682","1009950005","Midtown-Midtown South"
"13286","201/205","2012-12-31T00:00:00.000","67","1037549; 1037550","201/205  East  42nd  st.","Not Available","Manhattan","New York","10017","NEW YORK","762051","1963","Office","29-APR-13","None","Not Available","No Selection Made","Not Eligible: Rating must be 75 or above","Application - Label Sent (24-DEC-08)","2006, 2008","20-NOV-08","75","Data > 120 days old<br>","Weekly operating hours is much lower than normal for Vacant Office.<br>","Not Available","6040.6","6040.6","Not Available","31-DEC-12","01-JAN-00","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","93.2","70986509","113.2","84.5","93.3","29202990.03","8558906.8","Not Available","Not Available","41783519","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-17.7","194.3","148096044.7","193.5","236.1","-17.7","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","759551","100","1.45","41","1.32","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","2500","0","IT Energy is not currently metered at this facility - Apply estimates.","Not Available","Not Available","Not Available","Not Available","2013-05-29T16:04:21.000","2013-05-29T12:04:20.000",,,,,,,,,
"17506","wyckoff heights medical center","2012-12-31T00:00:00.000","67","Not Available","374 stockholm","Not Available","brooklyn","New York","11237","KINGS","520000","1953","Hospital (General Medical and Surgical)","11-APR-13","Not Available","Not Available","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available","Not Available","Not Available","75","Not Available","Not Available","4459.11","4365.37","8824.47","Not Available","28-FEB-13","31-JAN-13","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","250.6","130313411.4","275.1","238.3","242.7","46495725.41","13627117.6","83817685.96","838176.9","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-8.9","467.4","243052840.1","454.8","513.1","-8.9","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","520000","1","0","13","1695","350","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2013-05-24T10:35:16.000","2013-05-24T06:35:15.000",,,,,,,,,
"1025339","425 Lexington Avenue","2012-12-31T00:00:00.000","73","1036162","425 Lexington Ave","Not Available","New York","New York","10017","NEW YORK","712924","1987","Office","05-APR-13","Hines","Not Available","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available","Not Available","Not Available","80","Not Available","Not Available","Not Available","4957.91","4957.91","Not Available","31-DEC-12","31-DEC-12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","76.2","54310527.2","99","69.1","76.8","44859611.2","13147600","Not Available","Not Available","9450915.96","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-23.1","226.2","161266709.7","224.2","294","-23.1","145706","100","2.4","50","2.4","350","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","547834","100","2.39","70","2.3","10876","10876","0","0","Not Available","Not Available","Not Available","Not Available","Not Available","14784","0.34","1","2.71","84","0.14","100","1.69","0.34","2","5","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","4600","0","IT Energy is not currently metered at this facility - Apply estimates.","21573.1","30.26","Not Available","Not Available","2013-04-18T08:00:07.000","2013-04-18T04:00:06.000","MANHATTAN","40.752424","-73.97532","106","4","92","1036162","1012980023","Turtle Bay-East Midtown"
"1042703","33789-New York Marriott Marquis Hotel","2012-12-31T00:00:00.000","42","1024727","1535 Broadway","Not Available","New York City","New York","10036","NEW YORK","2390114","1985","Hotel","20-MAY-13","Ecova","Not Available","No Selection Made","Not Eligible: Rating must be 75 or above","No Status Available","Not Available","Not Available","0","Not Available","Not Available","509.29","20013.5","20522.8","Not Available","31-MAR-13","31-MAR-13","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.5","240228010.5","93.8","0","103.3","120723517.1","35382039","9573200","95732","109931293.4","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","No","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","7.1","228.5","546256552.5","230.5","213.3","7.1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2390114","Not Available","Not Available","1949","0.82","No laundry facility","Not Available","100","1","0.59","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","103792","43.43","Not Available","Not Available","2013-05-28T14:38:02.000","2013-05-28T10:38:02.000","MANHATTAN","40.758267","-73.985468","105","3","119","1024727","1010177501","Midtown-Midtown South"
"1045358","320 Park Avenue","2012-12-31T00:00:00.000","79","1035464","320 Park Avenue","Not Available","New York","New York","10022","NEW YORK","721979","1994","Bank/Financial Institution","23-APR-13","SCIenergy, Inc.","Not Available","No Selection Made","Not Eligible: Less than one year since the period ending date of the last ENERGY STAR application.","Application - Label Sent (27-MAR-13)","2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","18-DEC-12","80","Not Available","Not Available","Not Available","5875.37","5875.37","Not Available","28-FEB-13","31-JUL-12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89.3","64470906.3","125.3","88.5","90.1","52578317.21","15409823.3","Not Available","Not Available","11892589.04","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","No","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","-28.7","263.2","190001612.2","261.5","369.2","-28.7","715659","100","4.51","89","3.47","2483","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.82","6320","15076125","Uninterruptible Power Supply (UPS) supports only IT equipment. (Preferred)","15733.4","21.79","Not Available","Not Available","2013-04-26T16:43:37.000","2013-05-07T11:55:17.000","MANHATTAN","40.75745","-73.973798","105","4","102","1035464","1012860035","Midtown-Midtown South"
