"base_license_number","base_name","dba","year","month","month_name","total_dispatched_trips","total_dispatched_shared_trips","unique_dispatched_vehicles"
"B03047","STS LUXURY, INC",,"2019","10","October","4837","0","57"
"B03060","EASTLAND BLACK CARS CORP",,"2020","5","May","6425","0","47"
"B00277","ALL CITY CORP TRANS INC",,"2020","2","February","1438","0","33"
"B01730","LUCKY EXPRESS CORPORATION","GOOD LUCK CAR SVCE","2018","9","September","12577","0","124"
"B03380","ELECTRIC PEPPERS LLC",,"2021","12","December","15944","0","49"
"B01984","NY 88 EXPRESS CORP.",,"2015","2","February","12035","0","114"
"B02429","SEAGULL RIDE CORP",,"2019","7","July","3126","0","10"
"B02846","DLS TRANSPORTATION CORP.",,"2020","9","September","3737","0","27"
"B00472","FARRELL'S LEASING CO.",,"2019","5","May","989","0","44"
"B02537","ALLTOWN LIMO CORP.",,"2022","6","June","3745","0","32"
"B01727","CHAUFFEUR SERVICES, INC.","NICE GUYS LIMO","2018","6","June","24","0","1"
"B03116","NAVI TRANSPORTATION INC.",,"2021","7","July","714","0","5"
"B01803","V.I.P. CONNECTION, INC.","CARLINK","2020","9","September","53","0","19"
"B00350","CHAMPION CAR & LIMO SVC. INC.",,"2019","1","January","3190","0","19"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2018","2","February","1015","0","9"
"B02611","SS LIMOUSINE SERVICE INC",,"2018","4","April","131","0","3"
"B02942","FANNY RADIO DISPATCHER SERVICE INC.",,"2020","11","November","327","0","10"
"B02823","AAA FAMILY LIMOUSINE SERVICE INC",,"2021","9","September","12","0","1"
"B00756","T & S HILLSIDE INC.","RED CAP CAR SERVICE","2019","6","June","5693","0","42"
"B00375","THE EXCELLENT C/S INC",,"2018","8","August","10622","72","50"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","SUNSHINE CAR SERVICE","2020","12","December","61","0","2"
"B02243","BARONAS LUXURY II INC",,"2021","6","June","3326","0","49"
"B00013","LOVE CORPORATE CAR INC",,"2022","2","February","634","0","144"
