"complaintid","srnumber","complainttype","boro","block","lot","number","street","city","state","postcode","unit","initialinspectiondate","initialinspectionresults","ordermailingdate","postinginspectiondate","followupinspectiondate","daysbetween","closeddate","reinspectiondate","reinspectionresult","novnumber","novcode","novdate","novdescription"
"10039","1684652914","Defacement","Queens","6682","52","14719","75TH AVE.","FLUSHING","NY","11367-2931",,"2019-02-25T00:00:00.000","Pass",,,,"30","2019-02-25T00:00:00.000",,,,,,
"12818","311-02157300","Defacement","Brooklyn","6260","19","1730","78TH ST.","BROOKLYN","NY","11214-1129",,"2020-03-18T00:00:00.000","Fail","2020-04-28T00:00:00.000",,"2020-05-28T00:00:00.000","30",,,,,,,
"10697","1737992158","Defacement","Queens","9393","6","10914","ATLANTIC AVE.","JAMAICA","NY","11419-1025",,"2019-06-24T00:00:00.000","Pass",,,,"30","2019-06-24T00:00:00.000",,,,,,
"1004","048159731","Defacement","Brooklyn","6035","6","402","85 STREET","BROOKLYN","NY","11209",,"2014-12-26T00:00:00.000","Fail","2015-01-05T00:00:00.000",,"2015-02-04T00:00:00.000","30","2015-05-15T00:00:00.000","2015-05-15T00:00:00.000","Pass",,,,
"10040","1686009191","Defacement","Bronx","3965","18","2280","LYON AVE.","BRONX","NY","10462-4956",,"2019-03-25T00:00:00.000","Pass",,,,"30","2019-03-25T00:00:00.000",,,,,,
"10041","1684652956","Defacement","Queens","6682","54","14715","75TH AVE.","FLUSHING","NY","11367-2931",,"2019-03-25T00:00:00.000","Pass",,,,"30","2019-03-25T00:00:00.000",,,,,,
"10042","1687005071","Defacement","Brooklyn","4659","12","156","E. 54TH ST.","BROOKLYN","NY","11203-3656","32","2019-03-06T00:00:00.000","Pass",,,,"30","2019-03-06T00:00:00.000",,,,,,
"10043","1685667351","Defacement","Brooklyn","6647","72","1751","W. 10TH ST.","BROOKLYN","NY","11223-1148",,"2019-03-05T00:00:00.000","Pass",,,,"30","2019-03-05T00:00:00.000",,,,,,
"10044","1685656821","Defacement","Brooklyn","6647","71","1753","W. 10TH ST.","BROOKLYN","NY","11223-1148",,"2019-03-05T00:00:00.000","Pass",,,,"30","2019-03-05T00:00:00.000",,,,,,
"10045","1686973911","Defacement","Staten Island","5491","282","523","LEVERETT AVE.","STATEN ISLAND","NY","10308-1920",,"2019-02-27T00:00:00.000","Pass",,,,"30","2019-02-27T00:00:00.000",,,,,,
"10046","1688185581","Defacement","Staten Island","5680","212","96","MCARTHUR AVE.","STATEN ISLAND","NY","10312-1927",,"2019-02-27T00:00:00.000","Pass",,,,"30","2019-02-27T00:00:00.000",,,,,,
"10047","1687259741","Defacement","Brooklyn","422","143","278","HOYT ST.","BROOKLYN","NY","11217-2911",,"2019-03-07T00:00:00.000","Pass",,,,"30","2019-03-07T00:00:00.000",,,,,,
"10048","1684965820","Defacement","Brooklyn","767","32","664","47TH ST.","BROOKLYN","NY","11220-1415",,"2019-03-07T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30","2019-04-24T00:00:00.000","2019-04-24T00:00:00.000","Pass",,,,
"10049","1659127281","Defacement","Manhattan","1008","15","131","WEST 55 STREET","NEW YORK","NY","10019",,"2019-03-06T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30",,"2019-04-23T00:00:00.000","Fail","206271158","D31","2019-04-23T00:00:00.000","Defacement of roadway, sidewalk or curb"
"1005","046893969","Defacement","Queens","692","15","31-67","42 STREET","LONG ISLAND CITY","NY","11103",,"2014-12-24T00:00:00.000","Fail","2015-01-05T00:00:00.000",,"2015-02-04T00:00:00.000","30",,"2015-05-21T00:00:00.000","Fail","187326150","D31","2015-05-21T00:00:00.000","Defacement of roadway, sidewalk or curb"
"10050","1689244879","Defacement","Bronx","3608","69","2045","HOMER AVE.","BRONX","NY","10473-2001",,"2019-03-06T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30","2019-04-22T00:00:00.000","2019-04-22T00:00:00.000","Pass",,,,
"10051","1686713981","Defacement","Bronx","4295","23","904","BRADY AVE.","BRONX","NY","10462-2747",,"2019-03-06T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30","2019-04-22T00:00:00.000","2019-04-22T00:00:00.000","Pass",,,,
"10052","1689343521","Defacement","Bronx","3608","68","2047","HOMER AVE.","BRONX","NY","10473-2001",,"2019-03-06T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30","2019-04-22T00:00:00.000","2019-04-22T00:00:00.000","Pass",,,,
"10053","1688901671","Defacement","Queens","703","1","43-19","35 AVENUE","LONG ISLAND CITY","NY","11101",,"2019-03-07T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30",,"2019-04-19T00:00:00.000","Fail","206274411","D31","2019-04-19T00:00:00.000","Defacement of roadway, sidewalk or curb"
"10054","1690369822","Defacement","Queens","1775","9","10430","38TH AVE.","FLUSHING","NY","11368-2031",,"2019-03-07T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30",,,,,,,
"10055","1691640451","Defacement","Queens","9177","102","8629","98TH ST.","JAMAICA","NY","11421-2202",,"2019-03-08T00:00:00.000","Fail","2019-03-19T00:00:00.000",,"2019-04-18T00:00:00.000","30","2019-04-19T00:00:00.000","2019-04-19T00:00:00.000","Pass",,,,
