"requestid","event","agency","language","type","numinterp","date","starttime","endtime","zip"
"IR-1","Community Forum","Mayoral Office","Spanish","Simultaneous","2","2017-07-11T00:00:00.000","7:00:00 PM","9:00:00 PM","10032"
"IR-2","Town Hall","Mayoral Office","French","Simultaneous","2","2017-07-12T00:00:00.000","7:00:00 PM","10:00:00 PM","10453"
"IR-2","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-07-12T00:00:00.000","7:00:00 PM","10:00:00 PM","10453"
"IR-3","Partnership","Mayoral Office","Spanish","Simultaneous","2","2017-07-13T00:00:00.000","6:30:00 PM","9:30:00 PM","10035"
"IR-4","Partnership","Mayoral Office","Bengali","Simultaneous","2","2017-07-18T00:00:00.000","7:00:00 PM","9:00:00 PM","11373"
"IR-4","Partnership","Mayoral Office","Spanish","Simultaneous","2","2017-07-18T00:00:00.000","7:00:00 PM","9:00:00 PM","11373"
"IR-5","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-07-19T00:00:00.000","6:30:00 PM","9:30:00 PM","11103"
"IR-6","Community Forum","Mayoral Office","Chinese - Mandarin","Simultaneous","2","2017-07-27T00:00:00.000","7:00:00 PM","9:00:00 PM","11214"
"IR-7","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-08-02T00:00:00.000","7:00:00 PM","10:00:00 PM","10026"
"IR-8","Partnership","Mayoral Office","Spanish","Consecutive","1","2017-08-10T00:00:00.000","9:00:00 AM","5:00:00 PM","10007"
"IR-9","Partnership","Mayoral Office","Spanish","Consecutive","1","2017-08-11T00:00:00.000","9:00:00 AM","5:00:00 PM","10007"
"IR-10","Mayor's Address","Mayoral Office","Spanish","Simultaneous","2","2017-08-13T00:00:00.000","6:00:00 PM","8:00:00 PM","10028"
"IR-11","Community Forum","Mayoral Office","Chinese - Cantonese","Simultaneous","2","2017-08-15T00:00:00.000","6:00:00 PM","8:00:00 PM","10009"
"IR-12","Partnership","Mayoral Office","Spanish","Simultaneous","8","2017-08-18T00:00:00.000","2:00:00 PM","4:00:00 PM","10007"
"IR-13","Town Hall","Mayoral Office","Chinese - Cantonese","Simultaneous","2","2017-08-24T00:00:00.000","7:00:00 PM","9:30:00 PM","11224"
"IR-13","Town Hall","Mayoral Office","Russian","Simultaneous","2","2017-08-24T00:00:00.000","7:00:00 PM","9:30:00 PM","11224"
"IR-14","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-08-30T00:00:00.000","7:00:00 PM","9:30:00 PM","11206"
"IR-15","KYRF","Mayoral Office","Portuguese","Consecutive","1","2017-09-14T00:00:00.000","7:00:00 PM","9:30:00 PM","10017"
"IR-16","Town Hall","Mayoral Office","Chinese - Cantonese","Simultaneous","2","2017-09-15T00:00:00.000","7:00:00 PM","9:30:00 PM","11235"
"IR-16","Town Hall","Mayoral Office","Russian","Simultaneous","2","2017-09-15T00:00:00.000","7:00:00 PM","9:30:00 PM","11235"
"IR-16","Town Hall","Mayoral Office","Urdu","Simultaneous","1","2017-09-15T00:00:00.000","7:00:00 PM","9:30:00 PM","11235"
"IR-17","KYRF","Mayoral Office","French","Simultaneous","2","2017-09-18T00:00:00.000","5:30:00 PM","8:00:00 PM","10030"
"IR-17","KYRF","Mayoral Office","Spanish","Simultaneous","2","2017-09-18T00:00:00.000","5:30:00 PM","8:00:00 PM","10030"
"IR-18","KYRF","Mayoral Office","Spanish","Simultaneous","2","2017-09-19T00:00:00.000","5:30:00 PM","8:30:00 PM","10453"
"IR-19","Global Mayors Summit","Mayoral Office","French","Simultaneous","2","2017-09-20T00:00:00.000","9:00:00 AM","2:00:00 PM","10011"
"IR-19","Global Mayors Summit","Mayoral Office","German","Simultaneous","2","2017-09-20T00:00:00.000","9:00:00 AM","2:00:00 PM","10011"
"IR-19","Global Mayors Summit","Mayoral Office","Italian","Simultaneous","2","2017-09-20T00:00:00.000","9:00:00 AM","2:00:00 PM","10011"
"IR-19","Global Mayors Summit","Mayoral Office","Spanish","Simultaneous","2","2017-09-20T00:00:00.000","9:00:00 AM","2:00:00 PM","10011"
"IR-20","Hispanic Heritage Month Forum","Mayoral Office","Spanish","Simultaneous","2","2017-09-26T00:00:00.000","6:00:00 PM","8:00:00 PM","10040"
"IR-21","KYRF","Mayoral Office","Spanish","Simultaneous","2","2017-09-27T00:00:00.000","3:00:00 PM","5:00:00 PM","10029"
"IR-22","Town Hall","Mayoral Office","Chinese - Mandarin","Simultaneous","1","2017-09-28T00:00:00.000","7:00:00 PM","9:30:00 PM","10029"
"IR-22","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-09-28T00:00:00.000","7:00:00 PM","9:30:00 PM","10029"
"IR-24","School Safety Parents Forum","Mayoral Office","Chinese - Mandarin","Simultaneous","2","2017-10-02T00:00:00.000","10:00:00 AM","12:30:00 PM","10026"
"IR-24","School Safety Parents Forum","Mayoral Office","Spanish","Simultaneous","2","2017-10-02T00:00:00.000","10:00:00 AM","12:30:00 PM","10026"
"IR-25","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-02T00:00:00.000","7:00:00 PM","9:30:00 PM","11207"
"IR-26","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-04T00:00:00.000","7:00:00 PM","9:30:00 PM","10458"
"IR-27","Town Hall","Mayoral Office","Chinese - Mandarin","Simultaneous","2","2017-10-12T00:00:00.000","7:00:00 PM","9:30:00 PM","10002"
"IR-27","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-12T00:00:00.000","7:00:00 PM","9:30:00 PM","10002"
"IR-28","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-16T00:00:00.000","7:00:00 PM","9:30:00 PM","11434"
"IR-29","Town Hall","Mayoral Office","Arabic","Simultaneous","1","2017-10-18T00:00:00.000","7:00:00 PM","9:30:00 PM","11201"
"IR-29","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-18T00:00:00.000","7:00:00 PM","9:30:00 PM","11201"
"IR-30","KYRF","Mayoral Office","Arabic","Simultaneous","2","2017-10-21T00:00:00.000","4:00:00 PM","6:00:00 PM","10029"
"IR-30","KYRF","Mayoral Office","French","Simultaneous","2","2017-10-21T00:00:00.000","4:00:00 PM","6:00:00 PM","10029"
"IR-31","Community Meeting","Mayoral Office","Chinese - Mandarin","Simultaneous","1","2017-10-23T00:00:00.000","4:00:00 PM","6:00:00 PM","10013"
"IR-32","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-10-24T00:00:00.000","7:00:00 PM","9:30:00 PM","11212"
"IR-33","Town Hall","Mayoral Office","Bengali","Simultaneous","2","2017-10-26T00:00:00.000","7:00:00 PM","9:30:00 PM","11215"
"IR-34","IDNYC Presentation","Mayoral Office","Chinese - Mandarin","Simultaneous","1","2017-11-01T00:00:00.000","11:30:00 AM","1:30:00 PM","10002"
"IR-35","Town Hall","Mayoral Office","Chinese - Mandarin","Simultaneous","2","2017-11-02T00:00:00.000","7:00:00 PM","9:30:00 PM","11427"
"IR-35","Town Hall","Mayoral Office","Korean","Simultaneous","2","2017-11-02T00:00:00.000","7:00:00 PM","9:30:00 PM","11427"
"IR-35","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-11-02T00:00:00.000","7:00:00 PM","9:30:00 PM","11427"
"IR-36","Town Hall","Mayoral Office","Chinese - Mandarin","Simultaneous","2","2017-11-21T00:00:00.000","7:00:00 PM","9:30:00 PM","11355"
"IR-36","Town Hall","Mayoral Office","Korean","Simultaneous","2","2017-11-21T00:00:00.000","7:00:00 PM","9:30:00 PM","11355"
"IR-36","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-11-21T00:00:00.000","7:00:00 PM","9:30:00 PM","11355"
"IR-37","Town Hall","Mayoral Office","Spanish","Simultaneous","2","2017-12-12T00:00:00.000","7:00:00 PM","9:30:00 PM","10314"
"IR-38","Town Hall","Mayoral Office","Arabic","Simultaneous","3","2017-12-14T00:00:00.000","7:00:00 PM","9:30:00 PM","11215"
"IR-38","Town Hall","Mayoral Office","Chinese - Cantonese","Simultaneous","3","2017-12-14T00:00:00.000","7:00:00 PM","9:30:00 PM","11215"
"IR-38","Town Hall","Mayoral Office","Chinese - Mandarin","Simultaneous","3","2017-12-14T00:00:00.000","7:00:00 PM","9:30:00 PM","11215"
"IR-39","Community Meeting","Mayoral Office","Dari","Simultaneous","2","2017-12-14T00:00:00.000","6:00:00 PM","8:00:00 PM","11367"
