"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-01448-0017","345 73 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","143","1961","154506","4635180","30","22200000","144","1-01438-0006","305 63 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","111","1931","164567","6913219","42","34700000","211","0.5",,,,,,,,,,,,
"1-02108-0073","499 158 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"WASHINGTON HEIGHTS LOWER","C6-WALK-UP","30","1907","20026","324420","16.2","760000","38","1-02108-0056","1969 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","C7-WALK-UP","35","1920","21576","374942","17.38","1480000","69","0.05",,,,,,,,,,,,
"1-01582-0046","510 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","94","1958","123333","3576657","29","17100000","139","1-01473-0038","420 79 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","112","1959","113820","3225341","28.3","15400000","135","0.4",,,,,,,,,,,,
"1-01183-0042","322 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","62","1925","107376","3462876","32.3","16600000","155","1-01249-0036","575 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","54","1915","104942","3387623","32.3","16200000","154","0.8","1-01195-0014","25 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","64","1927","109896","3069385","27.9","14700000","134","0.7"
"1-01360-9001","404 49 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","167","1967","443522","13083899","29.5","62700000","141","1-01046-0047","330 56 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D6-ELEVATOR","276","1974","229973","7122780","31","34100000","148","1.4","1-01314-0021","747 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D9-ELEVATOR","276","1972","387761","12821726","33.1","61400000","158","0.5"
"1-02054-0016","369 EDGECOMBE AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10031","40.827741","-73.940878","9","9","23501","1061167","1020540016","Hamilton Heights                                                           ","HARLEM-CENTRAL","C6-WALK-UP","20","1926","12695","162115","12.77","380000","29.9","1-02054-0035","22 ST NICHOLAS PLACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C1-WALK-UP","20","1920","12570","160490","12.77","554000","44.1","0","1-02054-0012","363 EDGECOMBE AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C1-WALK-UP","23","1946","12695","166724","13.13","609000","48","0"
"1-01387-0036","760 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10021","40.771363","-73.964038","8","4","130","1041463","1013870036","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","15","1924","71928","2337660","32.5","11200000","156","1-01387-0056","900 MADISON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","65","1939","66731","2861408","42.9","14400000","216","0.1","1-01409-0021","1033 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71189","2048170","28.8","9810000","138","0.2"
"1-01717-0002","162 LENOX AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10026","40.80347","-73.948615","10","9","190","1053176","1017170002","Central Harlem South                                                       ","HARLEM-CENTRAL","D4-ELEVATOR","35","1930","27709","408430","14.74","956000","34.5","1-01753-0069","2089 5 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C1-WALK-UP","36","1921","23508","270544","11.51","933000","39.7","0.5","1-01826-0018","211 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","D1-ELEVATOR","25","1926","29424","528633","17.97","2090000","71","0.55"
"1-01197-0050","36 84 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","27","1924","42814","1149555","26.8","4990000","117","1-01437-0032","340 63 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","42","1940","32964","844168","25.6","3670000","111","1.6","1-01245-0088","324 84 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D9-ELEVATOR","48","1914","38016","962512","25.3","4180000","110","0.5"
"1-00908-0037","236 28 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GRAMERCY","D4-ELEVATOR","31","1920","14981","524335","35","2510000","168","1-00897-0071","206 17 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D9-ELEVATOR","27","1910","15416","700732","45.5","3510000","228","0.55","1-00896-0015","231 14 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D5-ELEVATOR","16","1915","13788","559969","40.6","2810000","204","0.65"
