"calendarnumber","premiseaddressnumber","premiseaddressstreet","borough","block","lot","c1","c2","c3","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"6-16-S","17-19","Rush St","Brooklyn","02163","35","6","1916","S","11249","40.705921","-73.967651","301","33","545","3000000","3021630001","Williamsburg"
"12-16-S","44-50","East 32nd St","Manhattan","00861","47","12","1916","S","10016","40.746261","-73.983399","105","2","74","1016993","1008610047","Midtown-Midtown South"
"13-16-S","22","East 42nd St","Manhattan","01276","64","13","1916","S","10017","40.753147","-73.98012","105","4","82","1085972","1012760058","Murray Hill-Kips Bay"
"14-16-S","352-358","E 149th St","Bronx","02337","39","14","1916","S","10451","40.816656","-73.919966","201","17","65","2097043","2023300039","Melrose South-Mott Haven North"
"14-16-BZ","13-15","Sumpter St","Brooklyn","01695","16-20,42,43","14","1916","BZ","11233","40.679242","-73.926513","303","36","381","3047927","3016950042","Crown Heights North"
"16-16-S","1332-1350","Broadway Ave","Manhattan","00811","31","16","1916","S","10018","40.750774","-73.987747","105","4","109","1080606","1008110031","Midtown-Midtown South"
"17-16-S","80","Jefferson St","Manhattan","00247","34","17","1916","S","10002","40.71151","-73.988324","103","1","6",,,"Lower East Side"
"18-16-S","3911","2nd Ave","Brooklyn","00707","6","18","1916","S","11232","40.655141","-74.010617","307","38","2","3010455","3007070007","Sunset Park West"
"19-16-S","30-30","Northern Blvd","Queens","00239","60","19","1916","S","11101","40.751201","-73.934402","401","26","171","4003411","4002390060","Hunters Point-Sunnyside-West Maspeth"
"21-16-S","610-618","Broadway","Manhattan","00522","1","21","1916","S","10012","40.725723","-73.996511","102","1","5502","1008209","1005220001","West Village"
"26-16-S","47-51","Pike St","Manhattan","00272","47","26","1916","S","10002","40.71223","-73.992364","103","1","6","1077508","1002550001","Lower East Side"
"29-16-S","240-242","West 23rd St","Manhattan","00772","67","29","1916","S","10011","40.744613","-73.996889","104","3","91","1014132","1007720067","Hudson Yards-Chelsea-Flatiron-Union Square"
"32-16-S","1123-1127","Broadway","Manhattan","00827","28","32","1916","S","10010","40.743254","-73.989123","105","3","58","1015618","1008270028","Hudson Yards-Chelsea-Flatiron-Union Square"
"32-16-S","9","West 25th Street","Manhattan","00827","28","32","1916","S","10010","40.743245","-73.989639","105","3","58","1015618","1008270028","Hudson Yards-Chelsea-Flatiron-Union Square"
"34-16-S","99","Maiden Lane","Manhattan","00069","14","34","1916","S","10038","40.706993","-74.007134","101","1","1502","1087832","1000690006","Battery Park City-Lower Manhattan"
"35-16-S","131-133","Boerum St","Brooklyn","03070","28","35","1916","S","11206","40.705837","-73.943651","301","34","505","3071281","3030700028","East Williamsburg"
"36-16-S","384-390","5th Ave","Manhattan","00837","48","36","1916","S","10018","40.749462","-73.983827","105","4","84","1015899","1008370045","Midtown-Midtown South"
"37-16-A","145-147","40thSt","Manhattan","01295","29,30,41,44","37","1916","A",,,,,,,,,
"38-16-A","951-969","8th Ave","Manhattan","01047","36","38","1916","A","10019","40.766155","-73.983296","104","3","139","1025451","1010477502","Clinton"
"40-16-S","(98-100)","Walker St","Manhattan","00197","30","40","1916","S",,,,,,,,,
"45-16-A","1880","Sterling Pl","Brooklyn","01472","20","45","1916","A","11233","40.670663","-73.916201","316","41","361","3000000","3014720020","Ocean Hill"
"52-16-BZ","761","Park Pl","Brooklyn","01233","81","52","1916","BZ","11216","40.673541","-73.95223","308","36","31701","3031227","3012330081","Crown Heights North"
"54-16-S","81 & 81 1/2","Walker St","Manhattan","00195","11","54","1916","S",,,,,,,,,
"55-16-BZ","28-30","Quincy Ave","Brooklyn","01972","17","55","1916","BZ",,,,,,,,,
"62-16-S","996","East 163rd St","Bronx","NONE",,"62","1916","S","10459","40.820972","-73.89372","202","17","87",,,"Longwood"
"66-16-A","228-230,230-232","Canal St","Manhattan","00198","27&29","66","1916","A",,,,,,,,,
"67-16-S","34","West 17th St","Manhattan","00818","70","67","1916","S","10011","40.738429","-73.993465","105","3","54","1015401","1008187502","Hudson Yards-Chelsea-Flatiron-Union Square"
"67-16-S","34","West 17th St","Manhattan","00818","70","67","1916","S","10011","40.738429","-73.993465","105","3","54","1015401","1008187502","Hudson Yards-Chelsea-Flatiron-Union Square"
"69-16-S","131-133","East 23rd St","Manhattan","00879","17","69","1916","S","10010","40.739644","-73.985039","105","2","68","1018040","1008790017","Gramercy"
"70-16-S","285-287","East 137th St","Bronx","02313","42","70","1916","S",,,,,,,,,
"74-16-S","131","Essex St","Manhattan","00411","68","74","1916","S","10002","40.720008","-73.987464","103","1","3001","1005379","1004110068","Chinatown"
"87-16-S","185-187","Canal St","Manhattan","00205","25 & 30","87","1916","S","10013","40.716863","-73.997882","102","1","41","1002645","1002050030","SoHo-TriBeCa-Civic Center-Little Italy"
"96-16-A","1000-1010","Sutter Ave","Brooklyn","04051","20","96","1916","A","11208","40.671352","-73.88181","305","42","1164","3089813","3040510016","East New York"
"98-16-A","467-473, 437-453","Prospect Ave","Brooklyn","01113","61,62, 73-75","98","1916","A",,,,,,,,,
"103-16-A","227-229","E 56th St","Manhattan","01330","11","103","1916","A","10022","40.759268","-73.967268","106","4","108","1038592","1013300011","Turtle Bay-East Midtown"
"114-16-BZ","1271-1273","Atlantic Ave","Brooklyn","01866","121","114","1916","BZ","11216","40.678422","-73.948657","303","36","247","3053987","3018670078","Crown Heights North"
"115-16-S","733-735","Broadway","Manhattan","00548","64","115","1916","S","10003","40.729774","-73.993109","102","1","57","1008840","1005480070","West Village"
"119-16-S",,"East 141st St","Bronx","NONE",,"119","1916","S",,,,,,,,,
"120-16-BZ","72-79","Guernsey St","Brooklyn","02644","50","120","1916","BZ","11222","40.723655","-73.952735","301","33","569","3066006","3026440045","Greenpoint"
"121-16-S","144-154","John St","Manhattan","00071","25 & 28","121","1916","S","10038","40.706782","-74.004945","101","1","1502","1001137","1000717501","Battery Park City-Lower Manhattan"
"123-16-S","32-38","Fulton St","Manhattan","00075","1-7, 10, 11, 15, 17, 19","123","1916","S","10038","40.707561","-74.004155","101","1","1502","1001163","1000750001","Battery Park City-Lower Manhattan"
"125-16-S","207","Greene St","Manhattan","00534","31","125","1916","S",,,,,,,,,
