"building_id","bin","street_address","borocode","block","lot","bqi","aep_order","discharged_7a","hpd_vacate_order","dob_vacate_order","harassment_finding","date_added","borough","zipcode","latitude","longitude","community_board","council_district","census_tract","bbl","nta_neighborhood_tabulation"
"272","1005898","162 1 AVENUE","1","437","8","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.728676","-73.984486","103","2","34","1004370008","East Village"
"374","1005968","188 1 AVENUE","1","439","4","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10009","40.729653","-73.983782","103","2","34","1004390004","East Village"
"851","1043993","1403 2 AVENUE","1","1428","21","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10021","40.769632","-73.957768","108","4","126","1014280021","Lenox Hill-Roosevelt Island"
"1102","1050341","1854 2 AVENUE","1","1558","49","No","No","No","No","Yes","No","2022-06-24T00:00:00.000","MANHATTAN","10128","40.784078","-73.947196","108","5","15601","1015580049","Yorkville"
"1521","1020357","707 2 AVENUE","1","919","27","No","No","No","No","No","Yes","2022-06-24T00:00:00.000","MANHATTAN","10016","40.747396","-73.973986","106","4","78","1009190027","Murray Hill-Kips Bay"
"1975","1052434","1985 3 AVENUE","1","1659","1","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10029","40.793625","-73.943162","111","8","180","1016590001","East Harlem North"
"3376","1054974","1845 ADAM C POWELL BOULEVARD","1","1822","7502","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.80086","-73.954233","110","9","216","1018227502","Central Harlem South"
"3393","1055057","1917 ADAM C POWELL BOULEVARD","1","1825","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10026","40.803165","-73.952556","110","9","218","1018250063","Central Harlem South"
"3438","1057699","2035 ADAM C POWELL BOULEVARD","1","1906","62","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.806844","-73.949869","110","9","220","1019060062","Central Harlem South"
"3512","1058243","2269 ADAM C POWELL BOULEVARD","1","1918","63","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10030","40.814318","-73.944409","110","9","226","1019180063","Central Harlem North-Polo Grounds"
"3634","1060510","2530 ADAM C POWELL BOULEVARD","1","2032","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10039","40.822629","-73.938364","110","9","234","1020320033","Central Harlem North-Polo Grounds"
"3640","1060536","2546 ADAM C POWELL BOULEVARD","1","2033","33","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10039","40.823211","-73.937941","110","9","234","1020330033","Central Harlem North-Polo Grounds"
"3668","1013980","152 7 AVENUE","1","769","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10011","40.74178","-73.997348","104","3","87","1007690034","Hudson Yards-Chelsea-Flatiron-Union Square"
"4064","1059419","2459 FREDERICK DOUGLASS BOULEVARD","1","1958","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000",,,,,,,,,
"5036","1080026","3854 10 AVENUE","1","2219","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.863955","-73.919313","112","10","293","1022190029","Marble Hill-Inwood"
"5390","1064805","618 ACADEMY STREET","1","2224","22","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10034","40.865048","-73.924192","112","10","291","1022240022","Marble Hill-Inwood"
"5559","1059624","1437 AMSTERDAM AVENUE","1","1970","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10027","40.816395","-73.954053","109","9","21303","1019700034","Manhattanville"
"5617","1061246","1661 AMSTERDAM AVENUE","1","2058","29","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.823405","-73.948932","109","7","227","1020580029","Hamilton Heights"
"5634","1061944","1730 AMSTERDAM AVENUE","1","2077","34","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10031","40.825633","-73.947326","109","7","229","1020770034","Hamilton Heights"
"5785","1062644","2119 AMSTERDAM AVENUE","1","2111","44","Yes","No","No","No","No","No","2022-06-24T00:00:00.000","MANHATTAN","10032","40.837991","-73.93827","112","10","249","1021110044","Washington Heights South"
