"year","pre_complaint_resolutions","totals"
"2019","January","67"
"2019","February","46"
"2019","March","54"
"2019","April","62"
"2019","May","86"
"2019","June","58"
"2019","July","34"
"2019","August","35"
"2019","September","24"
"2019","October","38"
"2019","November","42"
"2019","December","46"
