"date_received","borough","block","lot","class","community_board","violation","osm","ccu","sim","bc","other_log","issue","address","cross_streets","referred_routed_to","resoultion","date_closed","results_of_inspection","postcode","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"1900-01-01T00:00:00.000","Manhattan","1074","54","G7","4","28478",,,,,"DOT-446243-P7N0","Other","542 WEST 46TH STREET",,,"Referred to DOF","1900-01-01T00:00:00.000",,"10036","40.762824","-73.995159","3","129","1000000","1010740054","Clinton"
"1900-01-01T00:00:00.000","Brooklyn","1366","57","Commerical","8",,,,,,"DOT-483141-Q6B7(i)","Defective Pedestrian Ramp","188 Utica Avenue",,,"Inspect","1900-01-01T00:00:00.000",,"11213","40.672501","-73.930788","36","345","3036248","3013660057","Crown Heights North"
"2000-01-13T00:00:00.000","Bronx",,,,,,,,,,"DOT-447057-R3R2","Other","Riverdale ave from west 238th st to 239 st",,,,"2021-01-01T00:00:00.000",,,,,,,,,
"2000-01-13T00:00:00.000","Brooklyn",,,,,,,,,,"DOT-443683-N0G6","Violation Inquiry","EAST 3 ST BET CATON AND FORT HAMILTON PARKWAY",,,,"2121-01-01T00:00:00.000",,,,,,,,,
"2000-01-13T00:00:00.000","Brooklyn","379","12","B9","6","82370",,,,,"DOT-446832-X4N1","Sidewalk Broken","134 Nelson Street",,,,"2021-01-01T00:00:00.000",,"11231","40.676855","-74.000076","39","65","3005621","3003790012","Carroll Gardens-Columbia Street-Red Hook"
"2000-01-14T00:00:00.000","Bronx",,,,,,,,,,"DOT-443976-Z4J8","Other","Wilcox Ave",,,,"2021-01-01T00:00:00.000",,,,,,,,,
"2000-01-14T00:00:00.000","Bronx",,,,,,,,,,"DOT-447363-B3W1","Violation Inquiry","HONE AVE AND VANNEST AVE",,,,"2021-01-01T00:00:00.000",,,,,,,,,
"2000-01-14T00:00:00.000","Brooklyn","7666","52","B2","18","88395",,,,,"DOT-447369-D0M4","DI inquiry","1314 East 31st Street",,,,"2021-01-01T00:00:00.000",,"11210","40.619117","-73.944416","45","746","3210355","3076660052","Flatlands"
"2000-01-14T00:00:00.000","Brooklyn","7217","24","B1","13","93372",,,,,"DOT-447365-W8X9","DI Inquiry","2542 East 2 Street",,,,"2121-01-01T00:00:00.000",,"11223","40.587607","-73.967784","47","37401","3195776","3072170024","Gravesend"
"2000-01-14T00:00:00.000","Brooklyn","2098","84","C3","2","101746",,,,,"DOT-447351-N4L3","Sidewalk Expeditied Repair Request","82 South Elliott Place",,,,"2021-01-01T00:00:00.000",,"11217","40.687571","-73.975693","35","33","3058765","3020980084","Fort Greene"
