"bbl_10","street_no_property","street_1_property","street_2_property","city_property","postcode","addr_state_property","borough","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"5035857501","100","COLFAX AVENUE",,"STATEN ISLAND","10306","NY","STATEN IS","40.579906","-74.107779","502","50","11402","5095450","New Dorp-Midland Beach"
"5038510001",,"FR CAPODANNO BLVD",,"STATEN ISLAND","0","NY",,,,,,,,
"5039010017","2424","HYLAN BOULEVARD",,"STATEN ISLAND","10306","NY","STATEN IS","40.571986","-74.10822","502","50","11202","5055347","New Dorp-Midland Beach"
"5039690001","2660","HYLAN BOULEVARD",,"STATEN ISLAND","10306","NY","STATEN IS","40.566994","-74.113237","502","50","12804",,"New Dorp-Midland Beach"
"5039690031","107","MILL ROAD",,"STATEN ISLAND","10306","NY","STATEN IS","40.566291","-74.108585","502","50","12804","5000000","New Dorp-Midland Beach"
"5039830001","655","TYSENS LANE",,"STATEN ISLAND","10306","NY","STATEN IS","40.5625","-74.113985","503","50","12806","5105551","Oakwood-Oakwood Beach"
"5039830013","2712","HYLAN BOULEVARD",,"STATEN ISLAND","10306","NY","STATEN IS","40.566288","-74.113955","502","50","12806","5107585","Oakwood-Oakwood Beach"
"5039830045","245","MILL ROAD",,"STATEN ISLAND","10306","NY","STATEN IS","40.563124","-74.11106","503","50","12806","5105549","Oakwood-Oakwood Beach"
"5039830065","26","EBBITTS STREET",,"STATEN ISLAND","10306","NY","STATEN IS","40.564817","-74.110994","503","50","12806","5105546","Oakwood-Oakwood Beach"
"5039830130","2754","HYLAN BOULEVARD",,"STATEN ISLAND","10306","NY","STATEN IS","40.56467","-74.11559","502","50","12806","5107591","Oakwood-Oakwood Beach"
"5040010001","2838","HYLAN BOULEVARD",,"STATEN ISLAND","10306","NY","STATEN IS","40.563618","-74.116344","503","50","12806","5109697","Oakwood-Oakwood Beach"
"5042570001",,"AMBOY ROAD",,"STATEN ISLAND","0","NY",,,,,,,,
"5042570001","2900","AMBOY ROAD",,"STATEN ISLAND","10306","NY","STATEN IS","40.5684","-74.125714","503","50","13201","5107624","Oakwood-Oakwood Beach"
"5045007501","3465","AMBOY ROAD",,"STATEN ISLAND","10306","NY","STATEN IS","40.557052","-74.138757","503","51","14606","5061307","Great Kills"
"5046450415","100","GREAVES LANE",,"STATEN ISLAND","10308","NY","STATEN IS","40.553993","-74.144198","503","51","14606","5151095","Great Kills"
"5051907501","1","MANSION AVENUE",,"STATEN ISLAND","10308","NY","STATEN IS","40.546455","-74.137824","503","51","15603",,"Great Kills"
"5052360031","3939","RICHMOND AVENUE",,"STATEN ISLAND","10312","NY","STATEN IS","40.542105","-74.163076","503","51","15601","5128445","Great Kills"
"5054917501","119","CORTELYOU AVENUE",,"STATEN ISLAND","10312","NY","STATEN IS","40.556747","-74.164152","503","51","14607","5112283","Great Kills"
"5054970007","4343","AMBOY ROAD",,"STATEN ISLAND","10312","NY","STATEN IS","40.545344","-74.160569","503","51","14604","5073190","Great Kills"
"5055330058",,"RICHMOND AVENUE",,"STATEN ISLAND","0","NY",,,,,,,,
"5055330058","3231","RICHMOND AVENUE",,"STATEN ISLAND","10312","NY","STATEN IS","40.5604","-74.169765","503","51","14607","5073738","Great Kills"
"5059000036","1527","ARTHUR KILL ROAD",,"STATEN ISLAND","10312","NY","STATEN IS","40.562764","-74.190595","503","51","228","5153773","New Springville-Bloomfield-Travis"
"5059650084",,"ARTHUR KILL ROAD",,"STATEN ISLAND","0","NY",,,,,,,,
"5059650084","7A","ARDEN AVENUE",,"STATEN ISLAND","10309","NY","STATEN IS","40.559391","-74.19824","503","51","228","5153792","New Springville-Bloomfield-Travis"
"5060177501",,"ROLLING HILL GREEN",,"STATEN ISLAND","10312","NY",,,,,,,,
