"building_id","borough","number","street","total_units","program_start_date","current_status","discharge_date","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"52049","Bronx","968","BRONX PARK SOUTH","28","2020-07-01T00:00:00.000","Active",,"10460","40.845067","-73.878848","206","15","361","2013272","2031340009","East Tremont"
"56597","Bronx","495","CLAREMONT PARKWAY","16","2020-07-01T00:00:00.000","Active",,"10457","40.838595","-73.902015","203","16","167","2009557","2029130043","Claremont-Bathgate"
"60267","Bronx","3212","CRUGER AVENUE","27","2020-07-01T00:00:00.000","Active",,"10467","40.871887","-73.866133","212","15","374","2056262","2045970011","Williamsbridge-Olinville"
"63599","Bronx","340","EAST 148 STREET","9","2020-07-01T00:00:00.000","Active",,"10451","40.815998","-73.920411","201","8","65","2000871","2023290068","Melrose South-Mott Haven North"
"64592","Bronx","361","EAST 163 STREET","59","2020-07-01T00:00:00.000","Active",,"10451","40.826405","-73.914896","204","17","173","2002047","2024240110","East Concourse-Concourse Village"
"66211","Bronx","363","EAST 180 STREET","9","2020-07-01T00:00:00.000","Active",,"10457","40.852148","-73.898973","205","15","379","2013318","2031430132","Mount Hope"
"66279","Bronx","883","EAST 180 STREET","107","2020-07-01T00:00:00.000","Active",,"10460","40.845205","-73.882863","206","17","363","2013159","2031240001","East Tremont"
"68348","Bronx","716","EAST 216 STREET","7","2020-07-01T00:00:00.000","Active",,"10467","40.881186","-73.863174","212","12","390","2057901","2046630023","Williamsbridge-Olinville"
"77973","Bronx","3349","FENTON AVENUE","3","2020-07-01T00:00:00.000","Active",,"10469","40.875282","-73.847547","212","12","364","2060747","2047370017","Eastchester-Edenwald-Baychester"
"87089","Bronx","2112","HONEYWELL AVENUE","11","2020-07-01T00:00:00.000","Active",,"10460","40.845331","-73.882122","206","17","363","2013177","2031250006","East Tremont"
"88712","Bronx","797","JENNINGS STREET","3","2020-07-01T00:00:00.000","Active",,"10459","40.832043","-73.895993","203","16","153","2010229","2029630043","Crotona Park East"
"92360","Bronx","1036","LONGFELLOW AVENUE","4","2020-07-01T00:00:00.000","Active",,"10459","40.824298","-73.887684","202","17","119","2006261","2027560069","Hunts Point"
"92408","Bronx","1255","LONGFELLOW AVENUE","20","2020-07-01T00:00:00.000","Active",,"10459","40.829176","-73.888066","203","17","12101","2010723","2029930046","Morrisania-Melrose"
"97575","Bronx","2430","MORRIS AVENUE","53","2020-07-01T00:00:00.000","Active",,"10468","40.861143","-73.900177","205","14","23703","2013905","2031730020","Fordham South"
