"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-03383-0001","4260 KATONAH AVENUE
Bronx, NY 
(40.897357927919, -73.867104111231)","2","10470","40.897335","-73.867134","12","11","45101","2019336","2033830001","Woodlawn-Wakefield                                                         ",,,"108","1958","93645","1063504","11.36","2490000","26.6","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","101050","1063504","10.52","3300000","32.7","1.95","2-03395-0047","530 234 STREET
Bronx, NY 
(40.897260756984, -73.863334123436)","WOODLAWN","D7-ELEVATOR","88","1955","113670","897172","7.89","2310000","20.32","0.15"
"2-02582-0061","823 147 STREET
Bronx, NY 
(40.811096799957, -73.906142026939)","2",,,,,,,,,,,,"38","1920","25980","195370","7.52","457000","17.59","2-02579-0025","740 149 STREET
Bronx, NY 
(40.813050000208, -73.908331039979)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","21","1920","15045","113142","7.52","265000","17.61","0.15","2-02265-0049","213 ST ANNS AVENUE
Bronx, NY 
(40.806324614982, -73.917873803441)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","11","1920","12539","125163","9.98","357000","28.5","0.75"
"2-03047-0014","490 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,"24","1927","26000","235820","9.07","552000","21.23","2-03047-0067","503 180 STREET
Bronx, NY 
(40.851064020569, -73.894699326657)","BATHGATE","C1-WALK-UP","21","1911","20050","181791","9.07","519000","25.9","0.05","2-03048-0030","546 182 STREET
Bronx, NY 
(40.853069547131, -73.892783341618)","BATHGATE","C1-WALK-UP","25","1913","21200","292136","13.78","1070000","50","0.1"
"2-04594-0044","3215 OLINVILLE AVENUE
Bronx, NY 
(40.872476509864, -73.868257982978)","2","10467","40.871906","-73.868259","12","15","376","2056198","2045940044","Williamsbridge-Olinville                                                   ",,,"47","1963","38150","453222","11.88","1060000","27.8","2-04340-0086","2255 BARKER AVENUE
Bronx, NY 
(40.858928423115, -73.869552167808)","BRONXDALE","D1-ELEVATOR","42","1964","31320","371997","11.88","1280000","40.9","0.85","2-04341-0075","2265 OLINVILLE AVENUE
Bronx, NY 
(40.85910364056, -73.868617810073)","BRONXDALE","D1-ELEVATOR","40","1962","31320","247936","7.92","640000","20.43","0.85"
"2-02935-0001","625 JEFFERSON PLACE
Bronx, NY 
(40.833442676336, -73.899993294453)","2","10456","40.833537","-73.90032","3","16","149","2009764","2029350001","Morrisania-Melrose                                                         ",,,"16","1906","17100","189925","11.11","445000","26","2-02556-0017","364 ST ANNS AVENUE
Bronx, NY 
(40.809937903284, -73.915438177136)","MOTT HAVEN/PORT MORRIS","D1-ELEVATOR","17","1905","12830","189925","14.8","693000","54","1.85","2-03335-0142","171 MOSHOLU PARKWAY
Bronx, NY 
(40.875606034272, -73.881469262869)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","18","1923","21000","189875","9.04","542000","25.8","3.05"
"2-02443-0170","773 CONCOURSE VILLAGE
Bronx, NY 
(40.822923625866, -73.919965668369)","2",,,,,,,,,,,,"1248","1964","876500","10290110","11.74","24100000","27.5","2-02314-0001","271 138 STREET
Bronx, NY 
(40.810935227356, -73.927054860398)","MOTT HAVEN/PORT MORRIS","D1-ELEVATOR","145","1965","137800","1446900","10.5","3390000","24.6","0.8",,,,,,,,,,,,
"2-04289-0050","758 BRADY AVENUE
Bronx, NY 
(40.852351774115, -73.865469324128)","2","10462","40.852355","-73.865153","11","13","22404","2048801","2042890050","Pelham Parkway                                                             ",,,"58","1932","67500","600750","8.9","1550000","22.96","2-04284-0001","2039 CRUGER AVENUE
Bronx, NY 
(40.85151387209, -73.866826178161)","MORRIS PARK/VAN NEST","D1-ELEVATOR","73","1935","81456","724971","8.9","1870000","22.96","0.1",,,,,,,,,,,,
"2-05912-0001","4705 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.895547","-73.908376","8","11","30701","2085820","2059120001","North Riverdale-Fieldston-Riverdale                                        ",,,"183","1961","213921","2674012","12.5","9230000","43.1","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2849258","12.02","9830000","41.5","0.3","2-05920-0687","699 239 STREET
Bronx, NY 
(40.889952051174, -73.915197373288)","RIVERDALE","D1-ELEVATOR","132","1962","160000","2293757","14.34","8370000","52","0.45"
"2-02477-0015","1040 GERARD AVENUE
Bronx, NY 
(40.831424033944, -73.922607171975)","2","10452","40.83132","-73.922691","4","8","195","2002938","2024770015","West Concourse                                                             ",,,"52","1959","45786","409785","8.95","1060000","23.15","2-02481-0011","16 169 STREET
Bronx, NY 
(40.837614035919, -73.919113664673)","MELROSE/CONCOURSE","D7-ELEVATOR","65","1953","58882","586546","9.96","1670000","28.4","0.45","2-02484-0015","70 162 STREET
Bronx, NY 
(40.829319038743, -73.924934164858)","MELROSE/CONCOURSE","D6-ELEVATOR","73","1953","83969","629018","7.49","1470000","17.51","0.2"
"2-03987-0058","1500 OVERING STREET
Bronx, NY 
(40.84073208693, -73.845428315184)","2","10461","40.840775","-73.845527","10","13","200","2041945","2039870058","Van Nest-Morris Park-Westchester Square                                    ",,,"31","1926","27150","244621","9.01","631000","23.24","2-03982-0035","1443 OVERING STREET
Bronx, NY 
(40.840171993013, -73.844781534865)","WESTCHESTER","C1-WALK-UP","57","1927","49044","325795","6.64","763000","15.56","0.1","2-04068-0001","1500 HONE AVENUE
Bronx, NY 
(40.842785977948, -73.850854834686)","WESTCHESTER","C1-WALK-UP","49","1927","43340","390521","9.01","1010000","23.3","0.3"
