"doc_employee_id","leave_status_desc","rank_title","gender"
"22375","CEASED","ASSISTANT COMMISSIONER (COMM. SVCES)","FEMALE"
"22377","CEASED","LEGAL COORDINATOR","MALE"
"22378","CEASED","CORRECTION OFFICER","MALE"
"22379","CEASED","WARDEN","MALE"
"22380","CEASED","CAPTAIN","MALE"
"22381","CEASED","DEPUTY WARDEN","MALE"
"22382","CEASED","CAPTAIN","MALE"
"22383","CEASED","CAPTAIN","MALE"
"22384","CEASED","CORRECTION OFFICER","MALE"
"22385","CEASED","CAPTAIN","MALE"
"22386","CEASED","CHAPLAIN","FEMALE"
"22387","CEASED","STATIONARY ENGINEER","MALE"
"22388","CEASED","MAINTENANCE WORKER","MALE"
"22389","CEASED","DIR. OF CORRECTIONAL STANDARDS REVIEW","MALE"
"22390","CEASED","ASST. DIRECTOR OF REHABILITATION","MALE"
"22392","CEASED","WARDEN","MALE"
"22393","CEASED","CAPTAIN","MALE"
"22394","CEASED","CORRECTION OFFICER","MALE"
"22395","CEASED","CAPTAIN","MALE"
"22396","CEASED","CORRECTION OFFICER","MALE"
"22397","CEASED","CORRECTION OFFICER","MALE"
"22398","CEASED","CAPTAIN","MALE"
"22399","CEASED","CAPTAIN","MALE"
"22400","CEASED","CAPTAIN","MALE"
"22401","CEASED","CORRECTION OFFICER","MALE"
"22402","CEASED","CORRECTION OFFICER","MALE"
"22403","CEASED","CORRECTION OFFICER","MALE"
"22404","CEASED","CORRECTIONAL COUNSELOR","FEMALE"
"22405","CEASED","CORRECTION OFFICER","MALE"
"22406","CEASED","CORRECTION OFFICER","MALE"
"22407","CEASED","PRINTING PRESS OPERATOR","MALE"
"22408","CEASED","CORRECTION OFFICER","MALE"
"22409","CEASED","CAPTAIN","MALE"
"22410","CEASED","CAPTAIN","FEMALE"
"22411","CEASED","CORRECTION OFFICER","MALE"
"22412","CEASED","CAPTAIN","MALE"
"22413","CEASED","CORRECTION OFFICER","MALE"
"22414","CEASED","ADMINISTRATIVE PUBLIC INFO SPECIALIST","MALE"
"22415","CEASED","CORRECTION OFFICER","MALE"
"22416","CEASED","WARDEN","MALE"
"22417","CEASED","CORRECTION OFFICER","MALE"
"22418","CEASED","CORRECTION OFFICER","MALE"
"22419","CEASED","CORRECTION OFFICER","MALE"
"22420","CEASED","CAPTAIN","MALE"
"22421","CEASED","WARDEN","MALE"
"22422","CEASED","CORRECTION OFFICER","MALE"
"22423","CEASED","CAPTAIN","MALE"
"22424","CEASED","CAPTAIN","MALE"
"22425","CEASED","CORRECTION OFFICER","FEMALE"
"22426","CEASED","CORRECTION OFFICER","MALE"
"22427","CEASED","CORRECTION OFFICER","MALE"
"22428","CEASED","CORRECTION OFFICER","MALE"
"22429","CEASED","CORRECTION OFFICER","MALE"
"22430","CEASED","CORRECTION ADMINISTRATIVE AIDE","FEMALE"
"22431","CEASED","CORRECTION OFFICER","MALE"
"22432","CEASED","CAPTAIN","MALE"
"22433","CEASED","DEPUTY WARDEN","MALE"
"22434","CEASED","CORRECTION OFFICER","MALE"
"22435","CEASED","CORRECTION OFFICER","MALE"
"22436","CEASED","CORRECTION OFFICER","MALE"
"22437","CEASED","WARDEN (OLD)","MALE"
"22438","CEASED","CORRECTION OFFICER","FEMALE"
"22439","CEASED","CORRECTION OFFICER","MALE"
"22440","CEASED","CORRECTION OFFICER","MALE"
"22441","CEASED","CORRECTION OFFICER","MALE"
"22442","CEASED","CAPTAIN","MALE"
