"borough_number","building_name","building_address","borough","state","zip_code","block","lot","fuel_oil_usage_mmbtu","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1","Manhattan Municipal Building","1 Centre Street","Manhattan","New York","10007","121","1","0","40.713001","-74.004181","1","1","29","1001394","1001210001","Chinatown                                                                  "
"5","Staten Island Borough Hall","10 Richmond Terrace","Staten Island","New York","10301","7","1","1900.398","40.642197","-74.075201","1","49","3","5000063","5000070001","West New Brighton-New Brighton-St. George                                  "
"1","Manhattan Criminal Court","100 Centre Street","Manhattan","New York","10013","167","1","17678.628","40.716084","-74.001425","1","1","29","1079000","1001670001","Chinatown                                                                  "
"1","100 Gold","100 Gold Street","Manhattan","New York","10038","94","25","3557.226","40.710353","-74.004007","1","1","1501","1001289","1000940025","Battery Park City-Lower Manhattan                                          "
"5","Staten Island Family Court","100 Richmond Terrace","Staten Island","New York","10301","9","22","0","40.644935","-74.07723","1","49","7","5000090","5000090022","West New Brighton-New Brighton-St. George                                  "
"5","Staten Island Village Hall","111 Canal Street","Staten Island","New York","10304","523","1","0","40.626584","-74.076758","1","49","21","5013729","5005230001","Stapleton-Rosebank                                                         "
"1","Manhattan Civil Court","111 Centre Street","Manhattan","New York","10013","169","10","0","40.716317","-74.001277","1","1","31","1001833","1001690010","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2","Bronx Housing Court","1118 Grand Concourse","Manhattan","New York","10456","2462","39","395.508","40.832232","-73.919655","4","16","18102","2101266","2024620039","East Concourse-Concourse Village                                           "
"1","115 Chrystie","115 Chrystie Street","Bronx","New York","10002","423","22","0","40.718647","-73.993586","3","1","18","1005645","1004230022","Chinatown                                                                  "
"3","Brooklyn Central Court","120 Schermerhorn Street","Brooklyn","New York","11201","169","17","0","40.690074","-73.988923","2","33","43","3000534","3001690017","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"4","Queens Borough Hall","120-55 Queens Boulevard","Queens","New York","11415","2274","2","8889.408","40.713329","-73.828601","9","29","216","4052812","4022740002","Kew Gardens                                                                "
"1","Health Building","125 Worth Street","Manhattan","New York","10013","168","32","0","40.715428","-74.002673","1","1","31","1001831","1001680032","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"4","Queens Criminal Court","125-01 Queens Boulevard","Queens","New York","11415","9653","1","3100.86","40.712357","-73.826292","9","29","216","4206522","4096530001","Kew Gardens                                                                "
"5","130 Stuyvesant","130 Stuyvesant Place","Staten Island","New York","10301","8","70","0","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George                                  "
"1","Excelsior Building","137 Centre Street","Manhattan","New York","10013","197","17","0","40.717157","-74.000653","1","1","31","1002358","1001970017","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"3","Brooklyn Navy Yard","150 Navy Street","Brooklyn","New York","11205","2023","1","0","40.693967","-73.979467","2","35","15",,,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"4","Queens Family Court","152-02 Jamaica Avenue","Queens","New York","11432","10093","1","1400.424","40.702455","-73.803261","12","27","240","4438731","4100930001","Jamaica                                                                    "
"3","Bedford Armory","1579 Bedford Avenue","Brooklyn","New York","11225","1274","1","0","40.668489","-73.955849","9","35","323","3033161","3012740001","Crown Heights South                                                        "
"3","OEM Building","165 Cadman Plaza East","Brooklyn","New York","11201","85","6","0","40.698767","-73.98987","2","33","13","3000172","3000850006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"1","Harlem Courthouse","170 East 121 Street","Manhattan","New York","10035","1769","45","2686.722","40.801423","-73.938373","11","8","196","1054382","1017690045","East Harlem North                                                          "
"5","Staten Island Supreme Court","18 Richmond Terrace","Staten Island","New York","10301","7","12","0","40.643004","-74.075772","1","49","3","5000064","5000070012","West New Brighton-New Brighton-St. George                                  "
"2","Bergen Building","1932 Arthur Avenue","Bronx","New York","10457","2947","18","20.59","40.845685","-73.893294","6","17","36901","2009911","2029470018","East Tremont                                                               "
"2","Concourse Plaza","198 East 161 Street","Bronx","New York","10451","2443","94","0","40.826354","-73.921024","4","16","61","2099027","2024430094","East Concourse-Concourse Village                                           "
"1","Court Square Building","2 Lafayette Street","Brooklyn","New York","10007","155","1","0","40.713723","-74.003586","1","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"3","Brooklyn Borough Hall","209 Joralemon Street","Brooklyn","New York","11201","139","1","0","40.692476","-73.990487","2","33","11","3000256","3001390001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"3","Brooklyn Municipal Building","210 Joralemon Street","Bronx","New York","11201","266","30","2120.922","40.692459","-73.990491","2","33","9","3002558","3002667501","Brooklyn Heights-Cobble Hill                                               "
"2","Bronx Family & Criminal Court","215 East 161 Street","Manhattan","New York","10451","2444","1","3346.224","40.826236","-73.920529","4","16","18302","2002704","2024540001","East Concourse-Concourse Village                                           "
"1","City Planning Building","22 Reade Street","Queens","New York","10007","154","23","0","40.714231","-74.004895","1","1","31","1078613","1001540023","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"4","Long Island City Courthouse","25-10 Court House Square","Manhattan","New York","11101","83","1","952.2",,,,,,,,
"1","Home Life Building","253 Broadway","Staten Island","New York","10007","134","7501","0","40.713265","-74.007063","1","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
