"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2020 and 2021","1001970026","153C Centre Street","MANHATTAN","10013",,"NO",,,"OTHER","240","CANAL STREET",,"MANHATTAN","10013","40.717862","-74.0003211","1","1","31","1002362","1001970026","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1003100025","41 ESSEX ST STORE A","MANHATTAN","10002",,"NO",,,"OTHER","41","ESSEX STREET",,"MANHATTAN","10002","40.7163025","-73.989683","3","1","16","1004039","1003100025","MN27","Chinatown"
"2020 and 2021","1000971201","224 Front Street","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","220","FRONT STREET","RETL","MANHATTAN","10038","0","0","1","1","15","1086561","1000971201","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001970026","153D Centre Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","240","CANAL STREET",,"MANHATTAN","10013","40.717862","-74.0003211","1","1","31","1002362","1001970026","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002760035","108 MADISON STREET","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","108","MADISON STREET",,"MANHATTAN","10002","40.7120238","-73.9951557","3","1","8","1003312","1002760035","MN27","Chinatown"
"2020 and 2021","1003100025","41 ESSEX ST STORE B","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","41","ESSEX STREET",,"MANHATTAN","10002","40.7163025","-73.989683","3","1","16","1004039","1003100025","MN27","Chinatown"
"2020 and 2021","1000460001","2 Wall Street","MANHATTAN","10005",,"NO",,,"FINANCE & INSURANCE","2","WALL STREET",,"MANHATTAN","10005","40.7077305","-74.0113256","1","1","7","1001023","1000460001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000971201","220 Front Street","MANHATTAN","10038",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","220","FRONT STREET","RETL","MANHATTAN","10038","0","0","1","1","15","1086561","1000971201","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001620018","34 MOTT STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1083326","1001620018","MN27","Chinatown"
"2020 and 2021","1001970026","153A/B Centre Street","MANHATTAN","10013",,"NO",,,"RETAIL","240","CANAL STREET",,"MANHATTAN","10013","40.717862","-74.0003211","1","1","31","1002362","1001970026","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002181001","88 LAIGHT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","88","LAIGHT STREET","1","MANHATTAN","10013","0","0","1","1","39","1087172","1002181001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002760035","108 MADISON STREET","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","108","MADISON STREET",,"MANHATTAN","10002","40.7120238","-73.9951557","3","1","8","1003312","1002760035","MN27","Chinatown"
"2020 and 2021","1002921007","1 ELDRIDGE STREET","MANHATTAN","10002",,"NO",,,"OTHER","1","ELDRIDGE STREET","OFFCC","MANHATTAN","10002","0","0","3","1","16","1003775","1002921007","MN27","Chinatown"
"2020 and 2021","1003100024","43 ESSEX STREET","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","43","ESSEX STREET",,"MANHATTAN","10002","40.7163684","-73.9896505","3","1","16","1004038","1003100024","MN27","Chinatown"
"2020 and 2021","1000250027","40 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","40","EXCHANGE PLACE",,"MANHATTAN","10005","40.7056858","-74.0102865","1","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000441412","18 PINE STREET","MANHATTAN","10005",,"NO",,,"RETAIL","18","PINE STREET","RETL4","MANHATTAN","10005","0","0","1","1","7","1001022","1000441412","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000760024","40 GOLD STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","40","GOLD STREET",,"MANHATTAN","10038","40.7087245","-74.0057422","1","1","15","1088484","1000760024","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000970057","251 Water Street","MANHATTAN","10038",,"NO",,,"RETAIL","251","WATER STREET",,"MANHATTAN","10038","40.7080412","-74.0020776","1","1","15","1001349","1000970057","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001410002","134 READE STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","134","READE STREET",,"MANHATTAN","10013","40.7165276","-74.0095559","1","1","39","1079166","1001410002","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"RETAIL","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1083326","1001620018","MN27","Chinatown"
"2020 and 2021","1001741201","95 FRANKLIN STREET","MANHATTAN","10013",,"NO",,,"EDUCATIONAL SERVICES","95","FRANKLIN STREET","C","MANHATTAN","10013","0","0","1","1","33","1001895","1001741201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001970024","244 Canal Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","244","CANAL STREET",,"MANHATTAN","10013","40.7180212","-74.000386","1","1","31","1002360","1001970024","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002030025","74 BOWERY","MANHATTAN","10013",,"NO",,,"RETAIL","74","BOWERY",,"MANHATTAN","10013","40.7168162","-73.9961618","2","1","41","1002612","1002030025","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002180008","434 GREENWICH STREET","MANHATTAN","10013",,"NO",,,"OTHER","434","GREENWICH STREET",,"MANHATTAN","10013","40.7226512","-74.0099428","1","1","39","1082621","1002180008","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002360021","149 Mulberry St","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","149","MULBERRY STREET",,"MANHATTAN","10013","40.7190861","-73.9976948","2","1","41","1003077","1002360021","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1002760032","114 MADISON STREET","MANHATTAN","10002",,"NO",,,"RETAIL","114","MADISON STREET",,"MANHATTAN","10002","40.7120457","-73.9948851","3","1","8","1003310","1002760032","MN27","Chinatown"
"2020 and 2021","1002820031","91 EAST BROADWAY","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","91","EAST BROADWAY",,"MANHATTAN","10002","40.7134016","-73.9936081","3","1","8","1003541","1002820031","MN27","Chinatown"
"2020 and 2021","1002921004","1 ELDRIDGE STREET","MANHATTAN","10002",,"NO",,,"OTHER","1","ELDRIDGE STREET","STORC","MANHATTAN","10002","0","0","3","1","16","1003775","1002921004","MN27","Chinatown"
"2020 and 2021","1003040016","237 GRAND STREET","MANHATTAN","10002",,"NO",,,"OTHER","237","GRAND STREET",,"MANHATTAN","10002","40.7182159","-73.9946177","3","1","16","1003931","1003040016","MN27","Chinatown"
"2020 and 2021","1003100023","45 ESSEX STREET","MANHATTAN","10002",,"NO",,,"RETAIL","45","ESSEX STREET",,"MANHATTAN","10002","40.7164315","-73.9896181","3","1","16","1004037","1003100023","MN27","Chinatown"
"2020 and 2021","1000168002","2 SOUTH END AVE","MANHATTAN","10280",,"NO",,,"RETAIL","2","SOUTH END AVENUE","C1","MANHATTAN","10280","0","0","1","1","317","1082813","1000168002","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000250010","41 BROAD STREET","MANHATTAN","10004",,"NO",,,"EDUCATIONAL SERVICES","41","BROAD STREET",,"MANHATTAN","10004","40.7057516","-74.0110872","1","1","9","1000823","1000250010","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000290086","26 South William Street","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","14","SOUTH WILLIAM STREET",,"MANHATTAN","10004","40.7046894","-74.0107985","1","1","9","1000851","1000290086","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000441411","18 PINE STREET","MANHATTAN","10005",,"NO",,,"RETAIL","18","PINE STREET","RETL3","MANHATTAN","10005","0","0","1","1","7","1001022","1000441411","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000650017","176 Broadway","MANHATTAN","10038",,"NO",,,"RETAIL","176","BROADWAY",,"MANHATTAN","10038","40.7098304","-74.0095044","1","1","15","1001100","1000650017","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000760007","27 CLIFF STREET","MANHATTAN","10038",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","27","CLIFF STREET",,"MANHATTAN","10038","40.708505","-74.0053671","1","1","15","1001178","1000760007","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000890001","99 NASSAU STREET","MANHATTAN","10038",,"NO",,,"RETAIL","99","NASSAU STREET",,"MANHATTAN","10038","40.710514","-74.0077226","1","1","15","1001242","1000890001","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1000970043","212 FRONT STREET","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","212","FRONT STREET",,"MANHATTAN","10038","40.7073742","-74.0027051","1","1","15","1001343","1000970043","MN25","Battery Park City-Lower Manhattan"
"2020 and 2021","1001321401","83 MURRAY STREET","MANHATTAN","10007",,"NO",,,"FOOD SERVICES","83","MURRAY STREET","COMM","MANHATTAN","10007","0","0","1","1","21","1077396","1001321401","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001410001","126 READE STREET","MANHATTAN","10013",,"NO",,,"RETAIL","126","READE STREET",,"MANHATTAN","10013","40.7164645","-74.0093899","1","1","39","1001511","1001410001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001461101","123 West Broadway","MANHATTAN","10013",,"NO",,,"RETAIL","150","DUANE STREET","COMM","MANHATTAN","10013","0","0","1","1","33","1001599","1001461101","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2020 and 2021","1001620018","34 MOTT STREET","MANHATTAN","10013",,"NO",,,"MISCELLANEOUS OTHER SERVICE","34","MOTT STREET",,"MANHATTAN","10013","40.7148537","-73.9986761","3","1","29","1083326","1001620018","MN27","Chinatown"
"2020 and 2021","1001640013","54 MULBERRY STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","54","MULBERRY STREET",,"MANHATTAN","10013","40.7153148","-73.9993254","3","1","29","1001810","1001640013","MN27","Chinatown"
"2020 and 2021","1001740037","349 Broadway","MANHATTAN","10013",,"NO",,,"PUBLISHING","349","BROADWAY",,"MANHATTAN","10013","40.7171318","-74.0043072","1","1","33","1001910","1001740037","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
