"pub_dt","pnsn_sys","fisc_yr","amt"
"20200116","City Actuarial Systems","2020","9733181"
"20200116","City Actuarial Systems","2021","9827428"
"20200116","City Actuarial Systems","2022","10304426"
"20200116","City Actuarial Systems","2023","10338237"
"20200116","City Actuarial Systems","2024","9988679"
"20200116","Non-City Systems","2020","98034"
"20200116","Non-City Systems","2021","111424"
"20200116","Non-City Systems","2022","117305"
"20200116","Non-City Systems","2023","119247"
"20200116","Non-City Systems","2024","122871"
"20200116","Non-Actuarial","2020","350"
"20200116","Non-Actuarial","2021","350"
"20200116","Non-Actuarial","2022","350"
"20200116","Non-Actuarial","2023","350"
"20200116","Non-Actuarial","2024","350"
"20200416","City Actuarial Systems","2020","9723181"
"20200416","City Actuarial Systems","2021","9818179"
"20200416","City Actuarial Systems","2022","10387763"
"20200416","City Actuarial Systems","2023","10317573"
"20200416","City Actuarial Systems","2024","9985608"
"20200416","Non-City Systems","2020","95034"
"20200416","Non-City Systems","2021","108424"
"20200416","Non-City Systems","2022","114305"
"20200416","Non-City Systems","2023","116247"
"20200416","Non-City Systems","2024","119871"
"20200416","Non-Actuarial","2020","350"
"20200416","Non-Actuarial","2021","350"
"20200416","Non-Actuarial","2022","350"
"20200416","Non-Actuarial","2023","350"
"20200416","Non-Actuarial","2024","350"
"20210426","City Actuarial Systems","2021","9393279"
"20210426","City Actuarial Systems","2022","10148141"
"20210426","City Actuarial Systems","2023","10351178"
"20210426","City Actuarial Systems","2024","10539859"
"20210426","City Actuarial Systems","2025","10473176"
"20210426","Non-City Systems","2021","108924"
"20210426","Non-City Systems","2022","114305"
"20210426","Non-City Systems","2023","116913"
"20210426","Non-City Systems","2024","119871"
"20210426","Non-City Systems","2025","123133"
"20210426","Non-Actuarial","2021","350"
"20210426","Non-Actuarial","2022","350"
"20210426","Non-Actuarial","2023","350"
"20210426","Non-Actuarial","2024","350"
"20210426","Non-Actuarial","2025","350"
"20210114","City Actuarial Systems","2021","9393279"
"20210114","City Actuarial Systems","2022","10148141"
"20210114","City Actuarial Systems","2023","10351178"
"20210114","City Actuarial Systems","2024","10539859"
"20210114","City Actuarial Systems","2025","10473176"
"20210114","Non-City Systems","2021","108924"
"20210114","Non-City Systems","2022","114305"
"20210114","Non-City Systems","2023","116913"
"20210114","Non-City Systems","2024","119871"
"20210114","Non-City Systems","2025","123133"
"20210114","Non-Actuarial","2021","350"
"20210114","Non-Actuarial","2022","350"
"20210114","Non-Actuarial","2023","350"
"20210114","Non-Actuarial","2024","350"
"20210114","Non-Actuarial","2025","350"
"20220216","City Actuarial Systems","2022","9817605"
"20220216","City Actuarial Systems","2023","9556343"
"20220216","City Actuarial Systems","2024","8939359"
"20220216","City Actuarial Systems","2025","8067676"
"20220216","City Actuarial Systems","2026","7453542"
"20220216","Non-City Systems","2022","114305"
"20220216","Non-City Systems","2023","108064"
"20220216","Non-City Systems","2024","108120"
"20220216","Non-City Systems","2025","108230"
"20220216","Non-City Systems","2026","106921"
"20220216","Non-Actuarial","2022","350"
"20220216","Non-Actuarial","2023","350"
"20220216","Non-Actuarial","2024","350"
"20220216","Non-Actuarial","2025","350"
"20220216","Non-Actuarial","2026","350"
"20220426","City Actuarial Systems","2022","9612319"
"20220426","City Actuarial Systems","2023","9556343"
"20220426","City Actuarial Systems","2024","8939359"
"20220426","City Actuarial Systems","2025","8067676"
"20220426","City Actuarial Systems","2026","7453542"
"20220426","Non-City Systems","2022","114305"
"20220426","Non-City Systems","2023","108064"
"20220426","Non-City Systems","2024","108120"
"20220426","Non-City Systems","2025","108230"
"20220426","Non-City Systems","2026","106921"
"20220426","Non-Actuarial","2022","350"
"20220426","Non-Actuarial","2023","350"
"20220426","Non-Actuarial","2024","350"
"20220426","Non-Actuarial","2025","350"
"20220426","Non-Actuarial","2026","350"
