"pops_number","borough_name","borocode","community_district","address_number","street_name","zip_code","building_address_with_zip","tax_block","tax_lot","building_name","building_location","year_completed","building_constructed","public_space_type","developer","building_architect","principal_public_space","size_required","hour_of_access_required","amenities_required","other_required","permitted_amenities","physically_disabled","latitude","longitude","xcoordinate","ycoordinate","council_district","census_tract","bin","bbl","nta","geocoded_column"
"K010001","Brooklyn","3","1","334","WALLABOUT STREET","11206","334 WALLABOUT STREET, Brooklyn, NY 11206","2265","14","Pfizer Sites Development",,,"Under Construction","Public Access Area","Harrison Realty, LLC",,,,,,,,,"40.700743","-73.949289","998311","194580","33","507","3335457","3022650014","Bedford","POINT (-73.949289 40.700743)"
"M020011","Manhattan","1","2","133","BLEECKER STREET","10012","133 BLEECKER STREET, New York, NY 10012","533","1","NYU Core",,,,"Public Access Area",,,,,,,,,,"40.728076","-73.997197","985027","204534","1","55.01","1077835","1005330001","West Village","POINT (-73.997197 40.728076)"
"M040014","Manhattan","1","4","500","WEST 30 STREET","10001","500 WEST 30 STREET, New York, NY 10001","701","7502","Hudson Yards Eastern Rail Yards Subarea A1",,,,"'Covered Pedestrian Space'; Public Access Area",,,,,,"Plaque/Sign",,,,"40.751985","-74.001704","983778","213245","3","99","1089862","1007017502","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.001704 40.751985)"
"M050008","Manhattan","1","5","9","WEST 57 STREET","10019","9 WEST 57 STREET, New York, NY 10019","1273","22","Solow","North side of West 57th Street between Fifth and Sixth Avenues","1972","Completed","Arcade; Plaza","Solow Building Co.","Skidmore, Owings & Merrill","Skidmore, Owings & Merrill","Arcade 10970.90 sf; Plaza 17596.90 sf","24 Hours","None",,,"Full/Partial","40.763886","-73.974991","991178","217582","4","112.01","1035071","1012730022","Midtown-Midtown South","POINT (-73.974991 40.763886)"
"M050046","Manhattan","1","5","299","PARK AVENUE","10171","299 PARK AVENUE, New York, NY 10171","1303","1","Westvaco","East side of Park Avenue between East 48th and 49th Streets","1967","Completed","Arcade; Plaza","Park Lane Holding Corporation","Emery Roth & Sons","Emery Roth & Sons","Arcade 578.30 sf; Plaza 15313.00 sf","24 Hours","None",,,"None","40.756014","-73.974138","991415","214714","4","92","1036223","1013030001","Turtle Bay-East Midtown","POINT (-73.974138 40.756014)"
"M050066","Manhattan","1","5","475","PARK AVENUE SOUTH","10016","475 PARK AVENUE SOUTH, New York, NY 10016","887","95",,"Southeast corner of East 32nd Street and Park Avenue South","1969","Completed","Arcade; Plaza","Cohen Brothers Realty Corp.","Shreve, Lamb & Harmon","Shreve, Lamb & Harmon","Arcade 1542.75 sf; Plaza 6424.50 sf","24 Hours","None",,,"Full/Partial","40.745402","-73.982089","989213","210847","2","72","1018471","1008870095","Murray Hill-Kips Bay","POINT (-73.982089 40.745402)"
"M060040","Manhattan","1","6","201","EAST 42 STREET","10017","201 EAST 42 STREET, New York, NY 10017","1316","1",,"Northeast corner of East 42nd Street and Third Avenue","1965","Completed","Plaza",,"Emery Roth & Sons","Ted Moudis Associates [2000 Sources: Emery Roth & Sons]","Plaza 1997.00 sf","24 Hours","Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street",,,"Full/Partial","40.751016","-73.973869","991490","212893","4","88","1037549","1013160001","Turtle Bay-East Midtown","POINT (-73.973869 40.751016)"
"M060056","Manhattan","1","6","909","THIRD AVENUE","10022","909 THIRD AVENUE, New York, NY 10022","1328","1",,"East Side of Third Avenue between East 54th and 55th Streets","1967","Completed","Arcade; Plaza","Tishman Realty & Construction Co., Inc.","Emery Roth & Sons","Emery Roth & Sons","Arcade 7020.15 sf; Plaza 4622.08 sf","24 Hours","None",,,"Full/Partial","40.758299","-73.967903","993142","215547","4","108","1038570","1013280001","Turtle Bay-East Midtown","POINT (-73.967903 40.758299)"
"M010058","Manhattan","1","1","375","PEARL STREET","10038","375 PEARL STREET, New York, NY 10038","113","7501","Verizon Building","Pearl Street bounded by Avenue of the Finest and Madison Street","1971","Completed","Arcade; Plaza","Intergate Manhattan, LLC","Rose, Beaton & Rose Architects & Engineers","; Starr Whitehouse Landscape Architects & Planners PLLC (Design Change and Arcade Reduction 11/06/2017)","Arcade 0.00 sf; Plaza 19500.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles; None; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space","Light Sculpture",,"Unknown","40.710907","-74.001176","983924","198279","1","29","1001389","1001137501","Chinatown","POINT (-74.001176 40.710907)"
"M080089","Manhattan","1","8","235","EAST 95 STREET","10128","235 EAST 95 STREET, New York, NY 10128","1541","21","Normandie Court","North side of East 95th Street between First and Second Avenues","1986","Completed","Residential Plaza","Milstein Properties","Abraham D. Levitt Associates/The Vilkas Group","Abraham D. Levitt Associates/The Vilkas Group; Thomas Balsley Associates","Residential Plaza 19863.00 sf","24 Hours","Bicycle Parking; Drinking Fountain; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space",,,"Full/Partial","40.78426","-73.948251","998581","225008","5","156.01","1083228","1015410021","Yorkville","POINT (-73.948251 40.78426)"
