"_10_digit_bbl","borocode","block","lot","number_of_buildings","tax_class","street_number","street_address","borough","postcode","dof_square_footage","latitude","longitude","community_board","council_district","census_tract","bin","nta"
"1000010010","1","1","10","1","4","1","GOVERNORS ISLAND","MANHATTAN","10004","2725731","40.690096","-74.012866","101","1","5","1086389","park-cemetery-etc-Manhattan"
"1000020002","1","2","2","0","4",,"MARGINAL STREET","MANHATTAN","10004","105368",,,,,,,
"1000047501","1","4","7501","1","2","1","WATER STREET","MANHATTAN","10004","2621563","40.702444","-74.012742","101","1","9","1000005","Battery Park City-Lower Manhattan"
"1000057501","1","5","7501","1","2","125","BROAD STREET","MANHATTAN","10004","1354691","40.702112","-74.011249","101","1","9","1000006","Battery Park City-Lower Manhattan"
"1000087501","1","8","7501","1","2","39","WHITEHALL STREET","MANHATTAN","10004","169061","40.703037","-74.012969","101","1","9","1087700","Battery Park City-Lower Manhattan"
"1000090001","1","9","1","1","4","34","WHITEHALL STREET","MANHATTAN","10004","845018","40.703034","-74.012991","101","1","9","1000018","Battery Park City-Lower Manhattan"
"1000090014","1","9","14","1","4","17","STATE STREET","MANHATTAN","10004","544015","40.702798","-74.014246","101","1","9","1000020","Battery Park City-Lower Manhattan"
"1000090029","1","9","29","1","4","24","WHITEHALL STREET","MANHATTAN","10004","896956","40.703446","-74.013092","101","1","9","1000021","Battery Park City-Lower Manhattan"
"1000100014","1","10","14","1","4","33","WHITEHALL STREET","MANHATTAN","10004","365792","40.703312","-74.013038","101","1","9","1000023","Battery Park City-Lower Manhattan"
"1000100016","1","10","16","1","4","90","BROAD STREET","MANHATTAN","10004","336025","40.703954","-74.011592","101","1","9","1000025","Battery Park City-Lower Manhattan"
"1000100023","1","10","23","1","4","1","WHITEHALL STREET","MANHATTAN","10004","321994","40.703973","-74.013164","101","1","9","1000027","Battery Park City-Lower Manhattan"
"1000110001","1","11","1","1","4","2","BROADWAY","MANHATTAN","10004","1529480","40.704119","-74.013186","101","1","9","1000029","Battery Park City-Lower Manhattan"
"1000110014","1","11","14","1","2","26","BEAVER STREET","MANHATTAN","10004","51387","40.704959","-74.011902","101","1","9","1085816","Battery Park City-Lower Manhattan"
"1000110021","1","11","21","1","4","80","BROAD STREET","MANHATTAN","10004","361710","40.704322","-74.011581","101","1","9","1000038","Battery Park City-Lower Manhattan"
"1000130001","1","13","1","1","4","1","BROADWAY","MANHATTAN","10004","180646","40.704785","-74.014099","101","1","13","1000043","Battery Park City-Lower Manhattan"
"1000130005","1","13","5","1","4","11","BROADWAY","MANHATTAN","10004","434220","40.705354","-74.013731","101","1","13","1000044","Battery Park City-Lower Manhattan"
"1000150022","1","15","22","1","2","21","WEST STREET","MANHATTAN","10004","335746","40.706451","-74.016119","101","1","13","1000047","Battery Park City-Lower Manhattan"
"1000157501","1","15","7501","1","2","17","BATTERY PLACE","MANHATTAN","10004","1402830","40.704884","-74.015927","101","1","13","1082634","Battery Park City-Lower Manhattan"
"1000157502","1","15","7502","1","2","20","WEST STREET","MANHATTAN","10004","259076","40.706358","-74.016151","101","1","13","1087243","Battery Park City-Lower Manhattan"
"1000160015","1","16","15","1","2","50","BATTERY PLACE","MANHATTAN","10280","239165","40.706284","-74.017904","101","1","31704","1085938","Battery Park City-Lower Manhattan"
"1000160020","1","16","20","1","2","70","BATTERY PLACE","MANHATTAN","10280","230766","40.707047","-74.017439","101","1","31704","1085778","Battery Park City-Lower Manhattan"
"1000160100","1","16","100","6","2","345","SOUTH END AVENUE","MANHATTAN","10280","1881621","40.710733","-74.016131","101","1","31704","1083378","Battery Park City-Lower Manhattan"
"1000160120","1","16","120","1","4","200","LIBERTY STREET","MANHATTAN","10281","1501878","40.711425","-74.015442","101","1","31704","1000057","Battery Park City-Lower Manhattan"
