"filed","application","calendar","section","street_number","street_name","borough","borough_code","block","lots","zoning_district","cb","project_description","status","decisions_url","date","postcode","latitude","longitude","council_district","census_tract","bin","bbl","nta","location_1"
"1999-04-30T00:00:00.000","SOC","1016-86-BZ","Waiver/Amendment/Extension of","2162-2166","Broadway","Manhattan","1","1168","22","C4-6A","7","Waiver/Amendment/Extension of Term","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1016-86-BZ.pdf","1999-10-26T00:00:00.000","10024","40.781912","-73.980996","6","163","1030861","1011680022","Upper West Side","(40.781912, -73.980996)"
"2011-07-20T00:00:00.000","BZ","102-11-BZ","73-36","131-23","31st Avenue","Queens","4","4361","27","M1-1 (CP)","7","Special Permit (§73-36) to allow the operation of a physical culture establishment (New York Spa). M1-1 (CP) zoning district.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/102-11-BZ.pdf","2012-05-15T00:00:00.000","11354","40.769218","-73.838173","19","907","4442103","4043610027","College Point","(40.769218, -73.838173)"
"2001-12-17T00:00:00.000","SOC","1043-80-BZ","Extension of Term/Waiver","1680/88","Albany Avenue","Brooklyn","3","7744","47,49,50","R4","18","Extension of Term/Waiver of a previously approved variance which permitted paint storage and mixing facility in a R4 zoning district.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1043-80-BZ.pdf","2004-05-11T00:00:00.000",,,,,,,,,
"1999-05-11T00:00:00.000","Appeal","111-99-A","GCL 35","244-27","Stephanie Drive","Queens","4","12920","85","R2","13","Proposed one family dwelling located within the bed of a mapped street is contrary to Section 35 of the General City Law.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/111-99-A.pdf","1999-10-12T00:00:00.000","11422","40.677415","-73.726712","31","61602","4462960","4129200085","Rosedale","(40.677415, -73.726712)"
"2001-03-06T00:00:00.000","Appeal","113-01-A","GCL 36","23","Kinsey Place","Queens","4","1290","61","M1-1","1","Proposed construction of a one story building to be used for the storage of motor vehicles, not fronting on a legally mapped street, which is contrary to Section 36 Article 3 of the General City Law.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/113-01-A.pdf","2001-06-05T00:00:00.000",,,,,,,,,
"2012-04-23T00:00:00.000","BZ","113-12-BZ","72-21","32-05","Parsons Boulevard","Queens","4","4789","14","R2A","7","Variance (§72-21) to permit a proposed church (St. Paul’s Church), contrary to front wall height (§§24-521 & 24-51).  R2A zoning district.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/113-12-BZ.pdf","2013-07-16T00:00:00.000","11354","40.769088","-73.824389","20","1159","4540374","4047890014","Murray Hill","(40.769088, -73.824389)"
"1998-07-09T00:00:00.000","SOC","115-53-BZ","11-41","252-02/22","Union Turnpike","Queens","4","8565","1","C2-2 IN R3-2","13","Extension of Term/Amendment-To replace two pumps with four new pumps, to rearrange curb cuts and to install a canopy.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/115-53-BZ.pdf","1999-04-20T00:00:00.000",,,,,,,,,
"2012-04-25T00:00:00.000","Appeal","121-12-A","Administrative Appeal",,"BQE & 32nd Avenue","Queens","4","1137","22","R4, M1-1","1","Appeal challenging Department of Buildings’ determination that multiple signs located on railroadproperties are subject to the NYC Zoning Resolution.","Denied","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/121-12-A.pdf","2013-01-29T00:00:00.000",,,,,,,,,
"1998-07-06T00:00:00.000","SOC","122-95-BZ","Amendment","152-65","Rockaway Boulevard","Queens","4","12278","60","C2-2 (R3-2)","12","Reopening for an amendment to permit modifications of the prior variance.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/122-95-BZ.pdf","1999-01-12T00:00:00.000","11434","40.671117","-73.784189","28","294","4266198","4122780060","Springfield Gardens North","(40.671117, -73.784189)"
"2017-05-09T00:00:00.000","LSC","123-15-AII","LSC","35","Jade Court","Staten Island","5","7267","0092","R3-1 (SRD)","3","Request for a Letter of Substantial Compliance","Approved","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/123-15-AII.pdf","2017-06-09T00:00:00.000","10309","40.538708","-74.218441","51","226","5000000","5072670092","Charleston-Richmond Valley-Tottenville","(40.538708, -74.218441)"
