"staten_island_cooperatives_comparable_properties_boro_block_lot","staten_island_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","staten_island_cooperatives_comparable_properties_neighborhood","staten_island_cooperatives_comparable_properties_building_classification","staten_island_cooperatives_comparable_properties_total_units","staten_island_cooperatives_comparable_properties_year_built","staten_island_cooperatives_comparable_properties_gross_sqft","staten_island_cooperatives_comparable_properties_est_gross_income","staten_island_cooperatives_comparable_properties_gross_income_per_sqft","staten_island_cooperatives_comparable_properties_full_market_value","staten_island_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-03546-0001","45 VERA STREET Staten Island
, NY 
(40.584665519934, -74.097034168862)","5","10305","40.584631","-74.09704","2","50","11401","5109575","5035460001","Old Town-Dongan Hills-South Beach                                          ","GRANT CITY","C6-WALK-UP","118","1969","58350","492224","8.44","1270000","21.77","5-03168-0161","1000 TARGEE STREET Staten Island
, NY 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","889533","11.98","3070000","41.3","1.3",,,,,,,,,,,,
"5-00001-0250","44 BAY STREET LANDING Staten Island
, NY 
(40.639293167332, -74.073321337243)","5","10301","40.640154","-74.073264","1","49","3","5113337","5000010250","West New Brighton-New Brighton-St. George                                  ","NEW BRIGHTON-ST. GEORGE","D4-ELEVATOR","17","1985","25171","277409","11.02","862000","34.2","5-00014-0001","167 CARROLL PLACE Staten Island
, NY 
(40.646867703498, -74.081996907549)","NEW BRIGHTON","C1-WALK-UP","14","1920","13644","149760","10.98","465000","34.1","0.75","5-01015-0001","137 HEBERTON AVENUE Staten Island
, NY 
(40.636779419508, -74.131313349744)","PORT RICHMOND","C1-WALK-UP","28","1933","20800","273267","13.14","997000","47.9","3.1"
"5-02986-0012","390 MARYLAND AVENUE Staten Island
, NY 
(40.609357387837, -74.073612377733)","5","10305","40.609266","-74.073749","1","49","2001","5127028","5029860012","Stapleton-Rosebank                                                         ","ROSEBANK","C6-WALK-UP","178","1974","155396","1232445","7.93","3180000","20.46","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1833563","10.16","4290000","23.77","0.75",,,,,,,,,,,,
"5-00130-0049","245 FOREST AVENUE Staten Island
, NY 
(40.631829745729, -74.097799857022)","5","10301","40.631813","-74.097739","1","49","67","5003142","5001300049","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","13","1968","9810","145300","14.81","530000","54","5-00120-0105","457 VICTORY BOULEVARD Staten Island
, NY 
(40.631202422565, -74.088026655612)","SILVER LAKE","C1-WALK-UP","12","1931","10560","99656","9.44","284000","26.9","0.5","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","130532","12.94","476000","47.2","0.55"
"5-04640-0022","3745 AMBOY ROAD Staten Island
, NY 
(40.552114830397, -74.144121875072)","5","10308","40.552072","-74.144137","3","51","14606","5105444","5046400022","Great Kills                                                                ","GREAT KILLS","C6-WALK-UP","36","1974","26490","450197","16.99","1780000","67","5-05015-0016","7 BENTON COURT Staten Island
, NY 
(40.558379717025, -74.136561398842)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","43","1971","25420","482143","18.97","1910000","75","0.6","5-05016-0005","25 BAY TERRACE Staten Island
, NY 
(40.606674000105, -74.162401000006)","GREAT KILLS-BAY TERRACE","C9-WALK-UP","65","1976","43018","711872","16.55","2820000","66","0.5"
"5-00327-0015","1000 CLOVE ROAD Staten Island
, NY 
(40.620624597504, -74.110049231229)","5","10301","40.620623","-74.109884","1","49","147","5008970","5003270015","Westerleigh                                                                ","CLOVE LAKES","D4-ELEVATOR","143","1966","127800","1354513","10.6","4210000","32.9","5-02877-0025","55 BOWEN STREET Staten Island
, NY 
(40.614664489609, -74.083054238405)","CONCORD-FOX HILLS","D1-ELEVATOR","156","1973","154860","2291762","14.8","5370000","34.7","1.4",,,,,,,,,,,,
"5-00101-0554","581 CASTLETON AVENUE Staten Island
, NY 
(40.634582571932, -74.101936218382)","5","10301","40.634538","-74.101779","1","49","67","5002336","5001010554","New Brighton-Silver Lake                                                   ","WEST NEW BRIGHTON","C6-WALK-UP","12","1950","10856","86099","7.93","222000","20.45","5-00120-0105","457 VICTORY BOULEVARD Staten Island
, NY 
(40.631202422565, -74.088026655612)","SILVER LAKE","C1-WALK-UP","12","1931","10560","99656","9.44","284000","26.9","0.65","5-00140-0051","330 BARD AVENUE Staten Island
, NY 
(40.636153116782, -74.106852177363)","WEST NEW BRIGHTON","C9-WALK-UP","13","1942","10086","130532","12.94","476000","47.2","0.35"
"5-02925-0432","361 SKYLINE DRIVE Staten Island
, NY 
(40.612546177166, -74.080053831898)","5","10304","40.612556","-74.08011","1","49","40","5131611","5029250432","Grymes Hill-Clifton-Fox Hills                                              ","CONCORD-FOX HILLS","C6-WALK-UP","11","1999","21780","229493","10.54","713000","32.7","5-03591-0008","261 LINCOLN AVENUE Staten Island
, NY 
(40.576986694649, -74.104670051676)","GRANT CITY","C9-WALK-UP","16","1933","12300","347890","28.3","1670000","136","2.75",,,,,,,,,,,,
"5-02833-0031","20 CLIFF STREET Staten Island
, NY 
(40.611177650284, -74.060606659565)","5","10305","40.611256","-74.060504","1","49","6","5122638","5028330031","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","D4-ELEVATOR","122","1964","146640","1388051","9.47","3960000","27","5-03157-0001","1950 CLOVE ROAD Staten Island
, NY 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1833563","10.16","4290000","23.77","1.55",,,,,,,,,,,,
"5-00597-0120","556 HOWARD AVENUE Staten Island
, NY 
(40.61860692966, -74.09378346523)","5","10301","40.618875","-74.093701","1","49","39","5154648","5005970120","Grymes Hill-Clifton-Fox Hills                                              ","GRYMES HILL","C6-WALK-UP","128","1951","121750","1088401","8.94","2810000","23.08","5-00590-0001","700 VICTORY BOULEVARD Staten Island
, NY 
(40.625670055825, -74.092243436945)","GRYMES HILL","D3-ELEVATOR","228","1962","242500","3225968","13.3","11800000","48.7","0.6",,,,,,,,,,,,
