"age_group","borough","_1950","_1950_boro_share_of_nyc_total","_1960","_1960_boro_share_of_nyc_total","_1970","_1970_boro_share_of_nyc_total","_1980","_1980_boro_share_of_nyc_total","_1990","_1990_boro_share_of_nyc_total","_2000","_2000_boro_share_of_nyc_total","_2010","_2010_boro_share_of_nyc_total","_2020","_2020_boro_share_of_nyc_total","_2030","_2030_boro_share_of_nyc_total","_2040","_2040_boro_share_of_nyc_total"
"Total Population","NYC Total","7891957","100.00","7781984","100.00","7894862","100.00","7071639","100.00","7322564","100.00","8008278","100.00","8242624","100.00","8550971","100.00","8821027","100.00","9025145","100.00"
"Total Population","   Bronx","1451277","18.39","1424815","18.31","1471701","18.64","1168972","16.53","1203789","16.44","1332650","16.64","1385108","16.80","1446788","16.92","1518998","17.22","1579245","17.50"
"Total Population","   Brooklyn","2738175","34.70","2627319","33.76","2602012","32.96","2230936","31.55","2300664","31.42","2465326","30.78","2552911","30.97","2648452","30.97","2754009","31.22","2840525","31.47"
"Total Population","   Manhattan","1960101","24.84","1698281","21.82","1539233","19.50","1428285","20.20","1487536","20.31","1537195","19.20","1585873","19.24","1638281","19.16","1676720","19.01","1691617","18.74"
"Total Population","   Queens","1550849","19.65","1809578","23.25","1986473","25.16","1891325","26.75","1951598","26.65","2229379","27.84","2250002","27.30","2330295","27.25","2373551","26.91","2412649","26.73"
"Total Population","   Staten Island","191555","2.43","221991","2.85","295443","3.74","352121","4.98","378977","5.18","443728","5.54","468730","5.69","487155","5.70","497749","5.64","501109","5.55"
