"uniqueid","inspectionid","inspectiondate","businessname","typeofbusiness","borough","location","question1","question2","_2_option1","_2_option2","_2_ticketnumber","_2_novcode","_2_novnumber","question3","_3_option1","_3_option2","_3_ticketnumber","_3_novcode","_3_novnumber","question4","_4_option1","_4_option2","_4_option3","_4_option4","_4_option5","_4_option6","_4_ticketnumber","_4_novcode","_4_novnumber","question5","_5_option1","_5_option2","_5_option3","_5_option4","_5_option5","_5_option6","_5_option7","_5_ticketnumber","_5_novcode","_5_novnumber","complaintnumber"
"5","140812","2021-08-18T12:05:22.000Z","Freddie & Peppers","Food Establishment","Manhattan","303 Amsterdam Avenue 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"4","140811","2021-08-18T10:59:45.000Z","Andy's Deli","Food Establishment","Manhattan","295 Amsterdam Avenue 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"3","140810","2021-08-18T10:20:55.000Z","Gina la Fornarina","Food Establishment","Manhattan","279 Amsterdam Avenue 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"41","140809","2021-08-18T09:24:45.000Z","Gigi Cafe","Food Establishment","Manhattan","2067 Broadway 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"40","140808","2021-08-17T13:50:57.000Z","Bellae Claire Cleaners","Other (Please specify)","Manhattan","2061 Broadway 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"2","140807","2021-08-17T13:23:24.000Z","Chateau Drug & Homecare","Pharmacy","Manhattan","181 Amsterdam Avenue 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"34","140806","2021-08-17T12:56:44.000Z","Sapphire Indian Cuisine","Food Establishment","Manhattan","1845 Broadway 10023","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"5849","140805","2021-08-06T16:14:21.000Z","DON POLLO","Food Establishment","Queens","41-06 Greenpoint Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"3785","140804","2021-08-06T15:54:38.000Z","MARABELLAS PIZZA","Food Establishment","Queens","41-07 Greenpoint Avenue 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"18114","140803","2021-08-06T15:36:50.000Z","HALAL KITCHEN","Other (Please specify)","Queens","42-02 Greenpoint Avenue 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"17992","140802","2021-08-06T15:35:53.000Z","HALAL KITCHEN","Other (Please specify)","Queens","42-02 Greenpoint Avenue 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"18113","140801","2021-08-06T13:31:17.000Z","MR. BURRITO LOCO","Other (Please specify)","Queens","4320 Greenpoint Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"No",,,"Yes",,,,"4-018113-08062021-486779056608","DF3","206240733","Yes",,,,,,,,,,,
"17994","140800","2021-08-06T13:27:30.000Z","MR. BURRITO LOLO","Other (Please specify)","Queens","43-20 Greenpoint Ave 11104","No","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"3776","140799","2021-08-06T12:00:53.000Z","Gran Variedad De Almuerzos","Food Establishment","Queens","44-20 Greenpoint Avenue 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"5844","140798","2021-08-06T11:50:14.000Z","AVE COFFEE HOUSE","Food Establishment","Queens","45-01 Greenpoint Ave 11104","No","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"18641","140797","2021-08-06T11:40:31.000Z","Sotto Lestella","Food Establishment","Queens","47-06 Greenpoint Ave 11104","No","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"6281","140796","2021-08-06T10:53:46.000Z","SABROSURA DOMINICANA RESTAURANT","Food Establishment","Queens","47-10 48th Ave 11377","No","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"6445","140795","2021-08-03T16:48:50.000Z","PECAS ""Y""  MA'S","Food Establishment","Queens","44-20 Greenpoint Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"3775","140794","2021-08-03T16:20:02.000Z","Pio Pio Riko","Food Establishment","Queens","45-23 Greenpoint Avenue 11104","Yes","Yes",,,,,,"Yes",,,,,,"No",,,"Yes",,,,"4-003775-08032021-588024313577","DF3","206240724","NULL",,,,,,,,,,,
"6925","140793","2021-08-03T16:12:17.000Z","RIKO","Food Establishment","Queens","45-23 Greenpoint Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"No","Yes",,"Yes",,,,"4-006925-08032021-584624830413","DF3","206240715","Yes",,,,,,,,,,,
"5842","140792","2021-08-03T14:18:50.000Z","LOS VERDES","Food Establishment","Queens","4626 Greenpoint Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"6299","140791","2021-08-03T14:05:25.000Z","Giovanni's Pizza & Mexican Restaurant","Food Establishment","Queens","45-59 47 Street 11377","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"6251","140790","2021-08-03T12:43:29.000Z","PARADOR CALENO","Food Establishment","Queens","45-7 47th Ave 11104","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"17990","140789","2021-08-03T12:22:31.000Z","BISTRO PUNTA SAL","Other (Please specify)","Queens","45-51 46th St 11377","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
"6858","140788","2021-08-03T12:09:57.000Z","THAI DIVA CUISINE","Food Establishment","Queens","45-53 46th St 11377","Yes","Yes",,,,,,"Yes",,,,,,"Yes",,,,,,,,,,"Yes",,,,,,,,,,,
