"borough","fiscal_year","shelter_type","count"
"Bronx","FY2021","Adult Family Comm Hotel","0"
"Brooklyn","FY2021","Adult Family Comm Hotel","0"
"Manhattan","FY2021","Adult Family Comm Hotel","0"
"Queens","FY2021","Adult Family Comm Hotel","2"
"Staten Island","FY2021","Adult Family Comm Hotel","0"
"Bronx","FY2021","Adult Family Shelter","8"
"Brooklyn","FY2021","Adult Family Shelter","5"
"Manhattan","FY2021","Adult Family Shelter","4"
"Queens","FY2021","Adult Family Shelter","3"
"Staten Island","FY2021","Adult Family Shelter","0"
"Bronx","FY2021","Adult Shelter","22"
"Brooklyn","FY2021","Adult Shelter","35"
"Manhattan","FY2021","Adult Shelter","40"
"Queens","FY2021","Adult Shelter","11"
"Staten Island","FY2021","Adult Shelter","0"
"Bronx","FY2021","Adult Shelter Comm Hotel","1"
"Brooklyn","FY2021","Adult Shelter Comm Hotel","13"
"Manhattan","FY2021","Adult Shelter Comm Hotel","4"
"Queens","FY2021","Adult Shelter Comm Hotel","16"
"Staten Island","FY2021","Adult Shelter Comm Hotel","0"
"Bronx","FY2021","FWC Cluster","40"
"Brooklyn","FY2021","FWC Cluster","6"
"Manhattan","FY2021","FWC Cluster","3"
"Queens","FY2021","FWC Cluster","0"
"Staten Island","FY2021","FWC Cluster","0"
"Bronx","FY2021","FWC Comm Hotel","3"
"Brooklyn","FY2021","FWC Comm Hotel","14"
"Manhattan","FY2021","FWC Comm Hotel","16"
"Queens","FY2021","FWC Comm Hotel","16"
"Staten Island","FY2021","FWC Comm Hotel","0"
"Bronx","FY2021","FWC Shelter","72"
"Brooklyn","FY2021","FWC Shelter","51"
"Manhattan","FY2021","FWC Shelter","31"
"Queens","FY2021","FWC Shelter","18"
"Staten Island","FY2021","FWC Shelter","1"
"Bronx","FY2020","Adult Family Comm Hotel","0"
"Brooklyn","FY2020","Adult Family Comm Hotel","0"
"Manhattan","FY2020","Adult Family Comm Hotel","0"
"Queens","FY2020","Adult Family Comm Hotel","2"
"Staten Island","FY2020","Adult Family Comm Hotel","0"
"Bronx","FY2020","Adult Family Shelter","9"
"Brooklyn","FY2020","Adult Family Shelter","4"
"Manhattan","FY2020","Adult Family Shelter","6"
"Queens","FY2020","Adult Family Shelter","3"
"Staten Island","FY2020","Adult Family Shelter","0"
"Bronx","FY2020","Adult Shelter","22"
"Brooklyn","FY2020","Adult Shelter","34"
"Manhattan","FY2020","Adult Shelter","38"
"Queens","FY2020","Adult Shelter","8"
"Staten Island","FY2020","Adult Shelter","0"
"Bronx","FY2020","Adult Shelter Comm Hotel","2"
"Brooklyn","FY2020","Adult Shelter Comm Hotel","11"
"Manhattan","FY2020","Adult Shelter Comm Hotel","2"
"Queens","FY2020","Adult Shelter Comm Hotel","16"
"Staten Island","FY2020","Adult Shelter Comm Hotel","0"
"Bronx","FY2020","FWC Cluster","49"
"Brooklyn","FY2020","FWC Cluster","6"
"Manhattan","FY2020","FWC Cluster","12"
"Queens","FY2020","FWC Cluster","0"
"Staten Island","FY2020","FWC Cluster","0"
"Bronx","FY2020","FWC Comm Hotel","3"
"Brooklyn","FY2020","FWC Comm Hotel","15"
"Manhattan","FY2020","FWC Comm Hotel","18"
"Queens","FY2020","FWC Comm Hotel","19"
"Staten Island","FY2020","FWC Comm Hotel","0"
"Bronx","FY2020","FWC Shelter","72"
"Brooklyn","FY2020","FWC Shelter","53"
"Manhattan","FY2020","FWC Shelter","31"
"Queens","FY2020","FWC Shelter","18"
"Staten Island","FY2020","FWC Shelter","1"
"Bronx","FY2019","Adult Family Comm Hotel","0"
"Brooklyn","FY2019","Adult Family Comm Hotel","0"
"Manhattan","FY2019","Adult Family Comm Hotel","0"
"Queens","FY2019","Adult Family Comm Hotel","2"
"Staten Island","FY2019","Adult Family Comm Hotel","0"
"Bronx","FY2019","Adult Family Shelter","8"
"Brooklyn","FY2019","Adult Family Shelter","5"
"Manhattan","FY2019","Adult Family Shelter","6"
"Queens","FY2019","Adult Family Shelter","3"
"Staten Island","FY2019","Adult Family Shelter","0"
"Bronx","FY2019","Adult Shelter","21"
"Brooklyn","FY2019","Adult Shelter","33"
"Manhattan","FY2019","Adult Shelter","37"
"Queens","FY2019","Adult Shelter","7"
"Staten Island","FY2019","Adult Shelter","0"
"Bronx","FY2019","Adult Shelter Comm Hotel","2"
"Brooklyn","FY2019","Adult Shelter Comm Hotel","9"
"Manhattan","FY2019","Adult Shelter Comm Hotel","2"
"Queens","FY2019","Adult Shelter Comm Hotel","15"
"Staten Island","FY2019","Adult Shelter Comm Hotel","0"
"Bronx","FY2019","FWC Cluster","61"
"Brooklyn","FY2019","FWC Cluster","12"
"Manhattan","FY2019","FWC Cluster","12"
"Queens","FY2019","FWC Cluster","0"
"Staten Island","FY2019","FWC Cluster","0"
"Bronx","FY2019","FWC Comm Hotel","3"
"Brooklyn","FY2019","FWC Comm Hotel","16"
"Manhattan","FY2019","FWC Comm Hotel","19"
"Queens","FY2019","FWC Comm Hotel","21"
"Staten Island","FY2019","FWC Comm Hotel","0"
"Bronx","FY2019","FWC Shelter","72"
"Brooklyn","FY2019","FWC Shelter","53"
"Manhattan","FY2019","FWC Shelter","31"
"Queens","FY2019","FWC Shelter","17"
"Staten Island","FY2019","FWC Shelter","1"
"Bronx","FY2018","Adult Family Comm Hotel",
"Brooklyn","FY2018","Adult Family Comm Hotel",
"Manhattan","FY2018","Adult Family Comm Hotel",
"Queens","FY2018","Adult Family Comm Hotel",
"Staten Island","FY2018","Adult Family Comm Hotel",
"Bronx","FY2018","Adult Family Shelter",
"Brooklyn","FY2018","Adult Family Shelter",
"Manhattan","FY2018","Adult Family Shelter",
"Queens","FY2018","Adult Family Shelter",
"Staten Island","FY2018","Adult Family Shelter",
"Bronx","FY2018","Adult Shelter",
"Brooklyn","FY2018","Adult Shelter",
"Manhattan","FY2018","Adult Shelter",
"Queens","FY2018","Adult Shelter",
"Staten Island","FY2018","Adult Shelter",
"Bronx","FY2018","Adult Shelter Comm Hotel",
"Brooklyn","FY2018","Adult Shelter Comm Hotel",
"Manhattan","FY2018","Adult Shelter Comm Hotel",
"Queens","FY2018","Adult Shelter Comm Hotel",
"Staten Island","FY2018","Adult Shelter Comm Hotel",
"Bronx","FY2018","FWC Cluster",
"Brooklyn","FY2018","FWC Cluster",
"Manhattan","FY2018","FWC Cluster",
"Queens","FY2018","FWC Cluster",
"Staten Island","FY2018","FWC Cluster",
"Bronx","FY2018","FWC Comm Hotel",
"Brooklyn","FY2018","FWC Comm Hotel",
"Manhattan","FY2018","FWC Comm Hotel",
"Queens","FY2018","FWC Comm Hotel",
"Staten Island","FY2018","FWC Comm Hotel",
"Bronx","FY2018","FWC Shelter",
"Brooklyn","FY2018","FWC Shelter",
"Manhattan","FY2018","FWC Shelter",
"Queens","FY2018","FWC Shelter",
"Staten Island","FY2018","FWC Shelter",
"Bronx","FY2017","Adult Family Comm Hotel",
"Brooklyn","FY2017","Adult Family Comm Hotel",
"Manhattan","FY2017","Adult Family Comm Hotel",
"Queens","FY2017","Adult Family Comm Hotel",
"Staten Island","FY2017","Adult Family Comm Hotel",
"Bronx","FY2017","Adult Family Shelter","9"
"Brooklyn","FY2017","Adult Family Shelter","5"
"Manhattan","FY2017","Adult Family Shelter","10"
"Queens","FY2017","Adult Family Shelter","2"
"Staten Island","FY2017","Adult Family Shelter","0"
"Bronx","FY2017","Adult Shelter","16"
"Brooklyn","FY2017","Adult Shelter","31"
"Manhattan","FY2017","Adult Shelter","38"
"Queens","FY2017","Adult Shelter","7"
"Staten Island","FY2017","Adult Shelter","0"
"Bronx","FY2017","Adult Shelter Comm Hotel","1"
"Brooklyn","FY2017","Adult Shelter Comm Hotel","4"
"Manhattan","FY2017","Adult Shelter Comm Hotel","0"
"Queens","FY2017","Adult Shelter Comm Hotel","11"
"Staten Island","FY2017","Adult Shelter Comm Hotel","0"
"Bronx","FY2017","FWC Cluster","215"
"Brooklyn","FY2017","FWC Cluster","48"
"Manhattan","FY2017","FWC Cluster","13"
"Queens","FY2017","FWC Cluster","0"
"Staten Island","FY2017","FWC Cluster","0"
"Bronx","FY2017","FWC Comm Hotel","5"
"Brooklyn","FY2017","FWC Comm Hotel","18"
"Manhattan","FY2017","FWC Comm Hotel","16"
"Queens","FY2017","FWC Comm Hotel","29"
"Staten Island","FY2017","FWC Comm Hotel","0"
"Bronx","FY2017","FWC Shelter","62"
"Brooklyn","FY2017","FWC Shelter","57"
"Manhattan","FY2017","FWC Shelter","32"
"Queens","FY2017","FWC Shelter","17"
"Staten Island","FY2017","FWC Shelter","1"
"Bronx","FY2022","Adult Family Comm Hotel","0"
"Brooklyn","FY2022","Adult Family Comm Hotel","0"
"Manhattan","FY2022","Adult Family Comm Hotel","0"
"Queens","FY2022","Adult Family Comm Hotel","2"
"Staten Island","FY2022","Adult Family Comm Hotel","0"
"Bronx","FY2022","Adult Family Shelter","5"
"Brooklyn","FY2022","Adult Family Shelter","4"
"Manhattan","FY2022","Adult Family Shelter","3"
"Queens","FY2022","Adult Family Shelter","3"
"Staten Island","FY2022","Adult Family Shelter","0"
"Bronx","FY2022","Adult Shelter","24"
"Brooklyn","FY2022","Adult Shelter","35"
"Manhattan","FY2022","Adult Shelter","35"
"Queens","FY2022","Adult Shelter","10"
"Staten Island","FY2022","Adult Shelter","0"
"Bronx","FY2022","Adult Shelter Comm Hotel","6"
"Brooklyn","FY2022","Adult Shelter Comm Hotel","33"
"Manhattan","FY2022","Adult Shelter Comm Hotel","33"
"Queens","FY2022","Adult Shelter Comm Hotel","29"
"Staten Island","FY2022","Adult Shelter Comm Hotel","0"
"Bronx","FY2022","FWC Cluster","21"
"Brooklyn","FY2022","FWC Cluster","0"
"Manhattan","FY2022","FWC Cluster","0"
"Queens","FY2022","FWC Cluster","0"
"Staten Island","FY2022","FWC Cluster","0"
"Bronx","FY2022","FWC Comm Hotel","0"
"Brooklyn","FY2022","FWC Comm Hotel","4"
"Manhattan","FY2022","FWC Comm Hotel","13"
"Queens","FY2022","FWC Comm Hotel","13"
"Staten Island","FY2022","FWC Comm Hotel","0"
"Bronx","FY2022","FWC Shelter","73"
"Brooklyn","FY2022","FWC Shelter","54"
"Manhattan","FY2022","FWC Shelter","30"
"Queens","FY2022","FWC Shelter","18"
"Staten Island","FY2022","FWC Shelter","1"
"Bronx","FY2023","Adult Family Comm Hotel","0"
"Brooklyn","FY2023","Adult Family Comm Hotel","0"
"Manhattan","FY2023","Adult Family Comm Hotel","0"
"Queens","FY2023","Adult Family Comm Hotel","1"
"Staten Island","FY2023","Adult Family Comm Hotel","0"
"Bronx","FY2023","Adult Family Shelter","3"
"Brooklyn","FY2023","Adult Family Shelter","4"
"Manhattan","FY2023","Adult Family Shelter","2"
"Queens","FY2023","Adult Family Shelter","3"
"Staten Island","FY2023","Adult Family Shelter","0"
"Bronx","FY2023","Adult Shelter","26"
"Brooklyn","FY2023","Adult Shelter","34"
"Manhattan","FY2023","Adult Shelter","39"
"Queens","FY2023","Adult Shelter","10"
"Staten Island","FY2023","Adult Shelter","0"
"Bronx","FY2023","Adult Shelter Comm Hotel","4"
"Brooklyn","FY2023","Adult Shelter Comm Hotel","22"
"Manhattan","FY2023","Adult Shelter Comm Hotel","10"
"Queens","FY2023","Adult Shelter Comm Hotel","19"
"Staten Island","FY2023","Adult Shelter Comm Hotel","0"
"Bronx","FY2023","FWC Cluster","0"
"Brooklyn","FY2023","FWC Cluster","0"
"Manhattan","FY2023","FWC Cluster","0"
"Queens","FY2023","FWC Cluster","0"
"Staten Island","FY2023","FWC Cluster","0"
"Bronx","FY2023","FWC Comm Hotel","0"
"Brooklyn","FY2023","FWC Comm Hotel","0"
"Manhattan","FY2023","FWC Comm Hotel","0"
"Queens","FY2023","FWC Comm Hotel","0"
"Staten Island","FY2023","FWC Comm Hotel","0"
"Bronx","FY2023","FWC Shelter","73"
"Brooklyn","FY2023","FWC Shelter","48"
"Manhattan","FY2023","FWC Shelter","26"
"Queens","FY2023","FWC Shelter","19"
"Staten Island","FY2023","FWC Shelter","1"
