"project_id","project_name","project_start_date","project_completion_date","building_id","house_number","street_name","borough","postcode","bbl","bin","community_board","council_district","census_tract","neighborhood_tabulation_area","latitude","longitude","latitude_internal","longitude_internal","building_completion_date","reporting_construction_type","extended_affordability_status","prevailing_wage_status","extremely_low_income_units","very_low_income_units","low_income_units","moderate_income_units","middle_income_units","other_income_units","studio_units","_1_br_units","_2_br_units","_3_br_units","_4_br_units","_5_br_units","_6_br_units","unknown_br_units","counted_rental_units","counted_homeownership_units","all_counted_units","total_units"
"65554","BRIDGE ROCKAWAY","2022-03-31T00:00:00.000",,"1003153","805","ROCKAWAY AVENUE","Brooklyn","11212","3036030010",,"BK-16","42","916","BK81","40.66012","-73.908285","40.66005","-73.907972",,"New Construction","No","Non Prevailing Wage","122","38","13","0","0","0","85","17","46","25","0","0","0","0","173","0","173","174"
"69099","VOA. 1746 ANDREWS AVENUE SOUTH","2022-03-31T00:00:00.000",,"1002488","1746","ANDREWS AVENUE SOUTH","Bronx","10453","2028780183",,"BX-05","14","21501","BX36","40.85037","-73.917222","40.85028","-73.916947",,"New Construction","No","Prevailing Wage","117","0","0","0","0","1","93","24","1","0","0","0","0","0","118","0","118","118"
"69567","ASLAND CAPITAL. 1940 TURNBULL AVE. PL SARA","2022-03-31T00:00:00.000",,"1003176","1940","TURNBULL AVENUE","Bronx","10473","2036720001",,"BX-09","18","16","BX09","40.822911","-73.857365","40.82262","-73.856777",,"New Construction","No","Prevailing Wage","153","0","0","0","0","1","122","31","1","0","0","0","0","0","154","0","154","154"
"72295","CONFIDENTIAL","2022-03-31T00:00:00.000","2022-03-31T00:00:00.000",,"----","----","Bronx",,,,"BX-08","11",,,,,,,"2022-03-31T00:00:00.000","New Construction","No","Non Prevailing Wage","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1"
"72179","CONFIDENTIAL","2022-03-25T00:00:00.000","2022-03-25T00:00:00.000",,"----","----","Brooklyn",,,,"BK-15","46",,,,,,,"2022-03-25T00:00:00.000","New Construction","No","Non Prevailing Wage","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1"
"72347","CONFIDENTIAL","2022-03-25T00:00:00.000","2022-03-25T00:00:00.000",,"----","----","Brooklyn",,,,"BK-12","40",,,,,,,"2022-03-25T00:00:00.000","New Construction","No","Non Prevailing Wage","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1"
"67442","505 WEST 134 STREET CLUSTER","2022-03-22T00:00:00.000",,"40677","505","WEST 134 STREET","Manhattan","10031","1019880027","1059763","MN-09","7","22301","MN06","40.81842","-73.953141","40.81864","-73.953119",,"Preservation","No","Non Prevailing Wage","0","11","0","8","0","0","0","0","14","5","0","0","0","0","0","19","19","19"
"67442","505 WEST 134 STREET CLUSTER","2022-03-22T00:00:00.000",,"40693","523","WEST 134 STREET","Manhattan","10031","1019880012","1059754","MN-09","7","22301","MN06","40.818868","-73.954214","40.81914","-73.954308",,"Preservation","No","Non Prevailing Wage","0","17","0","8","0","0","0","1","16","8","0","0","0","0","0","25","25","25"
"67442","505 WEST 134 STREET CLUSTER","2022-03-22T00:00:00.000",,"40696","527","WEST 134 STREET","Manhattan","10031","1019880008","1059752","MN-09","7","22301","MN06","40.818895","-73.954272","40.81927","-73.954611",,"Preservation","No","Non Prevailing Wage","0","17","0","8","0","0","0","1","16","8","0","0","0","0","0","25","25","25"
"72154","CONFIDENTIAL","2022-03-21T00:00:00.000","2022-03-21T00:00:00.000",,"----","----","Brooklyn",,,,"BK-14","40",,,,,,,"2022-03-21T00:00:00.000","New Construction","No","Non Prevailing Wage","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1"
"72165","CONFIDENTIAL","2022-03-17T00:00:00.000","2022-03-17T00:00:00.000",,"----","----","Brooklyn",,,,"BK-15","48",,,,,,,"2022-03-17T00:00:00.000","New Construction","No","Non Prevailing Wage","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1"
