"createddate","casenumber","seibelnumber","mayorsnumber","casechannel","casetopic","caseissue","caseaddressedto","clienttype","clientcompanyname","translationneeded","pressname","initialtranslation","acknowledgetranslation","nativelanguage","coordinator","closeouttranslation","acknowledgesent","locationtype","locationdetail","borough","buildingnumber","streetname","fromstreet","crossstreet","bridgename","bridgedirection","otherbridgename","highwayname","directionname","segmentorexit","ferrydirection","ferrydatetime","facilityname","latitude","longitude","maplocation","communitydistrict","policeprecinct","xcoordinate","ycoordinate","zipcode","category","externaltrackingnumber","status","resolutionreason","closeddate","businessname","businessid","resolutiondetails"
"2020-08-02T13:24:42.000","DOT-466558-G8S6",,,,"Bike Share","Complaint",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Manhattan","145","East 15 Street","IRVING PLACE","3 AVENUE",,,,,,,,,,"40.734426","-73.987714",,"06",,"987655","206848",,,,"Resolved","Information Provided","2020-09-10T16:16:04.000",,,
"2020-06-19T00:26:55.000","DOT-460783-C8G3",,,,"Speeding","Concern",,,,,,,,,,,,"Street or Sidewalk","Intersection","Queens",,"West 9th Rd","Cross Bay Blvd",,,,,,,,,,,"40.606445","-73.819523",,"14",,"1034363","160272",,,,"Resolved","Information Provided","2020-06-23T10:23:22.000",,,
"2014-05-20T14:23:16.000","DOT-229882-H3B1",,,,"Sidewalk Violations",,,,,,,,,,,,,"Street or Sidewalk","Exact Address","Manhattan","225","East 22 Street, Manhattan",,,,,,,,,,,,"40.504932","-74.24234",,,,,,,,,"Resolved","Responded via Phone Call’",,,,
"2014-07-22T14:51:31.000","DOT-235615-X4Z9",,,,"Traffic Camera/Red Light Issues","Comment",,,,,,,,,,,,"Street or Sidewalk","Intersection","Brooklyn",,"Neptune Ave.","Shell Road",,,,,,,,,,,,,,,,,,,,,"Resolved","Responded via Phone Call’",,,,
"2015-09-08T16:50:47.000","DOT-273807-N5N8",,,,"Sidewalk Violations",,,,,,,,,,,,,"Street or Sidewalk","Exact Address","Queens","140-47","69 Road","140 STREET","MAIN STREET",,,,,,,,,,"40.730426833","-73.8249371946",,"08",,"1032970","205499",,,,"Resolved","Responded via Phone Call’",,,,
"2020-05-05T10:37:03.000","DOT-457353-F6F3",,,,"Signs","Loading Zone",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Brooklyn","172","Classon Ave","PARK AVENUE","MYRTLE AVENUE",,,,,,,,,,"40.694816","-73.961284",,"02",,"994986","192419",,,,"Resolved","Approved","2020-06-25T12:03:32.000",,,
"2015-04-18T20:11:11.000","DOT-258749-K9Z3",,,,"Street or Sidewalk Condition",,,,,,,,,,,,,"Citywide Concern",,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved","Responded via Phone Call’",,,,
"2020-07-02T13:36:04.000","DOT-462807-T8R4",,,,"Parking","General Concern",,,,,,,,,,,,"Citywide Concern",,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved","Information Provided","2020-07-02T13:38:23.000",,,
"2020-06-18T16:23:47.000","DOT-460750-W9N5",,,,"Speeding","Concern",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Brooklyn","438","Bristol Street","RIVERDALE AVENUE","NEWPORT STREET",,,,,,,,,,"40.660248","-73.910264",,"16",,"1009147","179835",,,,"Resolved","Referred","2020-06-22T16:18:40.000",,,
"2021-12-14T08:46:04.000","DOT-528840-K9K4",,,,"Signs","Daylighting",,,,,,,,,,,,"Street or Sidewalk","Intersection","Brooklyn",,"Hoyt Street","Baltic Street",,,,,,,,,,,"40.683956","-73.989558",,"06",,"987146","188460",,,,"Resolved","Service Request Submitted","2021-12-22T12:04:44.000",,,
"2014-08-28T15:02:12.000","DOT-239069-Q5N2",,,,"Permits","Parking Permits for People with Disabilities",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Manhattan","2070","1 Avenue","EAST  107 STREET","EAST  108 STREET",,,,,,,,,,"40.7908630371","-73.9376983643",,"11",,"1001006","227247",,,,"Resolved","Responded via Phone Call’",,,,
"2020-06-10T11:23:05.000","DOT-459923-S5N1",,,,"Parking","Muni Meter",,,,,,,,,,,,"Street or Sidewalk","Multiple Block - Stretch","Brooklyn",,"Fort Hamilton Parkway","67 Street","68 Street",,,,,,,,,,"40.629647","-74.0107",,"10",,"981280","168674",,,,"Resolved","Repaired","2020-06-23T08:51:47.000",,,
"2020-03-30T14:33:45.000","DOT-455968-L0B3",,,,"Signals","Repair",,,,,,,,,,,,"Street or Sidewalk","Intersection","Bronx",,"East 174 Street","Townsend Avenue",,,,,,,,,,,"40.845062","-73.913087",,"04",,"1008297","247168",,,,"Active","Open - Review",,,,
"2020-06-21T17:43:57.000","DOT-461019-M9B6",,,,"Open Restaurants","Other comments or concerns",,,,,,,,,,,,"Citywide Concern",,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved","Information Provided","2020-06-26T12:54:03.000",,,
"2020-06-08T13:45:49.000","DOT-459718-G3Y8",,,,"Sidewalk Violations","Re-Inspection",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Brooklyn","154","Herkimer Street","NOSTRAND AVENUE","NEW YORK AVENUE",,,,,,,,,,"40.679553","-73.948224",,"03",,"998611","186860",,,,"Resolved","Information Provided","2020-06-30T15:20:39.000",,,
"2020-06-24T17:23:40.000","DOT-461506-N7T6",,,,"Street Conditions","Other",,,,,,,,,,,,"Citywide Concern",,,,,,,,,,,,,,,,,,,,,,,,,,"Resolved","Duplicate","2020-06-25T11:04:46.000",,,
"2020-09-01T13:34:48.000","DOT-471080-D6T0",,,,"Speed Hump","Study",,,,,,,,,,,,"Street or Sidewalk","Multiple Block - Stretch","Manhattan",,"West 214th St","Indian Road","Seaman Ave",,,,,,,,,,"40.871009","-73.919254",,"12",,"1006582","256620",,,,"Active","Assigned - Sent to Unit",,,,
"2020-08-03T16:44:42.000","DOT-466764-Y0C7",,,,"Pedestrian Walkway","General Concern",,,,,,,,,,,,"Bridge or Tunnel",,"Manhattan",,,,,"Broadway Bridge over Harlem River",,,,,,,,,"40.87374","-73.91116",,,,,,,,,"Resolved","Repaired","2020-09-10T10:32:29.000",,,
"2021-01-03T03:15:40.000","DOT-486318-Y3Q1",,,,"Street Conditions","Ponding",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Brooklyn","2233","79 Street","BAY PARKWAY","23 AVENUE",,,,,,,,,,"40.605386","-73.988861",,"11",,"987343","159835",,,,"Resolved","Information Provided","2021-01-11T14:09:53.000",,,
"2020-06-18T13:39:39.000","DOT-460717-W2M4",,,,"Cameras","Speed",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Bronx","1495","W Farms Road","JENNINGS STREET","EAST  172 STREET",,,,,,,,,,"40.83186","-73.885051",,"03",,"1016060","242367",,,,"Resolved","Information Provided","2020-07-01T12:17:40.000",,,
"2016-07-12T09:11:46.000","DOT-303991-W5J6",,,,"Safety Improvements",,,,,,,,,,,,,"Street or Sidewalk","Multiple Block - Stretch","Staten Island",,"genesee avenue","Sweetbrook Road","Ridgewood Avenue",,,,,,,,,,"40.5531928031","-74.1643387889",,,,,,,,,"Resolved","Responded via Phone Call’","2016-07-12T09:38:15.000",,,
"2021-08-02T01:23:18.000","DOT-512694-B4K3",,,,"Referral","DSNY",,,,,,,,,,,,"Highway",,"Bronx",,,,,,,,"Bruckner Expressway",,,,,,"40.82348575","-73.87997634",,,,,,,,,"Resolved","Referred","2021-08-03T09:20:48.000",,,
"2014-02-12T22:02:43.000","DOT-221670-Z6V6",,,,"Sidewalk Violations","Comment",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Bronx","4359","Gunther Avenue",,,,,,,,,,,,"40.897102356","-73.8512954712",,"12",,"1025459","266083",,,,"Resolved","Responded via Phone Call’",,,,
"2015-06-27T13:07:49.000","DOT-266269-S2J3",,,,"Sidewalk Violations",,,,,,,,,,,,,"Street or Sidewalk","Exact Address","Staten Island","24","Clyde Place",,,,,,,,,,,,"40.6391334534","-74.09034729",,,,,,,,,"Resolved","Responded via Phone Call’",,,,
"2015-08-11T12:13:03.000","DOT-270971-K8F5",,,,"Sidewalk Violations",,,,,,,,,,,,,"Street or Sidewalk","Exact Address","Brooklyn","57","Stockholm Street","EVERGREEN AVENUE","CENTRAL AVENUE",,,,,,,,,,,,,"04",,"1004832","193025",,,,"Resolved","Responded via Phone Call’",,,,
"2015-08-22T00:33:58.000","DOT-272196-Z8T4",,,,"Signs","No Parking",,,,,,,,,,,,"Street or Sidewalk","Exact Address","Manhattan","358","west 48 street",,,,,,,,,,,,,,,,,,,,,,"Resolved","Responded via Phone Call’",,,,
