"objectid","boroughcode","buildingnumber","streetname","pssite","plantingspaceonstreet","width","length","parkname","parkzone","crossstreet1","crossstreet2","communityboard","sanitationzone","zipcode","citycouncil","statesenate","stateassembly","congressional","physicalid","psstatus","geometry","globalid","createddate","updateddate","jurisdiction","overheadutilities","treeguard","latitude","longitude","census_tract","bin","bbl","nta","location"
"118422",,"81-37","MAIN STREET","Street",,"24.00000000","48.00000000",,,"GRAND CENTRAL PARKWAY SR NORTH","BEND","408",,"11435","24","14","24","6","0005067","Populated","POINT (1035099.5043752342 200293.75541685522)","E814CD37-9F53-4D79-AF86-3B454F9D29B9","2015-02-28T05:00:00.000","2022-01-12T19:57:00.000",,"0",,"40.716187","-73.816163","77905","4143582","4066350001","Kew Gardens Hills","
,  
(40.71629069421649, -73.81656874596392)"
"120022",,"199","BEACH 96 STREET","Street",,"0.00000000","0.00000000",,,"ROCKAWAY BEACH BOULEVARD","WOODROW COTTAGES","414",,"11693","32","10","23","5","0015917","Empty","POINT (1034716.2170835584 152495.97916685045)","D272D715-0A72-418E-8F55-3F59F6F98B5F","2015-03-02T05:00:00.000",,,"0",,"40.585093","-73.817925","94201","4518720","4161690045","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","
,  
(40.58509869196048, -73.81830902031565)"
"120823","Bronx","2188","LIGHT STREET","Street","SECOR AVENUE","0.00000000","0.00000000",,,"LIGHT STREET","CONNOR STREET","212",,"10466","12","36","83","16","0087363","Empty","POINT (1030579.8881252259 262707.9770835191)","21431016-EDB8-4A0B-B122-673125800C87","2015-03-03T05:00:00.000","2022-04-29T01:23:00.000",,"0",,"40.887881","-73.832755","484","2066406","2049460019","Eastchester-Edenwald-Baychester","
,  
(40.88762508279444, -73.8324418090213)"
"120825",,"629","RICHMOND ROAD","Street",,"0.00000000","0.00000000",,,"PIERCE STREET","LONGVIEW ROAD","501",,"10304","49","23","61","11","0050098","Empty","POINT (959606.28979189694 161978.02708351612)","C0AF253F-CDED-4717-B86F-58D2CDAC9F98","2015-03-03T05:00:00.000",,,"0",,"40.61135","-74.088554","47","5016099","5006260008","Grymes Hill-Clifton-Fox Hills","
,  
(40.61123438355216, -74.08875819580857)"
"121622","Staten Island","194","WOODVALE AVENUE","Street",,"10.00000000","0.00000000",,,"FINLAY AVENUE","EXCELSIOR AVENUE","503",,"10309","51","24","62","11","0052016","Populated","POINT (926131.42250022292 128642.16875018179)","96FB6C55-612F-466D-9449-85A3CD2178E1","2015-03-04T05:00:00.000","2016-10-12T15:13:11.000",,"0",,"40.519682","-74.209002","198","5154608","5067890053","Annadale-Huguenot-Prince's Bay-Eltingville","
,  
(40.51957785349195, -74.20903635239088)"
"121623","Queens","84-002","106 AVENUE","Street",,"0.00000000","0.00000000",,,"86 STREET","84 STREET","410",,"11417","32","15","23","8","0101640","Populated","POINT (1025057.1997918934 186407.43687517941)","C6526419-CD64-4D8D-9288-C7967124B9B4","2015-03-04T05:00:00.000",,,"0",,"40.678282","-73.852814","54","4190205","4091450001","Ozone Park","
,  
(40.67822805565253, -73.85287876894496)"
"121624","Manhattan","402","EAST 74 STREET","Street","E 74 ST","0.00000000","0.00000000",,,"YORK AVENUE","1 AVENUE","108",,"10021","5","28","76","12","0019465","Populated","POINT (996907.33437523246 219351.91166685522)","E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF","2015-03-04T05:00:00.000","2018-12-07T14:51:51.000",,"0",,"40.768958","-73.954674","124","1045886","1014680041","Lenox Hill-Roosevelt Island","
,  
(40.76873764800776, -73.95430481474362)"
"121625","Queens","85-002","91 AVENUE","Street",,"0.00000000","0.00000000",,,"86 STREET","85 STREET","409",,"11421","32","15","38","7","0029106","Populated","POINT (1023827.4731252342 189844.81104184687)","E334F82D-8311-4679-92CF-653F87E7D424","2015-03-04T05:00:00.000",,,"0",,"40.687782","-73.857265","8","4185976","4089790001","Woodhaven","
,  
(40.6876684357126, -73.85729207604317)"
"121627","Staten Island","211","WHEELER AVENUE","Street",,"0.00000000","0.00000000",,,"BEND","SOUTH GANNON AVENUE","502",,"10314","49","24","63","11","0075402","Empty","POINT (947911.04625022411 160296.88916684687)","CAEE2FF2-EE07-40CC-847E-A554DA5C0D2E","2015-03-04T05:00:00.000","2017-09-11T08:50:47.000",,"0",,"40.606745","-74.130803","18702","5019598","5007650015","New Springville-Bloomfield-Travis","
,  
(40.60657976526556, -74.13087135501982)"
"121628","Brooklyn","230","KINGSTON AVENUE","Street",,"0.00000000","0.00000000",,,"ST JOHNS PLACE","STERLING PLACE","308",,"11213","35","25","43","9","0048953","Populated","POINT (1000324.4350002259 184037.30229185522)","8B439710-A036-411D-810D-EFDCE9ADDF5B","2015-03-04T05:00:00.000","2015-03-04T05:00:00.000",,"0",,"40.671821","-73.941982","339","3032045","3012500025","Crown Heights North","
,  
(40.67180203511425, -73.94205282678769)"
"122022","Manhattan","808","COLUMBUS AV","Street",,"0.00000000","0.00000000",,,"W 100 ST","MANHATTAN AVENUE","107",,"10025","7","30","69","10","0069450","Retired","POINT (993671.1952085644 228978.47437518835)","ED1D6BF0-C0E7-49BB-9A1A-85CBF8558ACD","2015-03-04T05:00:00.000","2020-01-08T16:27:00.000",,"0",,"40.794568","-73.96629","185","1088432","1018527501","Upper West Side","
,  
(40.79516404736525, -73.96597434089155)"
"122024","Staten Island","207","WHEELER AVENUE","Street",,"0.00000000","0.00000000",,,"BEND","SOUTH GANNON AVENUE","502",,"10314","49","24","63","11","0075402","Empty","POINT (947908.6591669023 160350.49145852029)","6AC474F7-0D16-43EC-A1F9-8C9B6C14F434","2015-03-04T05:00:00.000","2017-09-11T08:51:16.000",,"0",,"40.606838","-74.130814","18702","5019599","5007650018","New Springville-Bloomfield-Travis","
,  
(40.60672688264482, -74.13088024029413)"
"122424","Manhattan","525","WEST 111 STREET","Street","W 111 ST","0.00000000","0.00000000",,,"BROADWAY","AMSTERDAM AVENUE","109",,"10025","7","30","69","10","0117511","Empty","POINT (994010.29666689038 232299.51208351552)","8E628B41-0A1D-4948-AAE3-F0B3A2A8AFE8","2015-03-04T05:00:00.000","2016-12-28T12:20:14.000",,"0",,"40.804212","-73.964739","199","1056976","1018830014","Morningside Heights","
,  
(40.804279020669554, -73.96474481232734)"
"122425","Manhattan","416","3 AVENUE","Street",,"0.00000000","0.00000000",,,"EAST  30 STREET","EAST  29 STREET","106",,"10016","2","28","75","12","0003722","Empty","POINT (989715.00208356977 209961.88145852089)","95F4FC38-D56B-4EF3-845D-C84B3CE54961","2015-03-04T05:00:00.000","2016-10-24T02:50:42.000",,"0",,"40.742684","-73.980354","72","1018263","1008850042","Murray Hill-Kips Bay","
,  
(40.74297177917933, -73.9802780199124)"
"122426","Manhattan","253","SHERMAN AVENUE","Street","SHERMAN AV","0.00000000","0.00000000",,,"ISHAM STREET","WEST  207 STREET","112",,"10034","10","31","72","13","0025066","Populated","POINT (1006683.8025002331 254831.38958351314)","6D5A04A7-CF2F-48B1-92DA-77D6E0C68907","2015-03-04T05:00:00.000","2022-05-17T18:09:42.000",,"0",,"40.866104","-73.919144","293","1064787","1022230012","Marble Hill-Inwood","
,  
(40.8660993963067, -73.91889147588782)"
