"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-00798-7506","1869-R1","133 WEST 22 STREET","1","10011","40.742694","-73.99436","4","3","91","1087723","1007987506","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","99","2008","112888","4266038","37.79","856820","7.59","3409218","25807998","228.62","1-00819-0059","30 WEST 18 STREET","FLATIRON","D7-ELEVATOR","100","2005","98690","3824599","38.75","1010469","10.24","2814130","21289000","215.72","0.29","1-00775-0046","220 WEST 26 STREET","CHELSEA","D6-ELEVATOR","129","2000","136477","5157621","37.79","1035252","7.59","4122369","31206000","228.65","0.22","1-00796-0048","120 WEST 21 STREET","CHELSEA","D8-ELEVATOR","213","2000","174,621","5,099,743","29.2","1,242,281","7.11","3,857,462","22,220,000","127.25","0.09"
"1-00799-7501","1770-R1","124 WEST 24 STREET","1","10011","40.743946","-73.993237","4","3","91","1014961","1007997501","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","20","1920","23621","1121289","47.47","292900","12.4","828389","6223001","263.45","1-00902-0049","220 EAST 22 STREET","GRAMERCY","D9-ELEVATOR","123","1930","77275","4258943","55.11","1022560","13.23","3236383","24143000","312.43","0.73","1-00469-0030","223 2 AVENUE","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.87",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00800-7501","0970-R1","245 7 AVENUE","1","10001","40.744802","-73.995114","4","3","91","1085464","1008007501","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","33","1911","75929","3472233","45.73","981003","12.92","2491230","18736999","246.77","1-00771-0001","216 8 AVENUE","CHELSEA","D7-ELEVATOR","39","1910","32325","1495900","46.28","374047","11.57","1121853","8434000","260.91","0.23","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9-ELEVATOR","95","1911","64049","2928925","45.73","827202","12.92","2101723","15807000","246.8","0.42","1-00775-0009","245 WEST 25 STREET","CHELSEA","D1-ELEVATOR","68","1938","36,500","1,298,417","35.57","433,392","11.87","865,025","6,393,000","175.15","0.18"
"1-00800-7502","1221-R1","108 WEST 25 STREET","1","10001","40.744429","-73.992461","4","3","91","1014985","1008007502","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","10","1913","27100","1254188","46.28","313547","11.57","940641","6639000","244.98","1-00794-0062","140 WEST 19 STREET","CHELSEA","D7-ELEVATOR","26","1920","18714","885244","47.3","179621","9.6","705623","5301000","283.26","0.28","1-00771-0001","216 8 AVENUE","CHELSEA","D7-ELEVATOR","39","1910","32325","1495900","46.28","374047","11.57","1121853","8434000","260.91","0.23","1-00827-0063","28 WEST 26 STREET","FLATIRON","D9-ELEVATOR","32","1925","14,217","442,971","31.16","105,323","7.41","337,648","2,521,000","177.32","0.16"
"1-00800-7504","1851-R1","101 WEST 24 STREET","1","10011","40.743756","-73.992739","4","3","91","1087767","1008007504","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","203","2006","334205","15674215","46.9","4391454","13.14","11282761","84787998","253.7","1-00885-0042","155 EAST 29 STREET","MURRAY HILL","D6-ELEVATOR","284","1981","251848","12294262","48.82","3347976","13.29","8946286","67089000","266.39","0.66","1-00695-0015","527 WEST 23 STREET","CHELSEA","D6-ELEVATOR","325","2001","300000","13490638","44.97","3895061","12.98","9595577","72212000","240.71","0.68",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00801-7502","1195-R1","150 WEST 26 STREET","1","10001","40.745403","-73.992865","4","3","91","1015027","1008017502","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","R4-CONDOMINIUM","25","1922","48276","1922833","39.83","558553","11.57","1364280","10313002","213.63","1-00902-0049","220 EAST 22 STREET","GRAMERCY","D9-ELEVATOR","123","1930","77275","4258943","55.11","1022560","13.23","3236383","24143000","312.43","0.75","1-00469-0030","223 2 AVENUE","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.93","1-00927-0038","320 EAST 22 STREET","KIPS BAY","D9-ELEVATOR","94","1948","67,048","2,481,933","37.02","421,819","6.29","2,060,114","15,162,000","226.14","0.89"
"1-00802-7501","0848-R1","144 WEST 27 STREET","1","10001","40.745971","-73.992295","5","3","95","1015053","1008027501","Midtown-Midtown South                                                      ","CHELSEA","R4-CONDOMINIUM","24","1911","70181","3121651","44.48","1158688","16.51","1962963","14777002","210.56","1-00850-0064","12 EAST 22 STREET","FLATIRON","D5-ELEVATOR","87","1911","78646","3548932","45.13","962364","12.24","2586568","19463000","247.48","0.46","1-00858-0014","80 MADISON AVENUE","MURRAY HILL","D6-ELEVATOR","61","1923","60110","2673759","44.48","992660","16.51","1681099","12655000","210.53","0.34","1-00773-0027","225 WEST 23 STREET","CHELSEA","D7-ELEVATOR","138","1930","66,524","1,845,723","27.75","689,397","10.36","1,156,326","8,330,000","125.22","0.22"
"1-00802-7502","1126-R1","291 7 AVENUE","1","10001","40.746309","-73.994027","5","3","95","1015032","1008027502","Midtown-Midtown South                                                      ","CHELSEA","R4-CONDOMINIUM","8","1905","28339","1128742","39.83","327882","11.57","800860","5672000","200.15","1-00902-0049","220 EAST 22 STREET","GRAMERCY","D9-ELEVATOR","123","1930","77275","4258943","55.11","1022560","13.23","3236383","24143000","312.43","0.77","1-00469-0030","223 2 AVENUE","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.96","1-00927-0038","320 EAST 22 STREET","KIPS BAY","D9-ELEVATOR","94","1948","67,048","2,481,933","37.02","421,819","6.29","2,060,114","15,162,000","226.14","0.9"
"1-00803-7501","0766-R1","315 7 AVENUE","1","10001","40.747086","-73.993457","5","3","95","1015096","1008037501","Midtown-Midtown South                                                      ","CHELSEA","R4-CONDOMINIUM","93","1926","94649","4364265","46.11","1160397","12.26","3203868","24090997","254.53","1-00753-0056","324 WEST 30 STREET","CHELSEA","D5-ELEVATOR","224","1928","147888","7748139","52.39","1863168","12.6","5884971","17380000","117.52","0.35","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6-ELEVATOR","77","1927","99750","4599769","46.11","1223201","12.26","3376568","25390000","254.54","0.49","1-00858-0014","80 MADISON AVENUE","MURRAY HILL","D6-ELEVATOR","61","1923","60,110","2,673,759","44.48","992,660","16.51","1,681,099","12,655,000","210.53","0.33"
"1-00803-7503","1527-R1","145 WEST 27 STREET","1","10001","40.746021","-73.992367","5","3","95","1015064","1008037503","Midtown-Midtown South                                                      ","CHELSEA","R4-CONDOMINIUM","10","1902","16720","714278","42.72","162017","9.69","552261","3898001","233.13","1-00798-0066","142 WEST 23 STREET","CHELSEA","D9-ELEVATOR","70","1989","48680","2220338","45.61","379804","7.8","1840534","13844000","284.39","0.25","1-00469-0030","223 2 AVENUE","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.99",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00804-7502","1198-R1","111 WEST 28 STREET","1","10001","40.746311","-73.99114","5","3","95","1015112","1008047502","Midtown-Midtown South                                                      ","FASHION","R4-CONDOMINIUM","10","1920","14295","495322","34.65","173541","12.14","321781","2386000","166.91","1-00886-0063","171 LEXINGTON AVENUE","MURRAY HILL","D9-ELEVATOR","41","2002","42000","439726","10.47","258759","6.16","180967","1124000","26.76","0.62","1-00927-0038","320 EAST 22 STREET","KIPS BAY","D9-ELEVATOR","94","1948","67048","2481933","37.02","421819","6.29","2060114","15162000","226.14","0.93","1-00935-0053","312 EAST 30 STREET","KIPS BAY","D9-ELEVATOR","67","1986","47,820","1,656,890","34.65","580,343","12.14","1,076,547","7,971,000","166.69","0.87"
"1-00805-7501","1349-R1","130 WEST 30 STREET","1","10001","40.747706","-73.99066","5","3","95","1015150","1008057501","Midtown-Midtown South                                                      ","FASHION","R4-CONDOMINIUM","45","1929","120453","5808244","48.22","1724887","14.32","4083357","30635000","254.33","1-00753-0056","324 WEST 30 STREET","CHELSEA","D5-ELEVATOR","224","1928","147888","7748139","52.39","1863168","12.6","5884971","17380000","117.52","0.34","1-00772-0056","208 WEST 23 STREET","CHELSEA","D6-ELEVATOR","266","1927","152342","6709922","44.05","1592385","10.45","5117537","38536000","252.96","0.38",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00807-7501","1641-R1","125 WEST 31 STREET","1","10001","40.74829","-73.990071","5","3","101","1087535","1008077501","Midtown-Midtown South                                                      ","FASHION","RR-CONDOMINIUM","365","2005","341960","15405298","45.05","3843630","11.24","11561668","86741000","253.66","1-00701-0062","534 WEST 30 STREET","CHELSEA","D8-ELEVATOR","369","2008","387468","17180331","44.34","4080038","10.53","13100293","98632000","254.56","0.68","1-00801-0034","103 WEST 25 STREET","CHELSEA","D6-ELEVATOR","228","2001","227896","10429500","45.76","2724420","11.95","7705080","57950000","254.28","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00807-7501","1641-R2","125 WEST 31 STREET","1","10001","40.74829","-73.990071","5","3","101","1087535","1008077501","Midtown-Midtown South                                                      ","FASHION","R9-CONDOMINIUM","93","2005","75799","3363960","44.38","760000","10.03","2603960","19624000","258.9","1-00602-0010","600 WASHINGTON STREET","GREENWICH VILLAGE-WEST","D6-ELEVATOR","137","2003","109060","5925984","54.34","1642405","15.06","4283579","31972000","293.16","1.57","1-00829-0001","796 AVENUE OF THE AMERICA","FLATIRON","D7-ELEVATOR","273","2003","293978","12367980","42.07","2988510","10.17","9379470","70783000","240.78","0.24",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00807-7502","2199-R1","885 AVENUE OF THE AMERICA","1","10001","40.748189","-73.988963","5","3","101","1088533","1008077502","Midtown-Midtown South                                                      ","FASHION","RR-CONDOMINIUM","337","2008","345294","9744197","28.22","2686387","7.78","7057810","50963000","147.59","1-00832-0066","1226 BROADWAY","FASHION","D9-ELEVATOR","265","1969","133394","4268935","32","1887923","14.15","2381012","17750000","133.06","0.22","1-00775-0017","231 WEST 25 STREET","CHELSEA","D1-ELEVATOR","69","1961","50029","1411784","28.22","389006","7.78","1022778","7359000","147.09","0.34","1-00754-0031","313 WEST 30 STREET","FASHION","D1-ELEVATOR","47","1987","31,512","840,909","26.69","343,710","10.91","497,199","3,595,000","114.08","0.34"
"1-00814-7501","1559-R1","1031 6 AVENUE","1","10018","40.752654","-73.985707","5","4","113","1015272","1008147501","Midtown-Midtown South                                                      ","FASHION","R4-CONDOMINIUM","89","2004","97349","4123704","42.36","1120487","11.51","3003217","22658993","232.76","1-00862-0009","9 EAST 32 STREET","MURRAY HILL","D9-ELEVATOR","77","1930","39740","1827000","45.97","495256","12.46","1331744","10015000","252.01","0.41","1-00999-0054","150 WEST 47 STREET","MIDTOWN WEST","D6-ELEVATOR","105","1979","66182","2563756","38.74","681559","10.3","1882197","14239000","215.15","0.4",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00816-7501","0678-R1","22 WEST 15 STREET","1","10011","40.737084","-73.994075","5","3","54","1015294","1008167501","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","R4-CONDOMINIUM","133","1989","136255","5507427","40.42","1353012","9.93","4154415","31389999","230.38","1-00843-0003","75 5 AVENUE","FLATIRON","D6-ELEVATOR","74","1984","63255","2641970","41.77","557246","8.81","2084724","13200000","208.68","0.16","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9-ELEVATOR","95","1911","64049","2928925","45.73","827202","12.92","2101723","15807000","246.8","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00816-7503","1965-R1","50 WEST 15 STREET","1","10011","40.737361","-73.994732","5","3","54","1087941","1008167503","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","R4-CONDOMINIUM","47","2008","66363","2771983","41.77","584658","8.81","2187325","16511002","248.8","1-00843-0003","75 5 AVENUE","FLATIRON","D6-ELEVATOR","74","1984","63255","2641970","41.77","557246","8.81","2084724","13200000","208.68","0.16","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9-ELEVATOR","95","1911","64049","2928925","45.73","827202","12.92","2101723","15807000","246.8","0.1","1-00791-0078","91 7 AVENUE","CHELSEA","D9-ELEVATOR","69","1920","62,400","2,420,692","38.79","658,186","10.55","1,762,506","13,333,000","213.67","0.19"
"1-00817-7501","0359-R1","108 5 AVENUE","1","10011","40.737306","-73.992992","5","3","54","1015318","1008177501","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","R4-CONDOMINIUM","51","1986","64600","2503250","38.75","661504","10.24","1841746","13933001","215.68","1-00843-0003","75 5 AVENUE","FLATIRON","D6-ELEVATOR","74","1984","63255","2641970","41.77","557246","8.81","2084724","13200000","208.68","0.15","1-00819-0059","30 WEST 18 STREET","FLATIRON","D7-ELEVATOR","100","2005","98690","3824599","38.75","1010469","10.24","2814130","21289000","215.72","0.09","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7-ELEVATOR","14","2005","27,600","1,050,343","38.06","249,180","9.03","801,163","6,064,000","219.71","0.09"
"1-00819-7501","0109-R1","12 WEST 18 STREET","1","10011","40.738802","-73.992519","5","3","54","1015429","1008197501","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","R4-CONDOMINIUM","15","1910","28804","1284370","44.59","381941","13.26","902429","6793005","235.84","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7-ELEVATOR","14","2005","27600","1050343","38.06","249180","9.03","801163","6064000","219.71","0","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5-ELEVATOR","63","1907","41300","1841747","44.59","547499","13.26","1294248","9742000","235.88","0.05","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9-ELEVATOR","95","1911","64,049","2,928,925","45.73","827,202","12.92","2,101,723","15,807,000","246.8","0.05"
