"number","street","borough","block","lot","bin","saf_type","primary","x","y","geocode_status","construction_status","assignment_type","created_date","last_modified_date","postcode","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"529A","WEST 29 STREET","Manhattan","701","7501",,,"false","983502.0","213247.0","Successfully geocoded","Application","New/Permanent","2015-11-04T00:00:00.000","2015-11-04T00:00:00.000",,,,,,,,
"477Rear","HUDSON STREET","Manhattan","605","38","1083192",,"false","982429.0","205993.0","Successfully geocoded","Application","Verification","2016-03-30T00:00:00.000","2016-03-30T00:00:00.000",,,,,,,,
"238 1/2","EAST 83 STREET","Manhattan","1528","31","1048688",,"false","997007.761596679","222041.072021484","Successfully geocoded","Completed","Tentative","2015-02-27T00:00:00.000","2017-05-16T00:00:00.000",,,,,,,,
"188A","COLUMBUS AVENUE","Manhattan","1140","32",,,"false","989662.0","221684.0","Successfully geocoded","Application","New/Permanent","2017-09-14T00:00:00.000","2017-09-14T00:00:00.000",,,,,,,,
"110A","MADISON AVENUE","Manhattan","859","7503",,,"false","988414.0","210705.0","Successfully geocoded","Application","New/Permanent","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000",,,,,,,,
"544","WEST 39 STREET","Manhattan","710","58","1088668",,"true","984470.375793457","215611.999206542","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10018","40.758498","-73.998722","4","3","117","1007100058","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"44","MERCER STREET","Manhattan","474","7507","1088355",,"true","983951.782592773","202152.740600585","Successfully geocoded","Completed",,"2011-02-28T00:00:00.000","2017-05-16T00:00:00.000","10013","40.721565","-74.001169","2","1","47","1004747507","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"581","HUDSON STREET","Manhattan","634","60","1011919",,"true","982571.382629394","207558.622436523","Successfully geocoded","Completed",,"2010-12-16T00:00:00.000","2017-05-16T00:00:00.000","10014","40.736365","-74.005871","2","3","75","1006340060","West Village                                                               "
"450","WEST 33 STREET","Manhattan","729","9001",,,"true","984587.0","213816.0","Successfully geocoded","Application","New/Permanent","2010-12-20T00:00:00.000","2014-12-03T00:00:00.000","10001","40.753574","-73.998838","4","3","103","1007299001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"446","WEST 33 STREET","Manhattan","729","9001",,,"false","984748.0","213726.0","Successfully geocoded","Application","New/Permanent","2010-12-20T00:00:00.000","2014-12-03T00:00:00.000","10001","40.753552","-73.998784","4","3","103","1007299001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"508H","WEST 30 STREET","Manhattan","8224","111",,,"true","983782.0","213377.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000",,,,,,,,
"3","EAST 118 STREET","Manhattan","1745","7502",,,"false","999423.0","231416.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10035","40.801847","-73.945196","11","9","184","1017457502","East Harlem North                                                          "
"1740","YORK AVENUE","Manhattan","1587","27","1088690",,"true","1000096.54980468","223154.148986816","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10128","40.779169","-73.942781","8","5","152","1015870027","Yorkville                                                                  "
"135","PITT STREET","Manhattan","345","58","1088482",,"true","989371.388000488","201793.890197753","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10002","40.720284","-73.981533","3","2","2201","1003450058","Lower East Side                                                            "
"133","PITT STREET","Manhattan","345","58","1088482",,"false","989338.0","201774.0","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-09-11T00:00:00.000","10002","40.720227","-73.981562","3","2","2201","1003450058","Lower East Side                                                            "
"148","EAST 24 STREET","Manhattan","879","153","1088836",,"true","988727.458190917","208837.235595703","Successfully geocoded","Completed","New/Permanent","2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10010","40.739995","-73.983873","6","2","68","1008797503","Gramercy                                                                   "
"150","EAST 24 STREET","Manhattan","879","52","1088467",,"true","988749.725830078","208824.682800292","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10010","40.739978","-73.983833","6","2","68","1008790052","Gramercy                                                                   "
"440","WEST 42 STREET","Manhattan","1051","1",,,"false","985814.0","215854.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759146","-73.994355","4","3","115","1010517502","Clinton                                                                    "
"450","WEST 42 STREET","Manhattan","1051","1","1088437",,"true","985688.096618652","215864.890197753","Successfully geocoded","Completed",,"2010-12-20T00:00:00.000","2017-05-16T00:00:00.000","10036","40.759212","-73.99451","4","3","115","1010517502","Clinton                                                                    "
"456","WEST 42 STREET","Manhattan","1051","1",,,"false","985745.0","215892.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.75925","-73.994604","4","3","115","1010517502","Clinton                                                                    "
"460","WEST 42 STREET","Manhattan","1051","1",,,"true","985728.0","215901.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759275","-73.994665","4","3","115","1010517502","Clinton                                                                    "
"470","WEST 42 STREET","Manhattan","1051","1",,,"false","985686.0","215925.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759341","-73.994817","4","3","115","1010517502","Clinton                                                                    "
"472","WEST 42 STREET","Manhattan","1051","1",,," ","985677.0","215930.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759355","-73.994849","4","3","115","1010517502","Clinton                                                                    "
"474","WEST 42 STREET","Manhattan","1051","1",,,"false","985669.0","215934.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759366","-73.994878","4","3","115","1010517502","Clinton                                                                    "
"476","WEST 42 STREET","Manhattan","1051","1",,,"false","985660.0","215939.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759379","-73.99491","4","3","115","1010517502","Clinton                                                                    "
"478","WEST 42 STREET","Manhattan","1051","1",,,"false","985652.0","215944.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759393","-73.994939","4","3","115","1010517502","Clinton                                                                    "
"480","WEST 42 STREET","Manhattan","1051","1",,,"false","985643.0","215948.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759404","-73.994972","4","3","115","1010517502","Clinton                                                                    "
"482","WEST 42 STREET","Manhattan","1051","1",,,"false","985635.0","215953.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759418","-73.995001","4","3","115","1010517502","Clinton                                                                    "
"482","WEST 42 STREET","Manhattan","1051","1",,,"false","985635.0","215953.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.759418","-73.995001","4","3","115","1010517502","Clinton                                                                    "
"490","WEST 42 STREET","Manhattan","1051","1",,,"false","985601.0","215972.0","Successfully geocoded","Application",,"2010-12-20T00:00:00.000","2010-12-20T00:00:00.000","10036","40.75947","-73.995123","4","3","115","1010517502","Clinton                                                                    "
