"borough","calendar_year","passthrough_count"
"Bronx","2021","4340"
"Staten Island","2021","1053"
"Queens","2021","3630"
"Manhattan","2021","3022"
"Brooklyn","2021","3909"
"Brooklyn","2020","4484"
"Staten Island","2020","1188"
"Queens","2020","4262"
"Manhattan","2020","3540"
"Bronx","2020","4950"
"Brooklyn","2019","5688"
"Staten Island","2019","1467"
"Queens","2019","5353"
"Manhattan","2019","4804"
"Bronx","2019","6108"
"Brooklyn","2018","6215"
"Staten Island","2018","1509"
"Queens","2018","5742"
"Manhattan","2018","5052"
"Bronx","2018","6677"
"Queens","2017","6173"
"Brooklyn","2017","6642"
"Staten Island","2017","1496"
"Manhattan","2017","5656"
"Bronx","2017","7033"
"Queens","2016","6229"
"Manhattan","2016","5943"
"Staten Island","2016","1462"
"Brooklyn","2016","6721"
"Bronx","2016","6968"
"Queens","2015","6631"
"Staten Island","2015","1584"
"Brooklyn","2015","7263"
"Manhattan","2015","6302"
"Bronx","2015","7632"
"Manhattan","2014","6403"
"Staten Island","2014","1552"
"Brooklyn","2014","7187"
"Bronx","2014","7772"
"Queens","2014","6595"
"Brooklyn","2013","7106"
"Manhattan","2013","6523"
"Bronx","2013","7733"
"Queens","2013","6696"
"Staten Island","2013","1562"
"Queens","2012","6938"
"Manhattan","2012","6629"
"Bronx","2012","7472"
"Staten Island","2012","1588"
"Brooklyn","2012","7370"
"Staten Island","2011","1671"
"Manhattan","2011","6956"
"Brooklyn","2011","7759"
"Queens","2011","6973"
"Bronx","2011","7565"
"Manhattan","2010","6931"
"Bronx","2010","8554"
"Queens","2010","7441"
"Brooklyn","2010","8399"
"Staten Island","2010","1917"
"Manhattan","2009","6846"
"Queens","2009","8095"
"Staten Island","2009","1918"
"Bronx","2009","9285"
"Brooklyn","2009","8814"
"Queens","2008","8608"
"Manhattan","2008","7781"
"Staten Island","2008","1839"
"Brooklyn","2008","8921"
"Bronx","2008","9854"
"Queens","2007","9366"
"Manhattan","2007","8962"
"Brooklyn","2007","8854"
"Staten Island","2007","1754"
"Bronx","2007","10107"
"Staten Island","2006","1639"
"Manhattan","2006","10078"
"Bronx","2006","10764"
"Queens","2006","9935"
"Brooklyn","2006","9811"
