"_2017_organization","project_address","project_title","council_district","community_board_1","_2017_award","postcode","borough","latitude","longitude","community_board_2","bin","bbl","nta"
"Immigrant Social Services, Inc.","137 Henry Street, New York NY 10002","ISS Computer System","1","3","77000.00","10002","Manhattan","40.71333","-73.990827","6","1003564","1002830015","Lower East Side                                                            "
"3-Legged Dog, Inc.","80 Greenwich St, New York, NY 10006","Video/Lighting System - 3-Legged Dog","1","1","100000.00","10006","Manhattan","40.707514","-74.0138","13","1078977","1000180100","Battery Park City-Lower Manhattan                                          "
"Educational Alliance, Inc.","100 William Street, New York, NY 10038","IT Upgrade","1","1","100000.00","10038","Manhattan","40.708497","-74.007477","1502","1001116","1000680036","Battery Park City-Lower Manhattan                                          "
"Gina Gibney Dance","280 Broadway, New York, NY 10007","280 Broadway Smart Studios","1","1","120000.00","10007","Manhattan","40.714417","-74.006089","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Lower East Side Tenement
Museum ***","103 Orchard Street, New York, NY 10002","103 Orchard Street Equipment Systems","1","3","85000.00","10002","Manhattan","40.718592","-73.990007","18","1005471","1004140051","Chinatown                                                                  "
"Lower Manhattan Cultural Council
***","110 Andes Road 10004 and 125 Maiden
Lane 10038","IT & Media Equipment","1","1","50000.00","10038","Manhattan","40.692552","-74.016281","5","1086432","1000010010","park-cemetery-etc-Manhattan                                                "
"New York Classical Theatre, Inc.","TBD","Theatrical Seating Completion Project","1","1","20000.00",,"Manhattan",,,,,,
"Seaport Museum New York","Docked at Pier 16 East River, New York, NY 10038","Wavertree Public Access and Education","1","1","500000.00","10038","Manhattan","40.705316","-74.002734","1502","1077339","1000730008","Battery Park City-Lower Manhattan                                          "
"Grand Street Settlement, Inc. ***","80 Pitt Street, New York NY 10002","80 Pitt Street Renovation","2","3","250000.00","10002","Manhattan","40.718328","-73.98245","2201","1084357","1003380001","Lower East Side                                                            "
"ARC on 4th Street, Inc.","61 East 4th Street, New York, NY 10003","Greening and ADA Compliance Project","2","3","150000.00","10003","Manhattan","40.726755","-73.990735","38","1082642","1004600056","East Village                                                               "
"La MaMa Experimental Theatre Club, Inc.","74A East 4th Street, New York, NY 10003","Renovation of 74A East 4th Street","2","3","150000.00","10003","Manhattan","40.726494","-73.990169","38",,,"East Village                                                               "
"New York Shakespeare Festival","425 Lafayette Street, New York, NY 10003","ELEVATOR RENOVATION","2","2","185000.00","10003","Manhattan","40.728932","-73.992218","57","1008774","1005440016","West Village                                                               "
