"organization","project_title","project_address","community_board","council_district","fy18_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"158 St. & Riverside Drive Housing Co., Inc.","Site Upgrade Project","157-10/156-20
Riverside Drive West, New York, New York","CB12","CD7","500000.00",,"Manhattan",,,,,,
"A. Philip Randolph Campus High School","Urban Agriculture CTE Greenhouse Renewal Project","443 West 135th Street, New York, NY, 10031","CB9","CD9","505000.00","10031","Manhattan","40.818188","-73.950356","21703","1059409","1019570078","Manhattanville                                                             "
"Amber Charter School","Classroom Technology","220 East 106th Street, New York, NY 10029","CB11","CD8","60000.00","10029","Manhattan","40.791238","-73.943908","170","1052428","1016550038","East Harlem South                                                          "
"American Museum of Natural History","The Richard Gilder Center","AMNH 200 Central
Park West, 10024","CB7","CD6","250000.00","10024","Manhattan","40.781312","-73.972254","165","1083846","1011300001","Upper West Side                                                            "
"Animal Care Centers of NYC","Animal Care Centers of NYC Technology Upgrade","326 East 110th Street, New York, NY 10029 and 11
Park Place, Suite
805 New York, NY 10007","CB11","CD8","150000.00","10007","Manhattan","40.792844","-73.939771","180","1052845","1016810037","East Harlem North                                                          "
"Art and Design High School","Classroom Technology Upgrade","231-249 E 56
Street, New York, NY 10022","CB6","CD4","100000.00","10022","Manhattan","40.75924","-73.967203","108","1088892","1013300013","Turtle Bay-East Midtown                                                    "
"Asian Americans for Equality Inc. (AAFE)","2 Allen Street 6BCDEF","2 Allen Street","CB3","CD1","300000.00",,"Manhattan","40.714406","-73.992793","16","1088837","1002947502","Chinatown                                                                  "
"Asphalt Green, Inc.","Renovation of Walkway","1750 York Avenue
10128","CB8","CD5","200000.00","10128","Manhattan","40.779378","-73.944604","152","1085696","1015870001","Yorkville                                                                  "
"Asser Levy Recreation Center","Window Replacement","392 Asser Levy Place","CB6","CD4","200000.00",,"Manhattan","40.736137","-73.976159","62","1022552","1009810002","Murray Hill-Kips Bay                                                       "
"Association to Benefit Children","Cassidys Place Renovation","419 East 86th
Street 10128","CB8","CD5","180000.00","10128","Manhattan","40.776514","-73.948491","14402","1083281","1015660008","Yorkville                                                                  "
"Atlantic Theater Company","Atlantic Stage 2 Renovation","76 Ninth Avenue,
Suite 537, 10011","CB4","CD3","100000.00","10011","Manhattan","40.741915","-74.004659","83","1013043","1007390001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Ballet Hispanico of New York, Inc.","Fire prevention/suppressio n System","167 West 89th
Street, 10024","CB7","CD6","100000.00","10024","Manhattan","40.78917","-73.972525","173","1081050","1012200107","Upper West Side                                                            "
"Bard High School Early College","Auditorium Renovation","525 East Houston Street, New York, NY 10002","CB3","CD2","50000.00","10002","Manhattan","40.719029","-73.975891","1002","1004062","1003250025","Lower East Side                                                            "
"Barrow Group, Inc.","Audio Equipment Upgrade","312 West 36th
Street #4W, 10018","CB4","CD3","42000.00","10018","Manhattan","40.753755","-73.9932","111","1080495","1007590049","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Baruch College Campus High School","Classroom Furniture Upgrade","55 East 25th St, New York, NY 10010","CB5","CD2","63000.00","10010","Manhattan","40.74193","-73.986521","56","1016745","1008550016","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Baruch College/CUNY","Video Conferencing System","Baruch College Newman Vertical Campus, 55 Lexington Avenue, New York, NY
10010","CB6","CD2","275000.00","10010","Manhattan","40.738982","-73.984563","68","1000000","1008780020","Gramercy                                                                   "
"Beacon High School","Classroom Technology Upgrades","West 44, New
York, NY 10036","CB4","CD3","100000.00","10036","Manhattan",,,,,,
"Borough of Manhattan Community College
-CUNY","LED Lighting Conversion in Public Areas-Borough of Manhattan Community
College","199 Chambers Street, New York, NY 10007","CB1","CD1","500000.00","10007","Manhattan","40.716838","-74.012117","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Boys & Girls Club of Harlem, Inc.","BGCHarlem Digital Media Lab Equipment","525 West 145th Street","CB9","CD7","59000.00",,"Manhattan","40.825612","-73.948479","229","1061933","1020770014","Hamilton Heights                                                           "
"Brotherhood/Sister Sol Center","Garden Project","512 West 143rd Street, New York, NY 10031","CB9","CD7","300000.00","10031","Manhattan","40.824482","-73.949867","229","1061865","1020740047","Hamilton Heights                                                           "
