"objectid","tasktype","completeddate","workorderglobalid","globalid","crewglobalid","taskentity","staffcpcc","staffcp","staffapsw","labortime","traveltime","staffcpw","staffforester","staffgardener"
"4392","Utility Topping",,"B2D2BB8A-5575-4D3E-AA19-9113C1FCB4B6","002E9113-785E-4828-AD44-DFE246175030",,"3",,,,,,,,
"69133","Prune Deadwood",,"55D87ECB-22AB-4759-8B7F-2D204FE4B456","3EC33362-8834-4833-8F4D-6DF8BEF49388","7F9E2F7B-5F81-48E9-8C20-A5F768B60DE2","0.0",,,,,,,,
"30895","Prune Clear Electric Wires",,"56C554B8-17C4-4D8A-AAC8-9246DE88F172","C78C84DA-CBED-4562-B346-5F70A1B6F119",,,,,,,,,,
"61856","Utility Topping",,"EA2177A9-CC7D-44B9-B243-39256E95BA90","2841DC32-6BAC-4CC3-AD81-70FB1613A09C",,"3.0",,,,,,,,
"66306","Utility Topping",,"AFA7E4D1-88ED-4271-B73E-7A27D21ED0C3","0CD089EE-39D9-44C7-B29D-552467587CB8",,"3.0",,,,,,,,
"112291","Prune Clear Electric Wires",,"EFB82280-AE47-45EA-9FC4-14CB9120B6D4","07B927C6-CD32-413F-83D8-769A97D95370",,"3.0",,,,,,,,
"94195","Utility Topping",,"28F4772B-BCB4-4B9D-B2DD-D3C04E6365D9","73D727C6-B9B8-4B08-989E-F3D41FB1FBB0",,"3.0",,,,,,,,
"104641","Prune Clear Electric Wires",,"A50B60C5-8756-44FD-A4B3-D4B5CC22869A","339602E4-1689-4EE4-A8FF-F78CE686D2DC",,"3.0",,,,,,,,
"130424","Utility Topping",,"500CC9CB-D067-4B4E-B271-9E485E07C7D1","99974CBE-5FB0-4815-A563-88B5456C7C2F",,"3.0",,,,,,,,
"153724","Prune Clear Electric Wires",,"F4BAEB31-5DA0-419D-A0CF-9237B1241BB2","AF744E90-9A65-41F7-9D93-F6C8E66C3B1A",,"3.0",,,,,,,,
"154123","Prune Clear Electric Wires",,"385A43DF-F950-4017-A1EB-BC6A76191A5F","EC068FDC-EFA3-4A1F-8CAC-0A98FEBFA005",,"3.0",,,,,,,,
"198107","Prune Clear Electric Wires",,"1D601F18-9839-4029-ABE7-0031943B204F","26D66441-DE84-4A0E-83A9-F0EA805EED36",,"3",,,,,,,,
"505123","Prune Clear Electric Wires",,"F78A8846-52B9-486F-936F-C9CF0825C0F6","81147341-27BC-4FB1-9D8D-9B147354B3E0",,"3.0",,,,,,,,
"514728","Utility Topping",,"4E471FDF-2EF0-4B3D-BBE0-6D6E55AC0883","1B5329D0-63AD-4E9E-AD1D-4062A802D2D4",,"3.0",,,,,,,,
"660376","Utility Topping",,"55CCB204-3C9F-46C8-B709-E060E769F009","1CDB5005-B7CD-48DC-8C47-44E50CB9C623",,"3.0",,,,,,,,
"6162496","Utility Topping",,"9C0130F5-9EF0-4427-B33F-3418412B4832","A50BB869-FB18-4FC6-A7D6-3B52B3546E3D",,"3.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
"1223348","Pick-up Brush",,"80BFAC35-16F9-4CC3-865A-09CACA8FF9E8","7365350B-84CC-4D5F-A332-8C5497771D42",,"0.0",,,,"0.5",,,,
"1818250","Utility Topping",,"83DB043A-B680-447B-92B1-0C4D36BCF97B","F50FF7C1-54C0-4A6B-9C3F-631CF1E43327",,"3.0",,,,,,,,
"1819052","Pick-up Logs","2018-01-31 05:00:00.0000000","65BE3F15-43B8-4F64-BAC1-C7C8D9101118","4D647594-6175-4677-8617-0629BC99E374",,"0.0","1.0","5.0","0.0","0.25",,,,
"2126320","Prune Clear Electric Wires",,"C10742DC-5971-47A3-AD89-635BC32D2218","6C170AC5-B79A-4E6F-AFE0-6907B87DF920",,"3.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
"2209936","Utility Topping",,"FC346DB6-F075-435D-BABA-65636586A12E","F6BAEC49-A298-4A7B-9FBD-D9248F1333E0",,"2.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
"2296759","Remove Canopy Debris",,"FF07B74C-2D4B-4B21-B866-2F3191A940E3","52B01F39-4F6A-4681-AD73-822563823FAC",,"0.0","0.0","0.0","0.0","0.25",,"0.0","0.0","0.0"
"2296760","Pick-up Brush",,"FF07B74C-2D4B-4B21-B866-2F3191A940E3","92D06C48-B743-4C8C-A770-177D784B289C",,"0.0","0.0","0.0","0.0","0.5",,"0.0","0.0","0.0"
"2296761","Remove Canopy Debris",,"6B5C02E1-23D3-447E-AE9E-EC095376DEBC","E4E531A3-A9A4-4001-85FE-DA2055AD77C4",,"0.0","0.0","0.0","0.0","0.25",,"0.0","0.0","0.0"
"2296762","Pick-up Brush",,"6B5C02E1-23D3-447E-AE9E-EC095376DEBC","92C8C1E3-A315-4539-8407-9040654F8875",,"0.0","0.0","0.0","0.0","0.5",,"0.0","0.0","0.0"
"2529592","Pick-up Brush",,"02B9519E-3EA1-44B4-9426-D7CC5C40D3C9","3B5CF33E-E376-4AB7-B5F0-E0D8B5FE37EB",,"0.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
"2557196","Utility Topping",,"057734EC-6ADC-4023-B83F-E33CE821C06F","98982269-6832-475B-BC58-1666F8027415",,"3.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
"2746826","Pick-up Brush",,"6125B289-A08E-4BEE-802E-AABE5312C070","7928C39B-903B-440D-9A8E-9E47F665A4A7",,"0.0","0.0","0.0","0.0",,,"0.0","0.0","0.0"
