CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
mn-04-142001,Manhattan,104,3,40.75866608,-73.98890049,Live,701 8 AVENUE,10036,mn-04-142001,04/11/2016 12:00:00 AM,03/11/2016 12:00:00 AM,Clinton,1024991,1010350029,1012100,WEST 44 STREET,WEST 45 STREET,NW,"(40.75866608, -73.98890049)",13094,12,4,10,8
LINK-018111,Brooklyn,303,36,40.680059,-73.94226,Live,1473 FULTON STREET,11216,bk-03-145757,03/24/2017 12:00:00 AM,03/02/2017 12:00:00 AM,Bedford,3338750,3018570024,3026900,TOMPKINS AVENUE,KINGSTON AVENUE,NE,"(40.680059, -73.94226)",17618,69,2,49,51
si-03-125464,Staten Island,503,50,40.56175506,-74.11216061,Live,285 MILL ROAD,10306,si-03-125464,01/25/2017 12:00:00 AM,12/20/2016 12:00:00 AM,Oakwood-Oakwood Beach,5105550,5039830001,5012806,TYSENS LANE,ISERNIA AVENUE,NW,"(40.56175506, -74.11216061)",10693,15,1,14,76
mn-08-121051,Manhattan,108,4,40.77879465,-73.96011567,Live,40 EAST 83 STREET,10028,mn-08-121051,05/17/2018 12:00:00 AM,02/04/2018 12:00:00 AM,Upper East Side-Carnegie Hill,1046768,1014940050,1014200,MADISON AVENUE,PARK AVENUE,SE,"(40.77879465, -73.96011567)",12425,23,4,51,11
mn-08-120952,Manhattan,108,5,40.76519297,-73.95806217,Live,1259 1 AVENUE,10065,mn-08-120952,12/20/2018 12:00:00 AM,04/23/2018 12:00:00 AM,Lenox Hill-Roosevelt Island,1086891,1014420015,1011800,EAST 68 STREET,EAST 67 STREET,SW,"(40.76519297, -73.95806217)",10090,23,4,1,11
mn-02-123540,Manhattan,102,3,40.73967748,-74.00273531,Live,75 8 AVENUE,10014,mn-02-123540,04/15/2016 12:00:00 AM,03/11/2016 12:00:00 AM,West Village,1080226,1006297504,1007700,WEST 14 STREET,GREENWICH AVENUE,SW,"(40.73967748, -74.00273531)",12077,57,4,10,3
bk-02-126433,Brooklyn,302,35,40.689026,-73.980862,Live,395 FLATBUSH AVENUE EXTENSION,11201,bk-02-126433,07/25/2017 12:00:00 AM,02/13/2017 12:00:00 AM,Fort Greene,3058594,3020930001,3003300,FULTON STREET,DEKALB AVENUE,NE,"(40.689026, -73.980862)",17619,68,2,48,55
LINK-021689,Brooklyn,308,35,40.67854,-73.96373,Live,751 BERGEN STREET,11238,bk-08-145920,01/05/2018 12:00:00 AM,08/31/2017 12:00:00 AM,Prospect Heights,3027979,3011400056,3020300,WASHINGTON AVENUE,GRAND AVENUE,NE,"(40.67854, -73.96373)",13829,16,2,48,49
bk-14-126362,Brooklyn,314,40,40.64185835,-73.96283585,Live,1626 CORTELYOU ROAD,11226,bk-14-126362,04/23/2018 12:00:00 AM,12/02/2017 12:00:00 AM,Flatbush,3118755,3051590010,3051400,EAST 17 STREET,EAST 16 STREET,SE,"(40.64185835, -73.96283585)",13510,60,2,11,43
qu-02-124993,Queens,402,26,40.74184571,-73.91968964,Live,45-06 GREENPOINT AVENUE,11104,qu-02-124993,03/09/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4001962,4001650006,4018300,45 STREET,46 STREET,SE,"(40.74184571, -73.91968964)",16861,53,3,33,66
LINK-005725,Brooklyn,306,39,40.67758878,-73.9730618,Live,162 PARK PLACE,11217,bk-06-145848,04/24/2018 12:00:00 AM,06/11/2017 12:00:00 AM,Prospect Heights,3024351,3010570005,3016100,7 AVENUE,FLATBUSH AVENUE,SE,"(40.67758878, -73.9730618)",17619,14,2,27,50
qu-09-124798,Queens,409,32,40.69245106,-73.86085811,Live,86-33 FOREST PARKWAY,11421,qu-09-124798,07/13/2017 12:00:00 AM,06/24/2017 12:00:00 AM,Woodhaven,4181531,4088530125,4001200,JAMAICA AVENUE,85 ROAD,NE,"(40.69245106, -73.86085811)",24017,46,3,41,60
mn-01-122911,Manhattan,101,1,40.71693937,-74.00622249,Live,227 CHURCH STREET,10007,mn-01-122911,05/02/2018 12:00:00 AM,03/03/2018 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1085517,1001520013,1003300,WORTH STREET,THOMAS STREET,SE,"(40.71693937, -74.00622249)",11728,56,4,32,1
mn-07-121235,Manhattan,107,6,40.78651948,-73.97776529,Live,2300 BROADWAY,10024,mn-07-121235,08/18/2017 12:00:00 AM,06/17/2017 12:00:00 AM,Upper West Side,1076250,1012317501,1017100,WEST 83 STREET,WEST 84 STREET,NE,"(40.78651948, -73.97776529)",12421,20,4,19,12
