"election","officecd","candid","canclass","candlast","candfirst","candmi","committee","filing","schedule","pageno","sequenceno","refno","inv_date","date","name","c_code","org_ind","strno","strname","apartment","city","state","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","borough","pay_method","amnt","purposecd","purpose","explain","exemptcd","rr_ind","seg_ind"
"2005","4","206","P","Manzano","Carlos",,"K","5","F",,,"R0002883","2004-05-23T00:00:00.000","2004-05-23T00:00:00.000","1050 Restaurant & Lounge","CORP","Y","735","Tenth Avenue",,"New York","NY","10019","40.764594","-73.991867","104","3","129","1083799","1010780023","Clinton","MANHATTAN","Final","918.00","FUNDR","Fundraising","Catered Event",,"N","N"
"2005","4","ED","P","Carrion, Jr.","Adolfo",,"J","8","F",,,"R0005654","2005-04-25T00:00:00.000","2005-04-25T00:00:00.000","Somos El Futuro Inc.","CORP","Y","355","Lexington Ave.","3RDFL","New York","NY","10017","40.750245","-73.976909","106","4","80","1036147","1012950023","Murray Hill-Kips Bay","MANHATTAN","Final","3200.00","CNTRB","Polit Contribs.","EVENT TICKETS",,"N","N"
"2005","4","ED","P","Carrion, Jr.","Adolfo",,"J","5","F",,,"R0004585","2004-06-09T00:00:00.000","2004-06-09T00:00:00.000","Somos El Futuro Inc.","CORP","Y","355","Lexington Ave.","3RDFL","New York","NY","10017","40.750245","-73.976909","106","4","80","1036147","1012950023","Murray Hill-Kips Bay","MANHATTAN","Final","1500.00","OTHER","Other: explntion","EVENT TICKETS",,"N","N"
"2005","4","BW","P","Moskowitz","Eva","S","A","10","F",,,"R0005335","2005-05-22T00:00:00.000","2005-06-24T00:00:00.000","1-800-FLOWERS.com","CORP","Y",,,,,,,,,,,,,,,,"Final","55.00","OTHER","Other: explntion","Flowers",,"N","N"
"2005","5","232","P","Weprin","David","I","K","17","F",,,"R0002854","2005-03-11T00:00:00.000","2005-03-11T00:00:00.000","1-800-Flowers.Com","CORP","Y",,,,"NY","NY",,,,,,,,,,,"Final","103.00","OTHER","Other: explntion","Flowers/Sick",,"N","N"
"2005","5","837","P","Nocerino","Joseph","R","H","8","F",,,"R0000332","2005-04-15T00:00:00.000","2005-04-18T00:00:00.000","1-800-My-Buttons","OTHR","Y","5703","Red Bug Lake Road","187","Winter Springs","FL","32708",,,,,,,,,,"Final","210.00","LITER","Campgn Lit.","Campaign Buttons",,"N","N"
"2005","5","837","P","Nocerino","Joseph","R","H","8","F",,,"R0000222","2005-04-01T00:00:00.000","2005-04-01T00:00:00.000","1-800-My-Buttons","OTHR","Y","5703","Red Bug Lake Road","187","Winter Springs","FL","32708",,,,,,,,,,"Final","538.00","LITER","Campgn Lit.","Campaign Buttons",,"N","N"
"2005","5","837","P","Nocerino","Joseph","R","H","8","F",,,"R0000233","2005-04-04T00:00:00.000","2005-04-04T00:00:00.000","1-800-My-Buttons","OTHR","Y","5703","Red Bug Lake Road","187","Winter Springs","FL","32708",,,,,,,,,,"Final","372.00","LITER","Campgn Lit.","Campaign Buttons",,"N","N"
"2005","5","837","P","Nocerino","Joseph","R","H","8","F",,,"R0000366","2005-04-22T00:00:00.000","2005-04-22T00:00:00.000","1-800-My-Buttons","OTHR","Y","5703","Red Bug Lake Road","187","Winter Springs","FL","32708",,,,,,,,,,"Final","373.00","LITER","Campgn Lit.","Campaign Buttons",,"N","N"
"2005","1","AY","P","Ferrer","Fernando",,"I","17","F",,,"R0033156","2005-11-07T00:00:00.000","2005-12-19T00:00:00.000","101 Car Park","CORP","Y","101","West 23rd Street",,"New York","NY","10011","40.743097","-73.993226","104","3","91","1014954","1007990035","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","Final","23.00","OTHER","Other: explntion","Parking",,"N","N"
"2005","1","AY","P","Ferrer","Fernando",,"I","10","F",,,"R0017612","2005-04-25T00:00:00.000","2005-05-20T00:00:00.000","1010 6th Avenue Garage","CORP","Y","1010","Avenue of the Americas",,"New York","NY","10018","40.752072","-73.985628","105","4","84","1085979","1008397502","Midtown-Midtown South","MANHATTAN","Final","35.00","OTHER","Other: explntion","Parking",,"N","N"
"2005","2","310","P","Siegel","Norman","H","I","17","N",,,"R0012355",,"2005-11-11T00:00:00.000","1010 WINS","CORP","Y","888","7th Avenue",,"New York","NY","10106","40.765015","-73.980416","105","4","137","1024895","1010280029","Midtown-Midtown South","MANHATTAN",,"222.00","RADIO","Radio Ads.","excessive refund",,"N","N"
"2005","2","310","P","Siegel","Norman","H","I","13","F",,,"R0008509","2005-09-08T00:00:00.000","2005-09-08T00:00:00.000","1010 WINS","CORP","Y","888","7th Avenue",,"New York","NY","10106","40.765015","-73.980416","105","4","137","1024895","1010280029","Midtown-Midtown South","MANHATTAN","Final","7931.00","RADIO","Radio Ads.","ads 9/9-9/11",,"N","N"
"2005","2","310","P","Siegel","Norman","H","I","17","L",,,"R0012244","2005-09-08T00:00:00.000","2005-10-04T00:00:00.000","1010 WINS","CORP","Y","888","7th Avenue",,"New York","NY","10106","40.765015","-73.980416","105","4","137","1024895","1010280029","Midtown-Midtown South","MANHATTAN",,"-1365.00",,,,,"N","N"
"2005","5","420","NP","Comrie","Leroy","G","K","15","F",,,"R0002849","2005-10-20T00:00:00.000","2005-10-24T00:00:00.000","1020 Park Plaza Dinner","CORP","Y","1020","Cadman Plaza",,"Brooklyn","NY","11203",,,,,,,,,,"Final","25.00","OFFCE","Office Expenses","foods",,"N","N"
"2005","5","420","NP","Comrie","Leroy","G","K","16","F",,,"R0002930","2005-10-26T00:00:00.000","2005-10-26T00:00:00.000","1023 Mojito Cuban Cuisine","CORP","Y",,,,"Brooklyn","NY",,,,,,,,,,,"Final","74.00","OFFCE","Office Expenses","meeting",,"N","N"
"2005","5","860","P","Doty","Cynthia","L","H","13","F",,,"R0000955","2005-09-13T00:00:00.000","2005-09-13T00:00:00.000","107 West Restaurant","OTHR","Y","2787","Broadway",,"New York","NY","10025","40.802522","-73.967998","107","6","195","1085321","1018920046","Morningside Heights","MANHATTAN","Final","483.00","OTHER","Other: explntion","Wrap-Up Party",,"N","N"
"2005","2","263","P","Gotbaum","Betsy","F","J","14","F",,,"R0009379","2005-08-23T00:00:00.000","2005-08-23T00:00:00.000","109 CJK Corp","OTHR","Y","109","West 39th Street",,"New York","NY","10018","40.753178","-73.986043","105","4","113","1015277","1008150021","Midtown-Midtown South","MANHATTAN","Final","9.00","OTHER","Other: explntion","amex bill",,"N","N"
"2005","2","263","P","Gotbaum","Betsy","F","J","14","F",,,"R0009381","2005-08-23T00:00:00.000","2005-08-23T00:00:00.000","109 CJK Corp","OTHR","Y","109","West 39th Street",,"New York","NY","10018","40.753178","-73.986043","105","4","113","1015277","1008150021","Midtown-Midtown South","MANHATTAN","Final","52.00","OTHER","Other: explntion","amex bill",,"N","N"
"2005","2","263","P","Gotbaum","Betsy","F","J","14","F",,,"R0009400","2005-08-26T00:00:00.000","2005-08-26T00:00:00.000","109 CJK Corp","OTHR","Y","109","West 39th Street",,"New York","NY","10018","40.753178","-73.986043","105","4","113","1015277","1008150021","Midtown-Midtown South","MANHATTAN","Final","13.00","OTHER","Other: explntion","amex bill",,"N","N"
