"basketid","baskettype","direction","fid","location_description","ownertype","section","stateplane_labelx","stateplane_labely","stateplane_snappedx","stateplane_snappedy","streetname1","streetname2","point"
"40160016","H","E","12011","E corner of 21 ST and 41 AV","D","QW016","1000293.76383232","213988.59766313","1000239.50180173","213982.22956564","21 ST","41 AV","POINT (-73.94209344699993 40.75401946200003)"
"10110042","H",,"4666",,"P","MN011","979735.63696964","198413.84469196",,,,,"POINT (-74.01628503999996 40.71128398400003)"
"10520750","C",,"2271",,"B","MN052","988197.78080648","215006.99916963",,,,,"POINT (-73.98575181799998 40.75682838800003)"
"10420255","H",,"1319",,"B","MN042","984143.7433109","210950.53221697",,,,,"POINT (-74.00038492099998 40.74569529000007)"
"10420235","H",,"1280",,"B","MN042","985535.03810048","213457.21125871",,,,,"POINT (-73.99536336199998 40.75257540100006)"
"10420188","H",,"1182",,"B","MN042","985408.82378598","213530.59168938",,,,,"POINT (-73.99581889499996 40.75277682900003)"
"40420060","H","W","47778","W corner of 94 ST and 59 AV","P","QW042","1021022.53963189","207028.30384097","1021121.87145422","207031.76774479","94 ST","59 AV","POINT (-73.86731360299996 40.73485330800003)"
"20710120","H",,"33104",,"P","BX071","1010830.80542223","255639.83522663",,,,,"POINT (-73.90389638099998 40.86831507000005)"
"30740086","S","E","19262","E corner of 8 AV and 61 ST","D","BKS074","981511.78892915","170602.5492648","981461.41632648","170592.96595064","8 AV","61 ST","POINT (-74.00986704399998 40.63494894100006)"
"41430050","S",,"14578",,"D","QE143","1053767.56075589","159057.63272214",,,,,"POINT (-73.74965359499998 40.60298830800008)"
"50130041","S",,"14465",,"D","SI013","952226.03319632","162736.92556039",,,,,"POINT (-74.11534439899998 40.613301996000075)"
"31320406","E",,"81258",,"D","BKS132","989949.22743481","148387.29218622",,,,,"POINT (-73.97948622499996 40.57397117200003)"
"50110038","R","NW","21798","NW corner of BAY ST and WAVE ST","D","SI011","962920.38123015","168714.45428772","962947.82769756","168692.23484397","BAY ST","WAVE ST","POINT (-74.07684473099994 40.62974126100005)"
"30510057","S","SW","10078","SW corner of FULTON ST and SHEFFIELD AV","D","BKN051","1012459.23162732","185909.32803439","1012468.55542757","185947.75807564","FULTON ST","SHEFFIELD AV","POINT (-73.89830137199993 40.676918185000034)"
