SchoolName,Number,Street,SuiteApt,City,State,Postcode,Latitude,Longitude,Contact,Telephone,Email,Web,LanguagesOffered,CoursePrice,ExamPrice,date,time,Borough,Community Board,Council District ,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
American Master Cabbie Taxi Academy,24-29,Jackson Avenue,,Long Island City,NY ,11101,40.746598,-73.944532,Terry Gelber,(718) 472-1699,,http://www.mastercabbie.com,,,,07/24/2018,58:17.4,Queens,2,26,19,4000677,4000800001,Hunters Point-Sunnyside-West Maspeth,"(40.746598, -73.944532)",16858,53,3,33,66
HANAC NYC Taxi Academy,33-24,Northern Boulevard,4th Floor,Long Island City,NY ,11101,40.751777,-73.930235,Hasain Shakil,(718) 433-0439,,http://www.hanactaxi.com,"English, Spanish, Bengali, Urdu",$175 ,$75 ,07/24/2018,58:17.4,Queens,1,26,171,4445806,4002140238,Hunters Point-Sunnyside-West Maspeth,"(40.751777, -73.930235)",16858,39,3,33,72
