"borough","boro","block","lot","bbl","hnum_lo","hnum_hi","str_name","crfn","grantee","deed_date","price","cap_rate","borough_cap_rate","yearqtr","postcode","latitude","longitude","community_board","council_district","census_tract","bin","nta","geocoded_column"
"BX","2","3258","50","2032580050","3344","3344","FT INDEPENDENCE ST","2018000279807","3340 KNBG LLC","2018-07-30T00:00:00.000","15000000","0.0317","0.0343","2018Q3","10463","40.879027","-73.89955","208","11","279","2015810","Van Cortlandt Village","(40.879027, -73.89955)"
"BX","2","2798","48","2027980048","1757","1757","TOPPING AVENUE","2021000328443","1757 TOP REALTY LLC","2021-08-13T00:00:00.000","2775000","0.0417","0.0464","2021Q3","10457","40.845632","-73.905694","205","15","22901","2007480","Mount Hope","(40.845632, -73.905694)"
"BK","3","5417","53","3054170053","287","287","WEBSTER AVENUE","2018000346337","287 WEBSTER REALTY LLC","2018-10-11T00:00:00.000","4380000","0.0309","0.0340","2018Q4","11230","40.633009","-73.970475","314","40","482","3127745","Flatbush","(40.633009, -73.970475)"
"MN","1","1821","49","1018210049","120","120","WEST 112 STREET","2018000410402","120 WEST 112TH OWNER, LLC","2018-12-10T00:00:00.000","8200000","0.0283","0.0325","2018Q4","10026","40.800096","-73.953082","110","9","216","1054962","Central Harlem South","(40.800096, -73.953082)"
"BK","3","7577","25","3075770025","3101","3101","AURELIA COURT","2022000145562","3111 COURT LLC","2022-03-24T00:00:00.000","19300000","0.0306","0.0431","2022Q1","11210","40.629968","-73.946313","314","45","774","3206443","Flatbush","(40.629968, -73.946313)"
"QN","4","5182","39","4051820039","140-71","140-71","ASH AVENUE","2021000274251","FLUSHING GOLD COAST APT., LLC","2021-06-30T00:00:00.000","8650000","0.0478","0.0480","2021Q2","11355","40.756036","-73.822193","407","20","857","4117057","Flushing","(40.756036, -73.822193)"
"MN","1","1745","50","1017450050","1829","1829","MADISON AVENUE","2021000263724","1829 MADISON AVE MANAGEMENT LLC","2021-06-25T00:00:00.000","5500000","0.0317","0.0556","2021Q2","10035","40.801821","-73.943494","111","9","184","1053959","East Harlem North","(40.801821, -73.943494)"
"MN","1","274","13","1002740013","73","73","MONROE STREET","2020000138193","73 SHANTHI LLC","2020-04-14T00:00:00.000","7875000","0.0320","0.0616","2020Q2","10002","40.711744","-73.992678","103","1","8","1003268","Chinatown","(40.711744, -73.992678)"
"BX","2","3899","46","2038990046","1451","1451","TAYLOR AVENUE","2022000047061","1451 T LLC","2022-01-20T00:00:00.000","3650000","0.0370","0.0423","2022Q1","10460","40.836412","-73.866197","209","18","218","2028223","West Farms-Bronx River","(40.836412, -73.866197)"
"MN","1","1446","4","1014460004","1388","1388","2 AVENUE","2020000078406","RSL 1388 SECOND LLC","2020-02-26T00:00:00.000","5975000","0.0316","0.0560","2020Q1","10021","40.768668","-73.958447","108","5","126","1044857","Lenox Hill-Roosevelt Island","(40.768668, -73.958447)"
"MN","1","277","2","1002770002","77","79","MADISON STREET","2018000146524","ABACUS MADISON 7779 LLC","2018-04-25T00:00:00.000","12000000","0.0160","0.0335","2018Q2","10002","40.712142","-73.996259","103","1","8","1003329","Chinatown","(40.712142, -73.996259)"
"BK","3","5328","23","3053280023","134","146","OCEAN PARKWAY","2018000302837","S&G OCEAN LLC","2018-08-28T00:00:00.000","18300000","0.0315","0.0354","2018Q3","11218","40.647116","-73.975124","312","39","500","3124302","Windsor Terrace","(40.647116, -73.975124)"
"QN","4","890","91","4008900091","23-06","23-06","21 STREET","2022000057987","AMORANI PARK VIEW LLC","2022-01-27T00:00:00.000","11600000","0.0339","0.0443","2022Q1","11105","40.778518","-73.91921","401","22","97","4020107","Steinway","(40.778518, -73.91921)"
"MN","1","442","17","1004420017","43","43","EAST 1 STREET","2021000293522","2234 REALTY CO. LLC","2021-07-21T00:00:00.000","4660000","0.0545","0.0553","2021Q3","10003","40.723931","-73.990035","103","2","3602","1006074","East Village","(40.723931, -73.990035)"
"BX","2","3281","45","2032810045","354","354","EAST MOSHOLU PARKWAY","2022000056035","354 E. MOSHOLU PKWY. LLC","2021-11-17T00:00:00.000","6120000","0.0384","0.0440","2021Q4",,,,,,,,,
"BK","3","6512","1","3065120001","900","900","AVENUE H","2019000019753","900 ASSETS LLC","2019-01-10T00:00:00.000","17767559","0.0291","0.0339","2019Q1","11230","40.629342","-73.967861","314","45","456","3170547","Midwood","(40.629342, -73.967861)"
"MN","1","2120","23","1021200023","524","526","WEST 162 STREET","2018000381039","FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC","2018-11-02T00:00:00.000","3372000","0.0321","0.0325","2018Q4","10032","40.836411","-73.940773","112","7","245","1062864","Washington Heights South","(40.836411, -73.940773)"
"BX","2","3248","131","2032480131","2715","2715","CLAFLIN AVENUE","2019000287476","CLAFLIN HEIGHTS ASSOCIATES, LLC","2019-08-16T00:00:00.000","3680000","0.0249","0.0393","2019Q3","10468","40.869658","-73.901061","208","14","26701","2015285","Van Cortlandt Village","(40.869658, -73.901061)"
"QN","4","9773","5","4097730005","162-15","162-15","HIGHLAND AVENUE","2020000213199","BELCREST PARK ASSETS LLC","2020-07-23T00:00:00.000","22250000","0.0454","0.0547","2020Q3","11432","40.709895","-73.80088","408","24","448","4209099","Briarwood-Jamaica Hills","(40.709895, -73.80088)"
"BK","3","826","5","3008260005","702","702","54 STREET","2021000070848","702 PLAZA LLC","2021-02-16T00:00:00.000","6800000","0.0313","0.0638","2021Q1","11220","40.640114","-74.008107","307","38","106","3014789","Sunset Park East","(40.640114, -74.008107)"
"MN","1","1253","45","1012530045","336","336","WEST 95 STREET","2018000199460","5543-336 WEST 95TH STREET MANHATTAN LLC","2018-06-01T00:00:00.000","30000000","0.0257","0.0335","2018Q2","10025","40.794959","-73.974614","107","6","183","1034185","Upper West Side","(40.794959, -73.974614)"
"MN","1","2149","101","1021490101","480","480","WEST 187 STREET","2022000120325","DY 480 WEST 187 LLC","2022-03-04T00:00:00.000","15278612","0.0373","0.0502","2022Q1","10033","40.851736","-73.927858","112","10","267","1063586","Washington Heights North","(40.851736, -73.927858)"
"MN","1","2159","43","1021590043","540","540","WEST 189 STREET","2018000353991","540 WEST 189TH GROUP LLC","2018-10-04T00:00:00.000","7725000","0.0283","0.0325","2018Q4","10040","40.853586","-73.928388","112","10","277","1063853","Washington Heights North","(40.853586, -73.928388)"
"QN","4","1231","45","4012310045","39-26","39-26","62 STREET","2020000059017","62 WINDSOR LLC","2020-02-06T00:00:00.000","4850000","0.0399","0.0459","2020Q1","11377","40.746308","-73.901876","402","26","261","4028378","Woodside","(40.746308, -73.901876)"
"BK","3","5417","7","3054170007","629","629","OCEAN PARKWAY","2021000375170","GK REALTY ASSOCIATES LLC","2021-09-03T00:00:00.000","8375000","0.0415","0.0556","2021Q3","11230","40.632988","-73.972129","314","40","482","3127729","Flatbush","(40.632988, -73.972129)"
"MN","1","438","9","1004380009","180","180","1 AVENUE","2022000183365","84 HOYT LLC","2022-03-21T00:00:00.000","8000000","0.0314","0.0502","2022Q1","10009","40.729277","-73.984052","103","2","34","1077666","East Village","(40.729277, -73.984052)"
"BX","2","3336","19","2033360019","136","136","EAST 208 STREET","2020000230748","829 BURKE AVE. CORP.","2020-08-05T00:00:00.000","4850000","0.0384","0.0466","2020Q3","10467","40.87795","-73.880249","207","11","419","2018043","Norwood","(40.87795, -73.880249)"
"BK","3","5060","43","3050600043","1745","1745","CATON AVENUE","2019000213712","M & M CATON REALTY LLC","2019-06-28T00:00:00.000","13833000","0.0254","0.0333","2019Q2","11226","40.6514","-73.963374","314","40","50804","3116117","Flatbush","(40.6514, -73.963374)"
"MN","1","1988","86","1019880086","523","523","WEST 135 STREET","2018000117982","523 WEST 135TH STREET, LLC","2018-04-05T00:00:00.000","7200000","0.0294","0.0335","2018Q2","10031","40.819296","-73.953043","109","7","22301","1059785","Manhattanville","(40.819296, -73.953043)"
"QN","4","5309","3","4053090003","36-03","36-07","191 STREET","2021000369126","FLUSHING GALLERY LLC","2021-09-03T00:00:00.000","6950000","0.0298","0.0433","2021Q3","11358","40.763346","-73.791074","411","19","1139","4455120","Auburndale","(40.763346, -73.791074)"
"BK","3","6695","12","3066950012","816","816","EAST 12 STREET","2021000416633","MIDWOOD 12 ST LLC","2021-09-30T00:00:00.000","2350000","0.0434","0.0556","2021Q3","11230","40.629267","-73.965015","314","45","530","3179169","Midwood","(40.629267, -73.965015)"
"MN","1","2072","1","1020720001","3440","3448","BROADWAY","2018000322534","3440 BROADWAY BCR LLC","2018-09-24T00:00:00.000","18450000","0.0316","0.0333","2018Q3","10031","40.823231","-73.952433","109","7","225","1061758","Hamilton Heights","(40.823231, -73.952433)"
"BK","3","5625","11","3056250011","926","932","47 STREET","2018000406031","926 47TH LLC","2018-11-29T00:00:00.000","6020000","0.0242","0.0340","2018Q4","11219","40.641014","-73.999027","312","38","114","3137064","Borough Park","(40.641014, -73.999027)"
"BK","3","2893","42","3028930042","65","65","MASPETH AVENUE","2022000059633","65 TRYLINE LLC","2022-01-27T00:00:00.000","15425000","0.0347","0.0431","2022Q1","11211","40.715742","-73.940353","301","34","477","3325355","East Williamsburg","(40.715742, -73.940353)"
"BK","3","733","1","3007330001","4317","4323","8 AVENUE","2021000261507","ZHEN XIANG LLC","2021-06-18T00:00:00.000","6000000","0.0413","0.0628","2021Q2","11232","40.64489","-73.999784","312","38","92","3011044","Sunset Park East","(40.64489, -73.999784)"
"MN","1","1436","33","1014360033","348","348","EAST 62 STREET","2019000071278","348 EAST 62ND LLC","2019-02-19T00:00:00.000","11833334","0.0285","0.0330","2019Q1","10065","40.761862","-73.961509","108","5","110","1044239","Lenox Hill-Roosevelt Island","(40.761862, -73.961509)"
